"                        ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"                        ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Exports",
"  Volume (million cubic feet)           ",
"    Pipeline                            ",
"             Japan                             ","0","  ","8262","  ","13310","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","8262","  ","0","  ","0","  ","2755","  ","0","  ","2753","  ","2753","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","13310","  ","0","  ","0","  ","2884","  ","2886","  ","2846","  ","2809","  ","0","  ","1886","  ","0","  ","0","  ","0","  ","0","  ",
"             Jordan","9870","  ","0","  ","0","  ","2942","  ","3362","  ","0","  ","3566","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Kuwait","7068","  ","0","  ","0","  ","0","  ","3458","  ","0","  ","0","  ","0","  ","3610","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Mexico","7001","  ","0","  ","0","  ","0","  ","3315","  ","3686","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Portugal","3700","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","3700","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Spain ","2930","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2930","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Taiwan","0","  ","8257","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","8257","  ","0","  ","0","  ","0","  ","2755","  ","0","  ","0","  ","2754","  ","2748","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Turkey","2941","  ","0","  ","0","  ","0","  ","2941","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             United Arab Emirates","3391","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","3391","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"          By Truck",
"             Canada","2","  ","41","  ","84","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2","  ","41","  ","0","  ","1","  ","0","  ","2","  ","0","  ","5","  ","6","  ","6","  ","6","  ","6","  ","4","  ","6","  ","99","  ","8","  ","7","  ","7","  ","6","  ","7","  ","7","  ","7","  ","9","  ","9","  ","11","  ","12","  ","8","  ",
"             Mexico","285","  ","147","  ","141","  ","42","  ","35","  ","30","  ","28","  ","22","  ","33","  ","23","  ","24","  ","24","  ","25","  ","195","  ","27","  ","21","  ","14","  ","11","  ","10","  ","13","  ","14","  ","15","  ","18","  ","17","  ","16","  ","21","  ","181","  ","20","  ","20","  ","13","  ","12","  ","10","  ","11","  ","10","  ","12","  ","16","  ","17","  ","18","  ","21","  ",
"       Re-Exports",
"          By Vessel",
"             Argentina","612","  ","0","  ","0","  ","0","  ","0","  ","612","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Brazil                     ","1433","  ","5533","  ","2664","  ","0","  ","0","  ","142","  ","0","  ","0","  ","0","  ","0","  ","0","  ","1290","  ","0","  ","5533","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2728","  ","2805","  ","2664","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2664","  ","0","  ",
"             Egypt                    ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2947","  ","0","  ","2947","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             India","547","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","547","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Turkey                           ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","3145","  ","3145","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"    Total LNG Exports                   ","112039","  ","22239","  ","16199","  ","2999","  ","16764","  ","26768","  ","15739","  ","16445","  ","9874","  ","10036","  ","10078","  ","3309","  ","26","  ","28381","  ","3172","  ","2969","  ","2769","  ","2767","  ","2763","  ","2771","  ","2774","  ","2769","  ","24","  ","23","  ","2748","  ","2832","  ","16255","  ","28","  ","27","  ","2904","  ","2904","  ","2863","  ","2827","  ","17","  ","1907","  ","25","  ","28","  ","2694","  ","29","  ",
"    CNG",
"        Canada","158","  ","167","  ","174","  ","0","*","0","  ","0","  ","20","  ","18","  ","25","  ","28","  ","21","  ","22","  ","25","  ","214","  ","27","  ","20","  ","4","  ","0","  ","5","  ","23","  ","23","  ","28","  ","21","  ","20","  ","17","  ","27","  ","217","  ","22","  ","20","  ","9","  ","0","  ","0","  ","12","  ","19","  ","22","  ","26","  ","25","  ","29","  ","32","  ",
"    Total CNG Exports          ","158","  ","167","  ","174","  ","0","*","0","  ","0","  ","20","  ","18","  ","25","  ","28","  ","21","  ","22","  ","25","  ","214","  ","27","  ","20","  ","4","  ","0","  ","5","  ","23","  ","23","  ","28","  ","21","  ","20","  ","17","  ","27","  ","217","  ","22","  ","20","  ","9","  ","0","  ","0","  ","12","  ","19","  ","22","  ","26","  ","25","  ","29","  ","32","  ",
"  Total Exports                         ","1866692","  ","1466019","  ","1256398","  ","200213","  ","199725","R","212033","  ","186283","R","180747","  ","185897","  ","175601","  ","194915","  ","162757","  ","168521","  ","1783512","  ","161754","  ","155739","  ","158517","  ","162573","  ","144885","  ","143820","  ","138179","  ","134274","  ","130328","  ","163967","  ","144955","  ","144522","  ","1514242","  ","136982","  ","120861","  ","115069","  ","119891","  ","115376","  ","127301","  ","119864","  ","114105","  ","121928","  ","149508","  ","138550","  ","134807","  ",
" Average Price (dollars per",
"  thousand cubic feet)        ",
"    Pipeline                            ",
"      Canada                            ","2.42","  ","3.30","  ","6.46","  ","2.81","  ","2.83","  ","2.65","  ","2.73","  ","2.23","  ","1.98","  ","2.07","  ","1.99","  ","2.34","R","2.66","  ","3.15","  ","2.30","  ","2.50","  ","2.76","  ","2.97","  ","2.97","  ","2.84","  ","2.85","  ","2.85","  ","2.91","  ","3.71","  ","4.39","  ","3.63","  ","6.10","  ","4.28","  ","4.64","  ","3.96","  ","3.98","  ","3.94","  ","4.37","  ","4.81","  ","4.78","  ","5.04","  ","10.13","  ","11.42","  ","6.49","  ",
