"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Hawaii","2527","  ","2445","  ","2437","  ","250","  ","264","  ","264","  ","255","  ","240","  ","243","  ","256","  ","248","  ","247","  ","259","  ","2922","  ","250","  ","227","  ","239","  ","232","  ","239","  ","242","  ","244","  ","228","  ","254","  ","252","  ","237","  ","278","  ","2915","  ","251","  ","227","  ","233","  ","232","  ","240","  ","245","  ","240","  ","239","  ","251","  ","244","  ","242","  ","271","  ",
"Idaho","77928","  ","74496","  ","68232","  ","7184","  ","6827","  ","7160","  ","6268","  ","5396","  ","5617","  ","5422","  ","9204","  ","11063","  ","13786","  ","99811","  ","13907","  ","11409","  ","7662","  ","6873","  ","7042","  ","6456","  ","7059","  ","6443","  ","6583","  ","6971","  ","7480","  ","11926","  ","88145","  ","10163","  ","9750","  ","5948","  ","5901","  ","5931","  ","5378","  ","4218","  ","5099","  ","5579","  ","7164","  ","10339","  ","12675","  ",
"Illinois","0","NA","773411","  ","823047","  ","59492","  ","47750","  ","53438","  ","0","NA","0","NA","54754","  ","75957","  ","97925","  ","127574","  ","150729","  ","966018","  ","107693","  ","84914","  ","57574","  ","43492","  ","42342","  ","46090","  ","42029","  ","46909","  ","67759","  ","112117","  ","158479","  ","156620","  ","1062904","  ","124886","  ","114971","  ","63812","  ","44941","  ","42266","  ","40005","  ","41986","  ","53342","  ","71889","  ","126843","  ","152540","  ","185421","  ",
"Indiana","580884","  ","579312","  ","555173","  ","44693","  ","44149","  ","48840","  ","49010","  ","47485","  ","53081","  ","55618","  ","66122","  ","79192","  ","92692","  ","710564","  ","71835","  ","59417","  ","47975","  ","39803","  ","42445","  ","43269","  ","41485","  ","45278","  ","51908","  ","77530","  ","95657","  ","93962","  ","705784","  ","77098","  ","73513","  ","48693","  ","39587","  ","39624","  ","38204","  ","37104","  ","42393","  ","47750","  ","75123","  ","85285","  ","101410","  ",
"Iowa","248312","  ","250027","  ","248667","  ","22145","  ","18465","R","20865","R","20344","R","18931","R","21011","R","22807","R","28787","R","34426","R","40532","R","308324","  ","32862","  ","25435","  ","21652","  ","18212","  ","18908","  ","19651","  ","18577","  ","19581","  ","21913","  ","30517","  ","40554","  ","40462","  ","316676","  ","34956","  ","33053","  ","22297","  ","16247","  ","17116","  ","16980","  ","17262","  ","19546","  ","23136","  ","32877","  ","38406","  ","44798","  ",
"Kansas","0","NA","172972","  ","192489","  ","13205","  ","13064","R","16209","R","15897","R","14671","R","0","NA","14624","R","18537","R","23559","R","30564","  ","216014","  ","25014","  ","18027","  ","13375","  ","12842","  ","15507","  ","16099","  ","12782","  ","12215","  ","13388","  ","19942","  ","27342","  ","29481","  ","244318","  ","27703","  ","24126","  ","13594","  ","12158","  ","15152","  ","15297","  ","12811","  ","15730","  ","17935","  ","25204","  ","30339","  ","34270","  ",
"Kentucky","209424","  ","207712","  ","190826","  ","16771","  ","15635","  ","18134","  ","18006","  ","16824","  ","17231","  ","18455","  ","24366","  ","28846","  ","35157","  ","252877","  ","22855","  ","22310","  ","18353","  ","15435","  ","15694","  ","16842","  ","14254","  ","14566","  ","17009","  ","25949","  ","36526","  ","33084","  ","241037","  ","25903","  ","24307","  ","14020","  ","11657","  ","11658","  ","11875","  ","11819","  ","13279","  ","18126","  ","27558","  ","31059","  ","39777","  ",
"Louisiana","1201658","  ","1118592","  ","1085935","  ","111453","  ","115595","  ","122100","  ","129814","  ","121437","  ","121883","  ","114988","  ","120013","  ","114357","  ","130017","  ","1357572","  ","123012","  ","115968","  ","112509","  ","108810","  ","117522","  ","117081","  ","112740","  ","111422","  ","104903","  ","107129","  ","108232","  ","118244","  ","1300551","  ","107512","  ","107104","  ","104595","  ","101294","  ","113813","  ","108061","  ","106128","  ","110407","  ","106818","  ","107720","  ","105457","  ","121644","  ",
"Maine","0","NA","42531","  ","49482","  ","4064","  ","0","NA","5414","  ","5109","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","51191","  ","4275","  ","4385","  ","4894","  ","3611","  ","3870","  ","3189","  ","2680","  ","2947","  ","3956","  ","5781","  ","5330","  ","6273","  ","59356","  ","4817","  ","5057","  ","3503","  ","3553","  ","4205","  ","6355","  ","5374","  ","4072","  ","4885","  ","5585","  ","5110","  ","6841","  ",
"Maryland","0","NA","172286","  ","155722","  ","0","NA","11016","  ","15784","  ","15193","  ","9761","  ","12492","  ","15646","  ","19664","  ","26802","  ","31097","  ","207716","  ","18805","  ","16625","  ","12834","  ","9828","  ","10463","  ","12316","  ","10128","  ","10703","  ","13739","  ","25620","  ","33717","  ","32940","  ","200758","  ","24936","  ","20099","  ","10322","  ","8058","  ","9114","  ","8983","  ","8352","  ","10196","  ","12958","  ","26177","  ","27650","  ","33911","  ",
