"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","24056","  ","29217","  ","33633","  ","1826","  ","893","  ","618","  ","659","  ","675","  ","875","  ","997","  ","1678","  ","2811","  ","5686","  ","7340","  ","32709","  ","3492","  ","2079","  ","956","  ","710","  ","705","  ","720","  ","765","  ","1111","  ","1694","  ","3858","  ","8542","  ","8077","  ","39006","  ","5373","  ","4457","  ","1124","  ","716","  ","748","  ","764","  ","804","  ","1345","  ","2192","  ","4611","  ","6522","  ","10350","  ",
"Alaska","14811","  ","15891","  ","15516","  ","2314","  ","1711","  ","828","  ","534","  ","479","  ","534","  ","864","  ","1233","  ","1886","  ","2068","  ","2359","  ","18574","  ","2683","  ","2317","  ","1429","  ","1040","  ","531","  ","499","  ","589","  ","883","  ","1473","  ","2174","  ","2212","  ","2743","  ","17734","  ","2218","  ","2070","  ","1768","  ","875","  ","538","  ","545","  ","678","  ","800","  ","1427","  ","2201","  ","2443","  ","2169","  ",
"Arizona","29874","  ","27842","  ","27506","  ","2295","  ","1421","  ","1134","  ","1021","  ","1072","  ","1314","  ","1750","  ","2402","  ","3064","  ","5763","  ","8638","  ","34507","  ","6665","  ","3133","  ","1345","  ","1080","  ","978","  ","1065","  ","1320","  ","1820","  ","2191","  ","3200","  ","4275","  ","7435","  ","32397","  ","4891","  ","2482","  ","1384","  ","1123","  ","1025","  ","1096","  ","1275","  ","1750","  ","2373","  ","3162","  ","4853","  ","6983","  ",
"Arkansas","20566","  ","28739","  ","32149","  ","1802","  ","813","  ","596","  ","529","  ","564","  ","665","  ","902","  ","1457","  ","2654","  ","4770","  ","5813","  ","32998","  ","4259","  ","2357","  ","794","  ","585","  ","556","  ","598","  ","666","  ","941","  ","1631","  ","4838","  ","7706","  ","8067","  ","38127","  ","5978","  ","2698","  ","921","  ","719","  ","684","  ","648","  ","808","  ","1265","  ","2463","  ","5222","  ","7527","  ","9194","  ",
"California","343344","  ","328116","  ","339613","  ","37269","  ","22105","  ","19803","  ","18507","  ","19421","  ","21129","  ","24628","  ","28039","  ","39564","  ","43489","  ","69390","  ","401172","  ","73056","  ","44392","  ","19235","  ","17032","  ","17399","  ","18932","  ","20889","  ","27358","  ","29622","  ","32140","  ","40902","  ","60216","  ","397489","  ","57876","  ","34011","  ","21140","  ","18456","  ","18834","  ","20299","  ","21690","  ","25224","  ","30716","  ","38959","  ","49235","  ","61049","  ",
"Colorado","100087","  ","99819","  ","111502","  ","11580","  ","5970","  ","3231","  ","2751","  ","2597","  ","2956","  ","6531","  ","10396","  ","14346","  ","17334","  ","22396","  ","122364","  ","22545","  ","16187","  ","5800","  ","2924","  ","2403","  ","2633","  ","3115","  ","7343","  ","8503","  ","12871","  ","16449","  ","21591","  ","132106","  ","20604","  ","18632","  ","6921","  ","3533","  ","2195","  ","3220","  ","3526","  ","6319","  ","9485","  ","15296","  ","19396","  ","22977","  ",
"Connecticut","39737","  ","46226","  ","44347","  ","4606","  ","2050","  ","1000","  ","933","  ","1075","  ","1365","  ","2385","  ","4229","  ","5562","  ","7947","  ","8584","  ","50975","  ","4749","  ","3846","  ","2101","  ","948","  ","970","  ","1089","  ","1330","  ","2112","  ","4766","  ","8749","  ","10279","  ","10035","  ","51193","  ","6846","  ","4670","  ","1776","  ","1046","  ","974","  ","1036","  ","1311","  ","2325","  ","4620","  ","8035","  ","8875","  ","9677","  ",
"Delaware","8245","  ","10211","  ","9672","  ","824","  ","292","  ","171","  ","160","  ","171","  ","231","  ","475","  ","823","  ","1135","  ","1879","  ","2084","  ","11260","  ","1049","  ","772","  ","406","  ","168","  ","178","  ","175","  ","194","  ","289","  ","754","  ","2076","  ","2533","  ","2665","  ","11316","  ","1644","  ","949","  ","292","  ","158","  ","161","  ","137","  ","196","  ","496","  ","825","  ","1858","  ","2138","  ","2463","  ",
"District of Columbia","9473","  ","12038","  ","12126","  ","964","  ","345","  ","207","  ","216","  ","246","  ","287","  ","501","  ","791","  ","1107","  ","2285","  ","2524","  ","13494","  ","1456","  ","994","  ","567","  ","276","  ","262","  ","264","  ","256","  ","456","  ","866","  ","2046","  ","2886","  ","3166","  ","14242","  ","2117","  ","1671","  ","550","  ","262","  ","258","  ","249","  ","293","  ","446","  ","893","  ","2087","  ","2508","  ","2908","  ",
"Florida","13516","  ","13618","  ","14426","  ","1127","  ","1000","  ","746","  ","713","  ","736","  ","680","  ","827","  ","980","  ","1550","  ","2384","  ","2772","  ","15044","  ","1425","  ","1204","  ","1070","  ","626","  ","628","  ","824","  ","859","  ","924","  ","1217","  ","1364","  ","2443","  ","2459","  ","16652","  ","2227","  ","1853","  ","965","  ","641","  ","729","  ","709","  ","593","  ","917","  ","1166","  ","1920","  ","1874","  ","3057","  ",
"Georgia","97438","  ","106062","  ","116158","  ","10235","  ","4850","  ","3821","  ","3854","  ","3670","  ","3801","  ","4678","  ","6530","  ","9664","  ","19992","  ","26344","  ","118025","  ","11963","  ","10264","  ","5883","  ","3800","  ","3751","  ","3663","  ","3679","  ","4354","  ","5538","  ","12196","  ","26722","  ","26213","  ","134482","  ","18324","  ","17292","  ","5533","  ","3577","  ","3540","  ","3537","  ","3617","  ","4458","  ","7145","  ","15232","  ","19418","  ","32809","  ",
"Hawaii","519","  ","525","  ","533","  ","47","  ","45","  ","49","  ","45","  ","45","  ","45","  ","44","  ","51","  ","49","  ","47","  ","52","  ","572","  ","47","  ","44","  ","44","  ","41","  ","43","  ","45","  ","46","  ","46","  ","54","  ","51","  ","52","  ","60","  ","583","  ","50","  ","44","  ","43","  ","43","  ","44","  ","48","  ","48","  ","49","  ","53","  ","50","  ","53","  ","57","  ",
"Idaho","18743","  ","18641","  ","20635","  ","2626","  ","1437","  ","681","  ","492","  ","518","  ","580","  ","881","  ","1290","  ","2532","  ","3241","  ","4466","  ","23482","  ","4842","  ","3704","  ","1017","  ","652","  ","367","  ","494","  ","521","  ","900","  ","1736","  ","2203","  ","2701","  ","4346","  ","24616","  ","3981","  ","3737","  ","1334","  ","628","  ","541","  ","552","  ","617","  ","870","  ","1787","  ","2643","  ","3469","  ","4456","  ",
"Illinois","307664","  ","349900","  ","416482","  ","32672","  ","14594","  ","7759","  ","7419","  ","7782","  ","9472","  ","15751","  ","30185","  ","41109","  ","62368","  ","78554","  ","400876","  ","50976","  ","36127","  ","18138","  ","8118","  ","7790","  ","7959","  ","9419","  ","13194","  ","26783","  ","54278","  ","85540","  ","82554","  ","479465","  ","62983","  ","57400","  ","22380","  ","10591","  ","8238","  ","8857","  ","9640","  ","16225","  ","30870","  ","66611","  ","84515","  ","101155","  ",
