"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"  August                 ","204070","  ","83697","  ","19466","  ","146089","  ","23484","  ","149518","  ","4756","  ","112943","  ","50999","  ","87904","  ","213529","  ","409771","  ","748215","  ","33179","  ","114871","  ","167987","  ","50905","  ","120585","  ","2741970","  ",
"  September                 ","261160","  ","81249","  ","18394","  ","138917","  ","22506","  ","145577","  ","4573","  ","110650","  ","48085","  ","89371","  ","204298","  ","398110","  ","731049","  ","31097","  ","111932","  ","163129","  ","49140","  ","117454","  ","2726691","  ",
"  October                 ","279437","  ","82955","  ","18456","  ","146669","  ","23053","  ","149599","  ","4827","  ","113014","  ","51373","  ","104127","  ","209342","  ","407234","  ","739603","  ","31636","  ","108711","  ","168572","  ","50648","  ","112099","  ","2801357","  ",
"  November                 ","289760","  ","78958","  ","17929","  ","140798","  ","21720","  ","145573","  ","4562","  ","108823","  ","50294","  ","104731","  ","201517","  ","409344","  ","713058","  ","30898","  ","96829","  ","163860","  ","48532","  ","104003","  ","2731190","  ",
"  December                 ","304055","  ","80135","  ","19114","  ","143282","  ","22896","  ","144468","  ","4608","  ","103162","  ","51807","  ","113185","  ","207703","  ","433795","  ","720290","  ","34255","  ","105489","  ","166317","  ","49888","  ","109935","  ","2814383","  ",
"     Total             ","3175301","  ","1010274","  ","231060","  ","1704836","  ","285236","  ","1784797","  ","57421","  ","1296458","  ","584743","  ","1014848","  ","2499599","  ","4812983","  ","8801282","  ","423300","  ","1318822","  ","1983731","  ","600656","  ","1309380","  ","32894727","  ",
"2016",
"  January                 ","298809","  ","77842","E ","18737","E ","143629","E ","22543","E ","158907","E ","4521","E ","100031","E ","50146","E ","112423","E ","214000","E ","447447","E ","707527","E ","34199","E ","114272","E ","155930","E ","49350","E ","108752","E ","2819066","E ",
"  February                 ","273296","  ","71967","E ","17100","E ","134325","E ","20866","E ","153090","E ","4233","E ","99889","E ","47912","E ","116401","E ","201258","E ","430800","E ","664972","E ","31283","E ","108093","E ","145478","E ","46199","E ","101117","E ","2668278","E ",
"  March                 ","295244","  ","74543","E ","18166","E ","143636","E ","22110","E ","152390","E ","4426","E ","109105","E ","51852","E ","120760","E ","214561","E ","452601","E ","702555","E ","33192","E ","112282","E ","156116","E ","48544","E ","111315","E ","2823398","E ",
"  April                 ","246120","  ","70831","E ","17618","E ","139949","E ","21173","E ","154885","E ","4275","E ","106844","E ","47507","E ","118944","E ","203524","E ","429503","E ","680919","E ","31720","E ","110827","E ","148710","E ","46788","E ","101883","E ","2682021","E ",
"  May                 ","269204","  ","71791","E ","18074","E ","144657","E ","21621","E ","160319","E ","4461","E ","109650","E ","51206","E ","121778","E ","211836","E ","441974","E ","698238","E ","31762","E ","114948","E ","148721","E ","48257","E ","110027","E ","2778526","E ",
"  June                 ","233820","  ","67340","E ","17229","E ","136813","E ","20531","E ","150242","E ","4285","E ","105916","E ","50039","E ","115207","E ","202081","E ","434819","E ","675064","E ","29847","E ","104295","E ","145310","E ","45823","E ","96330","E ","2634991","E ",
"  July                 ","239444","  ","68255","E ","17568","E ","142734","E ","21010","E ","162636","E ","4312","E ","110960","E ","52714","E ","117841","E ","210617","E ","443676","E ","684636","E ","30500","E ","119222","E ","136600","E ","47182","E ","99929","E ","2709835","E ",
"  August                 ","250325","  ","67204","RE","17814","RE","146011","RE","20642","RE","159759","E ","4158","RE","111397","RE","51172","RE","132639","RE","211218","RE","443604","RE","684429","RE","30359","RE","119208","E ","139752","RE","46706","RE","105654","RE","2742050","RE",
"  September                 ","249270","  ","64199","RE","17170","RE","140142","RE","19862","RE","152808","RE","4105","RE","107737","RE","48338","RE","131408","RE","202975","RE","419040","RE","652673","RE","29000","RE","114775","E ","145721","RE","45306","RE","96316","RE","2640845","RE",
"  October                 ","271932","  ","65861","E ","17589","E ","145651","E ","20220","E ","155066","E ","4213","E ","109873","E ","53237","E ","126898","E ","208755","E ","421792","E ","667583","E ","29269","E ","118034","E ","152633","E ","46586","E ","101431","E ","2716622","E ",
"2016 10-Month YTD","2627464","  ","699833","E ","177067","E ","1417547","E ","210578","E ","1560102","E ","42991","E ","1071403","E ","504124","E ","1214297","E ","2080826","E ","4365256","E ","6818595","E ","311132","E ","1135955","E ","1474971","E ","470740","E ","1032754","E ","27215631","E ",
"2015 10-Month YTD","2581486","  ","851181","  ","194017","  ","1420757","  ","240620","  ","1494755","  ","48251","  ","1084474","  ","482642","  ","796933","  ","2090378","  ","3969843","  ","7367933","  ","358147","  ","1116504","  ","1653553","  ","502236","  ","1095442","  ","27349154","  ",
"2014 10-Month YTD","2584555","  ","936667","  ","199630","  ","1366187","  ","238321","  ","1658663","  ","49406","  ","1051768","  ","373073","  ","393011","  ","1932780","  ","3520240","  ","7167803","  ","381995","  ","861399","  ","1664210","  ","527079","  ","1066597","  ","25973384","  ",
