"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"  April                 ","29759","  ","87259","  ","20597","  ","140951","  ","23209","  ","150812","  ","4909","  ","103230","  ","37433","  ","70792","  ","209983","  ","392752","  ","664552","  ","38096","  ","110279","  ","151289","  ","48883","  ","106587","  ","2391372","  ",
"  May                 ","29124","  ","89383","  ","21197","  ","144431","  ","23790","  ","156076","  ","4994","  ","106836","  ","40751","  ","77865","  ","214639","  ","391332","  ","673495","  ","38525","  ","120138","  ","150822","  ","50389","  ","110517","  ","2444303","  ",
"  June                 ","26000","  ","84146","  ","19568","  ","140779","  ","22937","  ","144605","  ","4784","  ","102625","  ","40074","  ","84693","  ","211079","  ","376856","  ","657094","  ","36673","  ","113604","  ","148664","  ","49620","  ","104646","  ","2368447","  ",
"  July                 ","26682","  ","85283","  ","19225","  ","142461","  ","23438","  ","150102","  ","4941","  ","104033","  ","40622","  ","88406","  ","217883","  ","401777","  ","673240","  ","36655","  ","115055","  ","151190","  ","50555","  ","116251","  ","2447799","  ",
"  August                 ","25176","  ","83697","  ","19466","  ","146089","  ","23484","  ","148908","  ","4756","  ","107577","  ","39931","  ","87904","  ","213529","  ","409771","  ","666179","  ","33179","  ","114871","  ","152340","  ","50406","  ","118791","  ","2446056","  ",
"  September                 ","27601","  ","81249","  ","18394","  ","138917","  ","22506","  ","144978","  ","4573","  ","106601","  ","38665","  ","89371","  ","204298","  ","398110","  ","659888","  ","31097","  ","111932","  ","147335","  ","48631","  ","115877","  ","2390024","  ",
"  October                 ","29190","  ","82955","  ","18456","  ","146669","  ","23053","  ","148924","  ","4827","  ","109119","  ","43503","  ","104127","  ","209342","  ","407234","  ","660433","  ","31636","  ","108711","  ","152643","  ","50133","  ","110458","  ","2441416","  ",
"  November                 ","29589","  ","78958","  ","17929","  ","140798","  ","21720","  ","144929","  ","4562","  ","104888","  ","41842","  ","104731","  ","201517","  ","409344","  ","634462","  ","30898","  ","96829","  ","148584","  ","48052","  ","102500","  ","2362132","  ",
"  December                 ","30941","  ","80135","  ","19114","  ","143282","  ","22896","  ","143661","  ","4608","  ","99659","  ","43589","  ","113185","  ","207703","  ","433795","  ","647606","  ","34255","  ","105489","  ","150540","  ","49384","  ","108420","  ","2438262","  ",
"     Total             ","343534","  ","1010274","  ","231060","  ","1704836","  ","285236","  ","1776800","  ","57421","  ","1244811","  ","471504","  ","1014848","  ","2499599","  ","4812983","  ","7880530","  ","423300","  ","1318822","  ","1793716","  ","595365","  ","1288296","  ","28752935","  ",
"2016",
"  January                 ","30686","  ","77842","E ","18737","E ","143629","E ","22543","E ","158192","E ","4521","E ","95640","E ","41822","E ","112423","E ","214000","E ","447447","E ","610242","E ","34199","E ","114272","E ","141444","E ","48916","E ","107175","E ","2423731","E ",
"  February                 ","28434","  ","71967","E ","17100","E ","134325","E ","20866","E ","152401","E ","4233","E ","95504","E ","39959","E ","116401","E ","201258","E ","430800","E ","573538","E ","31283","E ","108093","E ","131963","E ","45792","E ","99650","E ","2303567","E ",
"  March                 ","29893","  ","74543","E ","18166","E ","143636","E ","22110","E ","151705","E ","4426","E ","104315","E ","43245","E ","120760","E ","214561","E ","452601","E ","605954","E ","33192","E ","112282","E ","141613","E ","48116","E ","109700","E ","2430818","E ",
"  April                 ","26259","  ","70831","E ","17618","E ","139949","E ","21173","E ","154188","E ","4275","E ","102153","E ","39621","E ","118944","E ","203524","E ","429503","E ","587292","E ","31720","E ","110827","E ","134894","E ","46377","E ","100406","E ","2339556","E ",
"  May                 ","27071","  ","71791","E ","18074","E ","144657","E ","21621","E ","159598","E ","4461","E ","104836","E ","42706","E ","121778","E ","211836","E ","441974","E ","602230","E ","31762","E ","114948","E ","134905","E ","47832","E ","108432","E ","2410513","E ",
"  June                 ","24882","  ","67340","E ","17229","E ","136813","E ","20531","E ","149566","E ","4285","E ","101266","E ","41733","E ","115207","E ","202081","E ","434819","E ","582243","E ","29847","E ","104295","E ","131810","E ","45419","E ","94933","E ","2304300","E ",
"  July                 ","25025","  ","68255","E ","17568","E ","142734","E ","21010","E ","161904","E ","4312","E ","106089","E ","43963","E ","117841","E ","210617","E ","443676","E ","590498","E ","30500","E ","119222","E ","123910","E ","46767","E ","98480","E ","2372371","E ",
"  August                 ","24918","  ","67204","RE","17814","RE","146011","RE","20642","RE","159040","E ","4158","RE","106507","RE","42677","RE","132639","RE","211218","RE","443604","RE","590320","RE","30359","RE","119208","E ","126769","RE","46295","RE","104122","RE","2393504","RE",
"  September                 ","30524","  ","64199","RE","17170","RE","140142","RE","19862","RE","152121","RE","4105","RE","103008","RE","40314","RE","131408","RE","202975","RE","419040","RE","562931","RE","29000","RE","114775","E ","132183","RE","44908","RE","94919","RE","2303582","RE",
"  October                 ","28546","  ","65861","E ","17589","E ","145651","E ","20220","E ","154368","E ","4213","E ","105050","E ","44400","E ","126898","E ","208755","E ","421792","E ","575790","E ","29269","E ","118034","E ","138453","E ","46176","E ","99960","E ","2351025","E ",
"2016 10-Month YTD","276239","  ","699833","E ","177067","E ","1417547","E ","210578","E ","1553081","E ","42991","E ","1024368","E ","420439","E ","1214297","E ","2080826","E ","4365256","E ","5881038","E ","311132","E ","1135955","E ","1337946","E ","466598","E ","1017779","E ","23632968","E ",
"2015 10-Month YTD","283004","  ","851181","  ","194017","  ","1420757","  ","240620","  ","1488210","  ","48251","  ","1040263","  ","386073","  ","796933","  ","2090378","  ","3969843","  ","6598462","  ","358147","  ","1116504","  ","1494592","  ","497930","  ","1077376","  ","23952541","  ",
"2014 10-Month YTD","284265","  ","936667","  ","199630","  ","1366187","  ","238321","  ","1652143","  ","49406","  ","1022560","  ","260079","  ","393011","  ","1932780","  ","3520240","  ","6607760","  ","381995","  ","861399","  ","1493584","  ","524825","  ","1048185","  ","22773035","  ",
