"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","20423","  ","22518","  ","24409","  ","2290","  ","1515","  ","1000","  ","1053","  ","975","  ","1250","  ","1244","  ","1497","  ","1825","  ","3160","  ","4613","  ","24915","  ","2398","  ","2348","  ","1534","  ","1190","  ","1136","  ","1106","  ","1103","  ","1405","  ","1432","  ","2127","  ","4665","  ","4471","  ","27534","  ","3125","  ","3445","  ","1789","  ","1146","  ","1186","  ","1189","  ","1132","  ","1496","  ","1592","  ","2834","  ","3316","  ","5283","  ",
"Alaska","13671","  ","16003","  ","15618","  ","1985","  ","1403","  ","864","  ","642","  ","566","  ","664","  ","825","  ","1195","  ","1664","  ","1752","  ","2110","  ","18472","  ","2469","  ","2028","  ","1393","  ","1202","  ","717","  ","662","  ","574","  ","1147","  ","1548","  ","2268","  ","1992","  ","2473","  ","17925","  ","2307","  ","1932","  ","1662","  ","1081","  ","758","  ","667","  ","829","  ","902","  ","1451","  ","2030","  ","2249","  ","2055","  ",
"Arizona","27095","  ","26398","  ","26868","  ","2643","  ","1985","  ","1792","  ","1759","  ","1771","  ","1910","  ","2165","  ","2460","  ","2770","  ","3398","  ","4443","  ","30528","  ","4130","  ","3014","  ","1918","  ","1708","  ","1650","  ","1758","  ","1878","  ","2203","  ","2422","  ","2785","  ","3082","  ","3980","  ","30456","  ","3589","  ","2749","  ","1968","  ","1806","  ","1750","  ","1843","  ","1931","  ","2260","  ","2546","  ","2866","  ","3234","  ","3915","  ",
"Arkansas","39213","  ","42732","  ","44731","  ","4009","  ","3135","  ","2710","  ","2571","  ","2433","  ","2529","  ","2837","  ","3099","  ","4174","  ","5497","  ","6220","  ","47651","  ","4918","  ","4033","  ","3163","  ","2654","  ","2517","  ","2388","  ","2405","  ","2654","  ","3183","  ","5328","  ","7068","  ","7338","  ","50673","  ","5942","  ","4261","  ","3401","  ","2883","  ","2574","  ","2585","  ","2577","  ","2864","  ","3673","  ","5521","  ","6637","  ","7755","  ",
"California","206604","  ","206304","  ","212084","  ","22150","  ","17177","  ","16573","  ","17531","  ","15553","  ","15889","  ","16362","  ","17097","  ","20403","  ","21311","  ","26558","  ","235787","  ","29483","  ","26091","  ","16134","  ","15078","  ","16351","  ","15782","  ","16147","  ","19132","  ","18079","  ","18893","  ","19598","  ","25020","  ","237675","  ","25591","  ","21710","  ","17355","  ","17313","  ","17141","  ","16799","  ","16551","  ","17418","  ","17614","  ","20512","  ","23504","  ","26168","  ",
"Colorado","45118","  ","44815","  ","49164","  ","5136","  ","2751","  ","1815","  ","1503","  ","1647","  ","1838","  ","3121","  ","4598","  ","6179","  ","7263","  ","9269","  ","54004","  ","9189","  ","6639","  ","2795","  ","1647","  ","1409","  ","1522","  ","1954","  ","3510","  ","3872","  ","5458","  ","7069","  ","8940","  ","58008","  ","8844","  ","7587","  ","3118","  ","1862","  ","1361","  ","1767","  ","1937","  ","2932","  ","4234","  ","6357","  ","8402","  ","9605","  ",
"Connecticut","0","NA","47538","  ","44970","  ","5002","  ","3515","  ","2856","  ","0","NA","0","NA","2184","  ","2925","  ","3862","  ","5276","  ","7021","  ","7388","  ","52453","  ","4915","  ","4024","  ","3080","  ","2515","  ","2451","  ","2321","  ","2239","  ","2611","  ","4444","  ","7321","  ","8272","  ","8259","  ","51221","  ","6252","  ","4719","  ","2785","  ","2246","  ","2204","  ","2158","  ","2221","  ","2589","  ","4206","  ","6849","  ","7530","  ","7462","  ",
"Delaware","10893","  ","10497","  ","10334","  ","1309","  ","898","  ","620","  ","588","  ","540","  ","535","  ","695","  ","934","  ","1113","  ","1658","  ","2003","  ","11731","  ","1234","  ","1117","  ","852","  ","453","  ","429","  ","393","  ","429","  ","422","  ","770","  ","1504","  ","2097","  ","2031","  ","11882","  ","1548","  ","1347","  ","711","  ","421","  ","410","  ","352","  ","412","  ","615","  ","740","  ","1502","  ","1696","  ","2128","  ",
"District of Columbia","13281","  ","15503","  ","15256","  ","1536","  ","875","  ","657","  ","681","  ","670","  ","623","  ","854","  ","1190","  ","1264","  ","2405","  ","2528","  ","17113","  ","1611","  ","1563","  ","1230","  ","798","  ","770","  ","712","  ","821","  ","725","  ","1010","  ","2184","  ","2648","  ","3043","  ","17498","  ","2242","  ","1747","  ","1007","  ","745","  ","752","  ","703","  ","744","  ","877","  ","1224","  ","2325","  ","2169","  ","2961","  ",
"Florida","58512","  ","57170","  ","56620","  ","5510","  ","4892","  ","4756","  ","4436","  ","4795","  ","4733","  ","5054","  ","5309","  ","5811","  ","6323","  ","6893","  ","62754","  ","5584","  ","5144","  ","4936","  ","4382","  ","4589","  ","4671","  ","4863","  ","4762","  ","5286","  ","5629","  ","6332","  ","6575","  ","62612","  ","5992","  ","5679","  ","4840","  ","4585","  ","4407","  ","4534","  ","4565","  ","4738","  ","5320","  ","5744","  ","5602","  ","6605","  ",
