"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","172366","  ","171224","  ","171002","  ","15247","  ","14849","  ","13993","  ","14623","  ","14695","  ","15147","  ","16613","  ","15753","  ","16568","  ","16396","  ","18481","  ","186954","  ","15730","  ","15157","  ","15350","  ","14954","  ","15369","  ","15841","  ","14675","  ","15522","  ","14200","  ","15980","  ","16318","  ","17857","  ","187661","  ","16659","  ","16447","  ","15823","  ","14995","  ","14709","  ","14433","  ","14638","  ","15234","  ","15238","  ","16244","  ","15286","  ","17956","  ",
"Alaska","3801","  ","4441","  ","4354","  ","493","  ","538","  ","436","  ","261","  ","307","  ","363","  ","261","  ","183","  ","237","  ","243","  ","479","  ","4864","  ","422","  ","381","  ","369","  ","345","  ","402","  ","390","  ","376","  ","397","  ","395","  ","439","  ","450","  ","497","  ","4847","  ","494","  ","458","  ","508","  ","485","  ","434","  ","427","  ","320","  ","338","  ","283","  ","403","  ","336","  ","361","  ",
"Arizona","17848","  ","18373","  ","20140","  ","1647","  ","1664","  ","1576","  ","1384","  ","1335","  ","1542","  ","1591","  ","1577","  ","1709","  ","1793","  ","2031","  ","20402","  ","2029","  ","1882","  ","1604","  ","1446","  ","1487","  ","1498","  ","1512","  ","1644","  ","1659","  ","1831","  ","1695","  ","2115","  ","22489","  ","2349","  ","1980","  ","1761","  ","1634","  ","1684","  ","1675","  ","1611","  ","1812","  ","1879","  ","1979","  ","1934","  ","2191","  ",
"Arkansas","73373","  ","77986","  ","80768","  ","6973","  ","6654","  ","6313","  ","6469","  ","6029","  ","6028","  ","6420","  ","6512","  ","6968","  ","7081","  ","7925","  ","85287","  ","7301","  ","7201","  ","6903","  ","6342","  ","6455","  ","6434","  ","6380","  ","6771","  ","7029","  ","7921","  ","8062","  ","8486","  ","88797","  ","8029","  ","8537","  ","7495","  ","6721","  ","6743","  ","6720","  ","6521","  ","6770","  ","6995","  ","7842","  ","7682","  ","8742","  ",
"California","706057","  ","710195","  ","721392","  ","62744","  ","63617","  ","68647","  ","72567","  ","66296","  ","62499","  ","63054","  ","61348","  ","62467","  ","58716","  ","64102","  ","777104","  ","66909","  ","63511","  ","64415","  ","65899","  ","71454","  ","69807","  ","62545","  ","63541","  ","63109","  ","62086","  ","57365","  ","66464","  ","788817","  ","67425","  ","63073","  ","66331","  ","69753","  ","74044","  ","71666","  ","63954","  ","65214","  ","62483","  ","63286","  ","57702","  ","63885","  ",
"Colorado","71557","  ","69696","  ","69683","  ","7271","  ","6154","  ","5217","  ","5298","  ","5168","  ","5034","  ","6193","  ","6680","  ","7599","  ","7760","  ","9184","  ","78694","  ","8998","  ","7697","  ","5866","  ","4823","  ","5029","  ","5033","  ","4904","  ","6015","  ","6100","  ","7182","  ","8094","  ","8953","  ","78323","  ","8641","  ","7615","  ","5971","  ","4931","  ","4772","  ","4796","  ","5228","  ","5525","  ","6322","  ","7575","  ","8062","  ","8885","  ",
"Connecticut","22019","  ","23418","  ","25800","  ","2256","  ","1779","  ","1695","  ","1766","  ","1718","  ","1633","  ","1747","  ","1958","  ","2083","  ","2566","  ","2817","  ","25612","  ","2194","  ","2010","  ","1883","  ","1712","  ","1804","  ","1736","  ","1733","  ","1816","  ","2082","  ","2936","  ","2728","  ","2978","  ","28371","  ","2571","  ","2289","  ","1961","  ","1734","  ","1868","  ","1949","  ","1950","  ","2015","  ","2267","  ","3147","  ","3120","  ","3499","  ",
"Delaware","0","NA","30086","  ","27910","  ","0","NA","2742","  ","2659","  ","2573","  ","2690","  ","2335","  ","2643","  ","2464","  ","2666","  ","2517","  ","2821","  ","33126","  ","3040","  ","2682","  ","2590","  ","2448","  ","2636","  ","2668","  ","2560","  ","2819","  ","3037","  ","3171","  ","2494","  ","2980","  ","31004","  ","3094","  ","2769","  ","2668","  ","2582","  ","2473","  ","2269","  ","2140","  ","2477","  ","2340","  ","2871","  ","2644","  ","2676","  ",
"District of Columbia","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"Florida","0","NA","87269","  ","85935","  ","0","NA","8357","  ","8142","  ","8409","  ","8293","  ","7650","  ","8617","  ","9093","  ","9148","  ","8667","  ","9416","  ","96124","  ","8855","  ","7706","  ","7928","  ","7320","  ","7298","  ","7605","  ","7572","  ","8064","  ","7994","  ","8562","  ","8416","  ","8804","  ","94479","  ","8544","  ","7764","  ","7794","  ","7064","  ","6957","  ","7415","  ","6980","  ","7841","  ","8114","  ","8211","  ","8059","  ","9737","  ",
"Georgia","139352","  ","144513","  ","146582","  ","12720","  ","12805","  ","11364","  ","11760","  ","11890","  ","11941","  ","12721","  ","12435","  ","13481","  ","13859","  ","14377","  ","157936","  ","13423","  ","13324","  ","13742","  ","12274","  ","12720","  ","13006","  ","12710","  ","13089","  ","12115","  ","13537","  ","13192","  ","14803","  ","160842","  ","14260","  ","14304","  ","13588","  ","12589","  ","12455","  ","12885","  ","12518","  ","13154","  ","13277","  ","14625","  ","13318","  ","13868","  ",
"Hawaii","500","  ","406","  ","365","  ","41","  ","43","  ","44","  ","56","  ","54","  ","41","  ","47","  ","42","  ","41","  ","44","  ","47","  ","442","  ","36","  ","36","  ","43","  ","37","  ","41","  ","38","  ","44","  ","31","  ","32","  ","37","  ","28","  ","38","  ","401","  ","36","  ","33","  ","32","  ","34","  ","42","  ","34","  ","30","  ","31","  ","29","  ","35","  ","27","  ","36","  ",
"Idaho","30992","  ","28265","  ","25503","  ","3173","  ","3119","  ","2661","  ","2253","  ","2525","  ","2137","  ","2463","  ","2494","  ","3186","  ","3335","  ","3647","  ","31664","  ","3399","  ","3311","  ","3028","  ","2561","  ","2412","  ","2091","  ","2359","  ","2598","  ","2322","  ","2419","  ","2558","  ","2607","  ","28046","  ","2543","  ","2392","  ","2345","  ","2082","  ","1913","  ","2050","  ","2333","  ","2452","  ","2318","  ","2389","  ","2477","  ","2752","  ",
"Illinois","0","NA","241398","  ","264939","  ","22336","  ","20481","  ","18672","  ","17648","  ","0","NA","0","NA","18796","  ","20311","  ","23292","  ","25696","  ","27930","  ","265900","  ","24502","  ","23724","  ","20369","  ","18722","  ","18717","  ","19614","  ","18206","  ","19770","  ","20616","  ","24665","  ","27785","  ","29210","  ","294220","  ","29281","  ","26950","  ","22482","  ","21720","  ","20469","  ","20076","  ","19691","  ","21040","  ","23106","  ","27329","  ","28611","  ","33466","  ",
"Indiana","333559","  ","339131","  ","340487","  ","28273","  ","24643","  ","27073","  ","27950","  ","29030","  ","29040","  ","31227","  ","31464","  ","33813","  ","34110","  ","36936","  ","372537","  ","33407","  ","29891","  ","28801","  ","26669","  ","28121","  ","28246","  ","27518","  ","29593","  ","29054","  ","36014","  ","37319","  ","37904","  ","375788","  ","35301","  ","34107","  ","29439","  ","28836","  ","28557","  ","27773","  ","27553","  ","28579","  ","30014","  ","33264","  ","34324","  ","38039","  ",
"Iowa","0","NA","162970","  ","156218","  ","0","NA","16267","  ","14106","  ","14383","  ","14264","  ","14033","  ","14229","  ","13908","  ","15725","  ","15766","  ","16930","  ","178772","  ","15802","  ","15136","  ","15213","  ","13428","  ","13991","  ","13797","  ","13627","  ","14433","  ","13906","  ","15493","  ","16578","  ","17368","  ","172142","  ","15925","  ","16442","  ","14504","  ","12162","  ","12761","  ","13344","  ","13196","  ","13095","  ","13563","  ","14847","  ","15090","  ","17215","  ",
"Kansas","103091","  ","99649","  ","108163","  ","9198","  ","8459","  ","7747","  ","10904","  ","10250","  ","8651","  ","8554","  ","8917","  ","9581","  ","9901","  ","10930","  ","111016","  ","11367","  ","9144","  ","8368","  ","7999","  ","9938","  ","10113","  ","8377","  ","7763","  ","8285","  ","8435","  ","10152","  ","11073","  ","118590","  ","10427","  ","10646","  ","8208","  ","8077","  ","10264","  ","10664","  ","8600","  ","9845","  ","9768","  ","10577","  ","10305","  ","11208","  ",
"Kentucky","104232","  ","106005","  ","106043","  ","10040","  ","9012","  ","8211","  ","8590","  ","8181","  ","8249","  ","9181","  ","9458","  ","10363","  ","10922","  ","12025","  ","115956","  ","9951","  ","9766","  ","8847","  ","8471","  ","8798","  ","8438","  ","8571","  ","8729","  ","9650","  ","11399","  ","11377","  ","11960","  ","116646","  ","10602","  ","10834","  ","9725","  ","8659","  ","8679","  ","8734","  ","8715","  ","8850","  ","8949","  ","10483","  ","10716","  ","11699","  ",
"Louisiana","946543","  ","863741","  ","877696","  ","87364","  ","84902","  ","83892","  ","86726","  ","87948","  ","84591","  ","87285","  ","85108","  ","87558","  ","81450","  ","89718","  ","948918","  ","85177","  ","81583","  ","79536","  ","77834","  ","80573","  ","77087","  ","75647","  ","79939","  ","76095","  ","76843","  ","74907","  ","83698","  ","960033","  ","82338","  ","81262","  ","79353","  ","74373","  ","79443","  ","79361","  ","77414","  ","80163","  ","81868","  ","84435","  ","76982","  ","83041","  ",
"Maine","0","NA","19446","  ","22438","  ","1350","  ","1634","  ","1522","  ","1530","  ","1511","  ","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","20972","  ","1526","  ","1510","  ","1670","  ","1590","  ","1555","  ","1591","  ","1629","  ","1718","  ","1953","  ","2186","  ","1843","  ","2201","  ","24121","  ","1683","  ","1728","  ","1768","  ","1950","  ","1902","  ","2329","  ","1948","  ","2332","  ","2145","  ","2436","  ","1592","  ","2308","  ",
"Maryland","13467","  ","13452","  ","13300","  ","1124","  ","1256","  ","978","  ","1183","  ","1196","  ","1042","  ","1179","  ","1239","  ","1519","  ","1428","  ","1322","  ","14765","  ","1312","  ","1277","  ","1252","  ","1140","  ","927","  ","1123","  ","1168","  ","1141","  ","1135","  ","1351","  ","1353","  ","1584","  ","14734","  ","1433","  ","1516","  ","1182","  ","1065","  ","988","  ","1118","  ","1251","  ","1122","  ","1040","  ","1332","  ","1354","  ","1333","  ",
"Massachusetts","39781","  ","40511","  ","40740","  ","4138","  ","3271","  ","2450","  ","2376","  ","2431","  ","2790","  ","3111","  ","4072","  ","4478","  ","5187","  ","5478","  ","44554","  ","4043","  ","4042","  ","3051","  ","2574","  ","2215","  ","2265","  ","2169","  ","2808","  ","4049","  ","5321","  ","6187","  ","5830","  ","45581","  ","4841","  ","3918","  ","2838","  ","2326","  ","2591","  ","2054","  ","2625","  ","3173","  ","4098","  ","5521","  ","5746","  ","5849","  ",
"Michigan","154611","  ","155640","  ","162960","  ","14628","  ","13284","  ","12206","  ","11525","  ","10796","  ","11431","  ","12111","  ","14685","  ","16587","  ","18218","  ","19140","  ","171196","  ","15555","  ","14100","  ","13319","  ","11478","  ","11210","  ","11139","  ","10687","  ","11570","  ","14382","  ","17712","  ","19139","  ","20906","  ","180829","  ","17869","  ","15580","  ","14325","  ","11680","  ","11327","  ","10577","  ","10556","  ","11733","  ","15152","  ","19186","  ","20923","  ","21924","  ",
"Minnesota","0","NA","141855","  ","154958","  ","14090","  ","11888","  ","0","NA","11810","  ","12285","  ","11627","  ","11634","  ","0","NA","17566","  ","0","NA","0","NA","157400","  ","15545","  ","13674","  ","13346","  ","11362","  ","10324","  ","10333","  ","10718","  ","11132","  ","13355","  ","15419","  ","15370","  ","16822","  ","173569","  ","18611","  ","16406","  ","13805","  ","13227","  ","12991","  ","12493","  ","13013","  ","11580","  ","13976","  ","15286","  ","13888","  ","18294","  ",
