"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","353758","  ","333678","  ","281474","  ","31957","  ","40581","  ","43495","  ","44559","  ","39282","  ","33335","  ","26636","  ","30746","  ","29216","  ","33949","  ","397961","  ","33249","  ","31034","  ","31534","  ","33356","  ","37742","  ","39373","  ","36860","  ","32480","  ","24780","  ","30436","  ","31501","  ","35616","  ","346065","  ","31210","  ","33380","  ","30282","  ","32493","  ","34915","  ","30843","  ","30018","  ","27325","  ","18805","  ","26747","  ","18406","  ","31639","  ",
"Alaska","18811","  ","23222","  ","26186","  ","1732","  ","1952","  ","2201","  ","2046","  ","1757","  ","1787","  ","1674","  ","1763","  ","1817","  ","2081","  ","27722","  ","2336","  ","2164","  ","2096","  ","1863","  ","2116","  ","2365","  ","2311","  ","1781","  ","2907","  ","2470","  ","2367","  ","2945","  ","31944","  ","2938","  ","2821","  ","2482","  ","1956","  ","2536","  ","2728","  ","2866","  ","2668","  ","2512","  ","2734","  ","2738","  ","2965","  ",
"Arizona","233306","  ","214290","  ","182012","  ","20800","  ","28581","  ","36060","  ","35959","  ","31064","  ","20259","  ","18622","  ","14126","  ","12550","  ","15284","  ","249477","  ","17515","  ","17672","  ","24561","  ","31091","  ","38244","  ","33842","  ","30537","  ","13238","  ","13368","  ","9409","  ","8635","  ","11365","  ","205697","  ","9510","  ","14175","  ","19861","  ","27212","  ","29903","  ","31950","  ","22799","  ","14062","  ","9439","  ","5744","  ","10276","  ","10767","  ",
"Arkansas","118337","  ","96567","  ","62762","  ","9109","  ","9206","  ","16404","  ","16339","  ","17250","  ","12184","  ","10510","  ","12772","  ","5899","  ","8663","  ","108755","  ","6754","  ","5434","  ","4130","  ","8552","  ","12523","  ","12805","  ","9865","  ","7343","  ","8745","  ","10498","  ","12257","  ","9850","  ","71796","  ","5420","  ","3615","  ","4496","  ","5758","  ","7681","  ","6783","  ","8150","  ","6338","  ","5553","  ","6071","  ","4512","  ","7420","  ",
"California","566436","  ","694191","  ","704208","  ","62796","  ","64378","  ","79719","  ","73353","  ","63265","  ","40612","  ","37555","  ","37295","  ","47120","  ","60342","  ","816787","  ","63111","  ","59484","  ","84917","  ","89295","  ","91733","  ","86319","  ","74951","  ","51799","  ","52877","  ","53804","  ","46614","  ","61882","  ","831522","  ","66095","  ","61219","  ","85776","  ","86626","  ","82009","  ","80285","  ","56205","  ","57046","  ","56546","  ","58980","  ","68285","  ","72448","  ",
"Colorado","82445","  ","74753","  ","78649","  ","5843","  ","6766","  ","10128","  ","11678","  ","10292","  ","7740","  ","8612","  ","7311","  ","6294","  ","7781","  ","92757","  ","8346","  ","9658","  ","8172","  ","9582","  ","10114","  ","9620","  ","8089","  ","5015","  ","5970","  ","6214","  ","5508","  ","6471","  ","96589","  ","8781","  ","9159","  ","9101","  ","8810","  ","8419","  ","10115","  ","7907","  ","8022","  ","5348","  ","8235","  ","6349","  ","6343","  ",
"Connecticut","102972","  ","98371","  ","82100","  ","9510","  ","9817","  ","12141","  ","11476","  ","9275","  ","10263","  ","11348","  ","8938","  ","9698","  ","10507","  ","119305","  ","11119","  ","9814","  ","10291","  ","10504","  ","12188","  ","11619","  ","9406","  ","8748","  ","8839","  ","8474","  ","7570","  ","10731","  ","100359","  ","9836","  ","8423","  ","6987","  ","8075","  ","10589","  ","11242","  ","8922","  ","7959","  ","8610","  ","7025","  ","6610","  ","6081","  ",
"Delaware","48107","  ","40204","  ","37937","  ","5343","  ","5237","  ","7105","  ","7425","  ","6001","  ","3953","  ","4602","  ","3856","  ","2385","  ","2200","  ","44725","  ","2190","  ","2330","  ","3068","  ","4903","  ","5119","  ","5710","  ","4509","  ","4886","  ","5269","  ","2110","  ","1594","  ","3037","  ","46136","  ","3960","  ","4239","  ","3865","  ","4807","  ","5538","  ","5636","  ","4589","  ","3121","  ","3066","  ","3304","  ","2005","  ","2006","  ",
"District of Columbia","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--",
"Florida","1028563","  ","978770","  ","898765","  ","96935","  ","108800","  ","122107","  ","122348","  ","114263","  ","106956","  ","99999","  ","90925","  ","79470","  ","86759","  ","1160140","  ","89587","  ","91782","  ","100028","  ","105993","  ","113372","  ","111305","  ","105902","  ","101485","  ","98620","  ","86390","  ","74272","  ","81404","  ","1036754","  ","70656","  ","67333","  ","90571","  ","96134","  ","112988","  ","104729","  ","95806","  ","94357","  ","87132","  ","78226","  ","60860","  ","77962","  ",
"Georgia","329376","  ","300676","  ","240987","  ","26062","  ","31785","  ","41364","  ","43097","  ","39628","  ","33268","  ","30528","  ","29410","  ","25637","  ","28597","  ","354090","  ","25887","  ","27527","  ","29598","  ","30621","  ","35927","  ","39940","  ","33576","  ","27974","  ","22117","  ","25712","  ","25962","  ","29248","  ","289972","  ","24167","  ","24819","  ","29677","  ","28534","  ","32954","  ","28806","  ","26583","  ","22444","  ","17644","  ","18337","  ","14144","  ","21864","  ",
"Hawaii","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--",
"Idaho","21382","  ","22710","  ","15714","  ","1367","  ","2672","  ","3699","  ","2553","  ","2013","  ","1407","  ","630","  ","1766","  ","2398","  ","2877","  ","27790","  ","2840","  ","2240","  ","2500","  ","2930","  ","3645","  ","3230","  ","3481","  ","2082","  ","1276","  ","857","  ","438","  ","2272","  ","18370","  ","1155","  ","1502","  ","1219","  ","2401","  ","2804","  ","2136","  ","595","  ","998","  ","246","  ","404","  ","2196","  ","2715","  ",
