"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Pennsylvania","0.00","NA","8.67","  ","10.12","  ","8.32","  ","8.43","  ","8.62","R","5.77","  ","9.13","  ","0.00","NA","0.00","NA","6.72","  ","7.21","  ","6.81","  ","7.07","  ","8.59","  ","7.62","  ","8.47","  ","8.93","  ","10.37","  ","10.35","  ","10.06","  ","10.21","  ","9.59","  ","8.25","  ","7.85","  ","8.96","  ","8.74","  ","9.95","  ","8.92","  ","9.16","  ","11.22","  ","10.46","  ","10.82","  ","10.15","  ","10.70","  ","10.32","  ","9.89","  ","11.17","  ","9.47","  ","10.02","  ",
"Rhode Island","8.78","  ","9.35","  ","10.37","  ","8.83","  ","9.01","  ","9.16","  ","9.22","  ","8.91","  ","8.76","  ","8.91","  ","8.77","  ","8.40","  ","8.44","  ","8.61","  ","9.26","  ","8.22","  ","9.48","  ","9.92","  ","9.79","  ","10.09","  ","9.61","  ","9.38","  ","9.75","  ","9.20","  ","9.00","  ","9.01","  ","9.12","  ","10.27","  ","9.28","  ","10.76","  ","11.94","  ","11.41","  ","11.53","  ","12.68","  ","10.71","  ","11.39","  ","9.42","  ","9.09","  ","8.87","  ","8.76","  ",
"South Carolina","4.38","  ","4.68","  ","6.14","  ","5.06","  ","4.75","  ","4.63","  ","4.50","  ","4.73","  ","3.80","  ","3.78","  ","3.65","  ","3.79","  ","4.46","  ","5.12","  ","4.64","  ","4.25","  ","4.09","  ","4.26","  ","4.37","  ","4.59","  ","4.47","  ","4.56","  ","4.19","  ","4.36","  ","4.96","  ","5.99","  ","5.77","  ","6.14","  ","6.08","  ","5.59","  ","5.39","  ","5.46","  ","5.25","  ","5.90","  ","6.16","  ","6.33","  ","6.25","  ","6.77","  ","7.41","  ","6.88","  ",
"South Dakota","4.78","  ","5.44","  ","7.03","  ","4.94","  ","5.09","  ","6.12","R","6.01","R","5.20","R","4.78","R","4.33","R","4.10","R","4.50","R","4.51","R","4.83","R","5.34","  ","4.56","  ","4.56","  ","5.13","  ","6.04","  ","5.73","  ","5.71","  ","5.14","  ","5.50","  ","5.42","  ","5.31","  ","5.52","  ","6.04","  ","6.88","  ","5.94","  ","5.71","  ","6.70","  ","7.08","  ","7.55","  ","7.59","  ","7.25","  ","6.79","  ","7.83","  ","8.55","  ","6.97","  ","6.10","  ",
"Tennessee","4.32","  ","5.10","  ","6.30","  ","4.76","  ","4.67","  ","4.46","  ","4.31","  ","4.38","  ","3.65","  ","3.75","  ","3.80","  ","4.24","  ","4.73","  ","4.65","  ","5.06","  ","4.58","  ","4.47","  ","4.45","  ","4.63","  ","4.79","  ","4.80","  ","4.87","  ","4.83","  ","4.99","  ","5.69","  ","5.75","  ","6.18","  ","6.31","  ","6.37","  ","5.76","  ","5.68","  ","5.54","  ","5.55","  ","6.04","  ","6.41","  ","6.61","  ","6.63","  ","6.98","  ","7.15","  ","6.42","  ",
"Texas","2.59","  ","2.94","  ","4.73","  ","2.94","  ","3.22","  ","3.16","  ","3.01","  ","2.98","  ","2.16","  ","2.14","  ","2.08","  ","1.88","  ","2.39","  ","2.45","  ","2.89","  ","2.38","  ","2.28","  ","2.77","  ","2.95","  ","3.13","  ","3.07","  ","3.04","  ","2.82","  ","2.88","  ","3.00","  ","3.10","  ","3.37","  ","4.71","  ","4.50","  ","3.98","  ","4.26","  ","4.35","  ","4.36","  ","4.90","  ","4.82","  ","5.03","  ","4.87","  ","5.05","  ","5.69","  ","4.63","  ",
"Utah","5.48","  ","5.92","  ","5.81","  ","5.17","  ","4.96","  ","4.93","  ","5.00","  ","5.02","  ","5.10","  ","5.14","  ","5.68","  ","5.97","  ","6.44","  ","6.07","  ","5.93","  ","6.01","  ","5.35","  ","5.24","  ","5.30","  ","5.32","  ","5.20","  ","5.72","  ","5.94","  ","6.50","  ","6.72","  ","6.74","  ","6.65","  ","5.87","  ","6.54","  ","5.69","  ","5.53","  ","5.55","  ","5.76","  ","5.82","  ","5.54","  ","5.49","  ","6.31","  ","6.41","  ","6.10","  ","5.89","  ",
"Vermont","5.14","  ","5.47","  ","6.66","  ","5.20","  ","5.13","  ","5.14","  ","5.31","  ","5.61","  ","4.97","  ","5.13","  ","4.93","  ","4.96","  ","5.17","  ","5.14","  ","5.50","  ","5.81","  ","5.42","  ","5.58","  ","4.65","  ","4.53","  ","5.90","  ","5.17","  ","5.23","  ","5.29","  ","5.98","  ","6.25","  ","5.70","  ","6.63","  ","6.37","  ","5.90","  ","5.86","  ","5.58","  ","5.48","  ","5.97","  ","6.42","  ","6.10","  ","6.10","  ","10.64","  ","6.93","  ","6.90","  ",
"Virginia","4.12","  ","5.07","  ","6.44","  ","4.20","  ","4.15","  ","4.20","  ","4.28","  ","3.91","  ","4.06","  ","3.84","  ","3.56","  ","4.13","  ","4.22","  ","4.51","  ","5.02","  ","4.48","  ","3.95","  ","4.69","  ","4.86","  ","4.56","  ","4.81","  ","5.08","  ","5.33","  ","5.15","  ","5.32","  ","5.28","  ","5.76","  ","6.43","  ","6.29","  ","6.16","  ","6.48","  ","6.33","  ","6.27","  ","6.74","  ","6.45","  ","6.59","  ","6.84","  ","6.85","  ","6.48","  ","5.97","  ",
"Washington","7.41","  ","9.17","  ","8.49","  ","7.17","  ","7.12","  ","7.26","  ","7.69","  ","7.67","  ","8.07","  ","7.25","  ","7.31","  ","7.39","  ","7.64","  ","7.30","  ","8.91","  ","7.30","  ","7.89","  ","8.70","  ","9.23","  ","9.33","  ","10.04","  ","9.45","  ","9.21","  ","9.55","  ","8.91","  ","9.40","  ","9.63","  ","8.55","  ","9.06","  ","8.73","  ","8.38","  ","8.42","  ","8.44","  ","8.49","  ","8.44","  ","8.36","  ","8.26","  ","8.51","  ","8.55","  ","8.63","  ",
"West Virginia","0.00","NA","3.25","  ","5.00","  ","2.12","  ","2.21","  ","2.06","  ","2.00","  ","2.03","  ","2.11","  ","2.02","  ","2.76","  ","0.00","NA","2.35","  ","2.17","  ","3.17","  ","2.58","  ","2.13","  ","3.21","  ","3.19","  ","3.23","  ","3.22","  ","3.18","  ","3.16","  ","3.29","  ","3.49","  ","3.37","  ","3.79","  ","5.00","  ","5.00","  ","5.24","  ","5.13","  ","5.27","  ","5.13","  ","5.35","  ","4.58","  ","4.50","  ","4.69","  ","5.03","  ","5.19","  ","4.56","  ",
"Wisconsin","4.94","  ","5.67","  ","8.15","  ","5.33","  ","4.63","  ","4.60","  ","4.28","  ","4.63","  ","3.44","  ","3.97","  ","5.05","  ","4.94","  ","5.45","  ","5.74","  ","5.65","  ","5.43","  ","5.37","  ","4.69","  ","4.56","  ","4.91","  ","4.54","  ","5.07","  ","4.42","  ","4.46","  ","6.40","  ","6.67","  ","6.78","  ","8.08","  ","7.59","  ","6.98","  ","6.30","  ","6.93","  ","6.52","  ","7.37","  ","6.72","  ","10.57","  ","8.98","  ","11.91","  ","8.09","  ","7.24","  ",
"Wyoming","0.00","NA","5.24","  ","5.96","  ","0.00","NA","4.12","  ","0.00","NA","2.77","  ","0.00","NA","0.00","NA","0.00","NA","3.87","  ","3.56","  ","3.66","  ","3.76","  ","5.07","  ","4.01","  ","4.63","  ","4.56","  ","4.75","  ","4.75","  ","4.63","  ","5.20","  ","5.02","  ","5.36","  ","5.17","  ","5.40","  ","6.48","  ","5.89","  ","5.00","  ","5.74","  ","5.30","  ","5.74","  ","6.15","  ","6.01","  ","6.08","  ","6.08","  ","7.04","  ","6.52","  ","5.51","  ","5.37","  ",
" Total","3.43","  ","3.95","  ","5.62","  ","3.86","  ","3.87","  ","3.73","  ","3.58","  ","3.56","  ","2.89","R","2.91","  ","3.00","  ","3.04","  ","3.63","  ","3.62","  ","3.91","  ","3.45","  ","3.26","  ","3.52","  ","3.63","  ","3.77","  ","3.73","  ","3.74","  ","3.56","  ","3.94","  ","4.43","  ","4.71","  ","4.87","  ","5.62","  ","5.62","  ","5.02","  ","5.03","  ","5.02","  ","4.96","  ","5.43","  ","5.46","  ","5.74","  ","5.85","  ","6.47","  ","6.63","  ","5.69","  ",
