"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Georgia","3.93","  ","4.47","  ","6.09","  ","4.28","  ","4.33","  ","4.42","  ","4.25","  ","4.14","  ","3.54","  ","3.50","  ","3.45","  ","3.46","  ","3.95","  ","4.02","  ","4.42","  ","3.86","  ","3.76","  ","4.14","  ","4.28","  ","4.38","  ","4.34","  ","4.41","  ","4.14","  ","4.22","  ","5.02","  ","4.98","  ","5.34","  ","6.07","  ","5.95","  ","5.55","  ","5.58","  ","5.57","  ","5.40","  ","6.14","  ","6.34","  ","6.23","  ","6.00","  ","6.56","  ","7.25","  ","6.27","  ",
"Hawaii","15.63","  ","19.39","  ","27.13","  ","16.80","  ","15.85","  ","15.65","  ","16.03","  ","16.51","  ","16.92","  ","15.05","  ","14.45","  ","13.73","  ","14.45","  ","16.17","  ","19.03","  ","15.06","  ","17.68","  ","17.99","  ","19.09","  ","19.29","  ","21.57","  ","20.94","  ","19.68","  ","19.40","  ","18.66","  ","18.33","  ","20.25","  ","26.75","  ","23.01","  ","24.67","  ","26.68","  ","28.07","  ","28.68","  ","27.40","  ","28.06","  ","27.22","  ","26.96","  ","26.47","  ","27.21","  ","26.63","  ",
"Idaho","0.00","NA","5.88","  ","5.94","  ","0.00","NA","0.00","NA","5.40","  ","5.46","  ","5.43","  ","5.46","  ","5.44","  ","5.50","  ","5.46","  ","5.46","  ","5.41","  ","5.83","  ","5.40","  ","4.93","  ","5.77","  ","5.93","  ","6.09","  ","6.10","  ","5.85","  ","5.86","  ","5.93","  ","6.01","  ","6.14","  ","6.16","  ","5.96","  ","6.11","  ","5.38","  ","5.93","  ","5.67","  ","6.01","  ","5.63","  ","6.14","  ","5.72","  ","5.88","  ","6.58","  ","6.17","  ","6.17","  ",
"Illinois","0.00","NA","5.58","  ","7.90","  ","5.76","  ","5.66","  ","0.00","NA","7.08","  ","0.00","NA","5.43","  ","0.00","NA","4.89","  ","4.69","  ","4.50","  ","4.24","  ","5.47","  ","4.65","  ","4.59","  ","5.39","  ","6.19","  ","5.96","  ","6.06","  ","5.94","  ","5.66","  ","5.75","  ","5.74","  ","5.13","  ","6.02","  ","7.75","  ","6.64","  ","6.11","  ","6.32","  ","7.72","  ","11.94","  ","10.61","  ","9.49","  ","10.08","  ","11.32","  ","9.26","  ","7.00","  ","6.33","  ",
"Indiana","4.80","  ","6.52","  ","7.33","  ","5.23","  ","4.91","  ","5.72","  ","5.93","  ","5.70","  ","4.96","  ","4.10","  ","4.39","  ","4.67","  ","4.85","  ","4.36","  ","6.36","  ","4.79","  ","4.42","  ","4.27","  ","5.21","  ","5.85","  ","6.29","  ","5.70","  ","6.14","  ","9.14","  ","7.18","  ","6.69","  ","7.52","  ","7.32","  ","7.23","  ","5.22","  ","5.91","  ","6.27","  ","7.39","  ","8.50","  ","6.68","  ","7.68","  ","8.89","  ","9.83","  ","6.97","  ","7.64","  ",
"Iowa","0.00","NA","5.35","  ","7.68","  ","4.51","  ","4.76","  ","4.78","  ","4.18","  ","4.49","  ","4.28","  ","3.92","  ","4.28","  ","4.68","  ","0.00","NA","5.30","  ","5.28","  ","4.61","  ","5.26","  ","4.56","  ","6.17","  ","5.11","  ","5.45","  ","4.77","  ","4.76","  ","4.47","  ","5.67","  ","5.63","  ","6.40","  ","7.59","  ","6.91","  ","6.49","  ","6.67","  ","7.80","  ","8.00","  ","7.60","  ","8.66","  ","7.78","  ","7.91","  ","8.87","  ","8.77","  ","7.20","  ",
"Kansas","0.00","NA","4.22","  ","5.66","  ","4.54","  ","0.00","NA","3.80","  ","3.64","  ","3.45","  ","3.27","  ","3.35","  ","0.00","NA","4.25","  ","6.19","  ","6.68","  ","4.24","  ","5.61","  ","4.62","  ","4.18","  ","3.90","  ","3.95","  ","4.00","  ","4.08","  ","4.17","  ","4.43","  ","5.75","  ","5.82","  ","6.98","  ","5.68","  ","6.35","  ","5.70","  ","5.58","  ","5.09","  ","5.15","  ","5.60","  ","5.67","  ","5.79","  ","6.37","  ","7.73","  ","7.74","  ","6.94","  ",
"Kentucky","3.59","  ","4.53","  ","5.78","  ","4.17","  ","4.05","  ","3.87","  ","3.59","  ","3.89","  ","2.91","  ","3.26","  ","2.87","  ","3.38","  ","3.71","  ","3.86","  ","4.45","  ","3.65","  ","3.51","  ","3.86","  ","3.94","  ","4.13","  ","4.43","  ","4.60","  ","4.27","  ","4.51","  ","5.22","  ","5.21","  ","5.37","  ","5.78","  ","5.78","  ","5.23","  ","5.47","  ","5.49","  ","5.17","  ","5.52","  ","5.73","  ","5.86","  ","5.67","  ","6.20","  ","7.00","  ","5.86","  ",
"Louisiana","0.00","NA","3.34","  ","5.09","  ","0.00","NA","3.50","  ","3.33","  ","3.15","  ","3.37","  ","2.47","  ","2.55","  ","2.48","  ","2.39","  ","2.92","  ","3.06","  ","3.31","  ","2.98","  ","2.74","  ","3.14","  ","3.29","  ","3.47","  ","3.44","  ","3.39","  ","2.93","  ","3.22","  ","3.48","  ","3.66","  ","3.87","  ","5.05","  ","4.63","  ","4.51","  ","4.54","  ","4.52","  ","4.40","  ","4.89","  ","5.26","  ","5.36","  ","5.22","  ","5.57","  ","6.42","  ","5.11","  ",
"Maine","7.47","  ","9.03","  ","11.44","  ","8.83","  ","5.99","  ","6.13","  ","5.99","  ","5.58","  ","5.55","  ","5.78","  ","8.46","  ","8.51","  ","8.52","  ","8.46","  ","8.95","  ","8.50","  ","8.20","  ","4.56","  ","4.72","  ","4.81","  ","4.68","  ","4.61","  ","5.50","  ","14.71","  ","15.12","  ","15.22","  ","15.20","  ","11.93","  ","14.34","  ","13.61","  ","9.01","  ","8.74","  ","9.69","  ","10.53","  ","10.30","  ","11.01","  ","13.58","  ","13.86","  ","12.73","  ","11.37","  ",
"Maryland","0.00","NA","9.58","  ","9.78","  ","9.55","  ","10.78","  ","0.00","NA","0.00","NA","13.92","  ","9.88","  ","7.42","  ","7.63","  ","8.62","  ","8.52","  ","8.37","  ","9.70","  ","10.84","  ","10.90","  ","9.52","  ","8.76","  ","9.99","  ","11.89","  ","12.71","  ","10.17","  ","8.08","  ","8.81","  ","9.64","  ","10.06","  ","9.94","  ","11.02","  ","9.45","  ","10.41","  ","11.20","  ","11.04","  ","11.73","  ","10.14","  ","12.22","  ","9.76","  ","8.67","  ","10.46","  ","9.34","  ",
"Massachusetts","7.80","  ","9.25","  ","11.46","  ","8.76","  ","7.46","  ","6.51","  ","6.80","  ","6.76","  ","6.59","  ","7.79","  ","8.04","  ","7.98","  ","8.36","  ","8.21","  ","9.22","  ","8.90","  ","7.31","  ","5.51","  ","6.26","  ","6.91","  ","6.66","  ","6.90","  ","8.73","  ","9.67","  ","9.60","  ","10.86","  ","11.74","  ","11.53","  ","11.98","  ","11.28","  ","8.45","  ","9.50","  ","9.88","  ","10.32","  ","10.21","  ","11.59","  ","13.53","  ","13.08","  ","11.68","  ","11.19","  ",
"Michigan","0.00","NA","6.70","  ","7.89","  ","5.62","  ","6.20","  ","0.00","NA","6.06","  ","6.39","  ","6.00","  ","5.76","  ","5.59","  ","5.61","  ","5.96","  ","5.82","  ","6.60","  ","5.78","  ","5.76","  ","6.33","  ","6.75","  ","7.02","  ","6.44","  ","6.78","  ","6.59","  ","6.21","  ","6.70","  ","6.98","  ","7.06","  ","7.84","  ","7.41","  ","7.27","  ","7.60","  ","7.98","  ","8.11","  ","8.61","  ","8.14","  ","8.02","  ","7.44","  ","8.87","  ","8.19","  ","7.08","  ",
"Minnesota","4.07","  ","4.94","  ","6.57","  ","4.27","  ","4.20","  ","4.09","  ","4.09","  ","4.11","  ","3.71","  ","4.25","  ","3.35","  ","3.65","  ","4.22","  ","4.37","  ","4.87","  ","4.24","  ","4.13","  ","4.24","  ","4.17","  ","4.68","  ","4.53","  ","4.62","  ","4.19","  ","4.55","  ","5.82","  ","5.83","  ","5.89","  ","6.57","  ","6.57","  ","5.66","  ","6.09","  ","6.01","  ","5.57","  ","6.14","  ","6.09","  ","6.28","  ","6.22","  ","10.04","  ","7.01","  ","5.69","  ",
"Mississippi","4.34","  ","4.80","  ","6.14","  ","4.85","  ","4.63","  ","4.54","  ","4.52","  ","3.89","  ","3.88","  ","3.75","  ","4.03","  ","4.31","  ","4.55","  ","4.62","  ","4.75","  ","4.18","  ","4.31","  ","4.27","  ","4.52","  ","4.00","  ","4.54","  ","4.36","  ","4.46","  ","4.75","  ","5.75","  ","5.49","  ","6.16","  ","6.15","  ","6.26","  ","6.03","  ","6.08","  ","5.70","  ","6.18","  ","6.93","  ","6.86","  ","6.30","  ","5.58","  ","5.62","  ","6.30","  ","6.38","  ",
"Missouri","5.94","  ","7.65","  ","7.95","  ","6.56","  ","5.79","  ","5.91","  ","6.09","  ","6.70","  ","5.78","  ","5.29","  ","5.77","  ","5.84","  ","6.02","  ","5.80","  ","7.58","  ","6.91","  ","6.97","  ","7.17","  ","7.96","  ","7.29","  ","7.88","  ","7.52","  ","7.33","  ","7.95","  ","7.79","  ","7.65","  ","7.92","  ","8.00","  ","8.36","  ","8.25","  ","7.99","  ","8.02","  ","8.11","  ","8.38","  ","8.39","  ","8.49","  ","8.43","  ","7.95","  ","7.39","  ","7.58","  ",
"Montana","5.63","  ","6.64","  ","8.02","  ","5.54","  ","5.45","  ","5.67","  ","6.32","  ","4.84","  ","6.18","  ","4.82","  ","5.40","  ","5.52","  ","6.27","  ","5.88","  ","6.53","  ","5.54","  ","6.16","  ","5.87","  ","7.00","  ","5.93","  ","6.41","  ","4.89","  ","6.49","  ","7.00","  ","7.25","  ","7.38","  ","8.18","  ","7.99","  ","7.64","  ","7.84","  ","7.36","  ","7.83","  ","10.01","  ","10.23","  ","9.58","  ","10.34","  ","9.35","  ","8.61","  ","7.22","  ","7.17","  ",
"Nebraska","3.91","  ","4.54","  ","5.61","  ","4.17","  ","3.92","  ","3.99","  ","3.89","  ","3.60","  ","3.29","  ","3.20","  ","3.69","  ","4.23","  ","4.23","  ","4.32","  ","4.56","  ","4.79","  ","4.08","  ","4.12","  ","4.27","  ","4.33","  ","4.27","  ","3.83","  ","4.13","  ","5.53","  ","5.39","  ","4.34","  ","4.84","  ","5.69","  ","6.43","  ","5.95","  ","5.98","  ","6.18","  ","5.98","  ","5.96","  ","4.87","  ","5.36","  ","6.26","  ","6.18","  ","4.51","  ","5.37","  ",
