"                   ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Missouri","-168","  ","433","  ","-586","  ","28","  ","-212","  ","-268","  ","-581","  ","0","  ","0","  ","-0","*","0","  ","0","  ","-976","  ","1273","  ","151","  ","-1253","  ","135","  ","-314","  ","-312","  ","-257","  ","-777","  ","0","  ","0","  ","0","*","-5","  ","1","  ","58","  ","218","  ",
"Montana","2057","  ","4394","  ","-3197","  ","3620","  ","2456","  ","-1050","  ","-2101","  ","-3445","  ","-3385","  ","-3128","  ","-2545","  ","-1350","  ","-172","  ","3314","  ","4588","  ","16007","  ","3346","  ","3688","  ","-1742","  ","-1952","  ","-2072","  ","-2852","  ","-2151","  ","-2124","  ","1805","  ","5696","  ","7344","  ","7020","  ",
"Nebraska","549","  ","1788","  ","-786","  ","979","  ","212","  ","-1193","  ","-1296","  ","-965","  ","-77","  ","-1343","  ","-1121","  ","-417","  ","669","  ","1778","  ","1989","  ","-278","  ","888","  ","719","  ","-574","  ","-2299","  ","-1907","  ","-1589","  ","-1809","  ","-94","  ","761","  ","498","  ","2400","  ","2728","  ",
"New Mexico","1413","  ","1568","  ","-19897","  ","-616","  ","-2132","  ","-2258","  ","-1275","  ","-1429","  ","-1726","  ","-1306","  ","-2874","  ","-2771","  ","-2404","  ","-1237","  ","131","  ","7015","  ","440","  ","-200","  ","-2469","  ","-41","  ","1099","  ","401","  ","-2165","  ","-1792","  ","-399","  ","2453","  ","5131","  ","4559","  ",
"New York","14573","  ","21931","R","-17194","  ","2247","  ","-87","  ","-6422","  ","-8417","  ","-8306","  ","-9358","  ","-15320","  ","-12888","  ","-4966","  ","12114","  ","16529","  ","17678","  ","-4857","  ","5228","  ","7036","  ","-11131","  ","-14041","  ","-15669","  ","-13780","  ","-11399","  ","-6000","  ","-1276","  ","14829","  ","17329","  ","24017","  ",
"Ohio","32160","  ","47082","  ","-33025","  ","19441","  ","7717","  ","-11308","  ","-22886","  ","-27651","  ","-25160","  ","-26651","  ","-31413","  ","-14797","  ","19170","  ","37546","  ","42969","  ","-6127","  ","23765","  ","18676","  ","-15873","  ","-25383","  ","-22667","  ","-22917","  ","-28204","  ","-27166","  ","-9245","  ","19863","  ","32485","  ","50540","  ",
"Oklahoma","10070","  ","26725","  ","-32397","  ","8250","  ","3951","  ","-13483","  ","-8189","  ","-6183","  ","-8740","  ","-17758","  ","-30908","  ","-22563","  ","1625","  ","31015","  ","30588","  ","-6811","  ","15204","  ","7444","  ","-24105","  ","-15412","  ","-10561","  ","-10836","  ","-16051","  ","-19840","  ","-10928","  ","14326","  ","29979","  ","33969","  ",
"Oregon","481","  ","1845","  ","474","  ","2338","  ","1139","  ","-1330","  ","-1482","  ","-685","  ","2","  ","-374","  ","-2416","  ","116","  ","-732","  ","688","  ","3212","  ","-3318","  ","1267","  ","1993","  ","-505","  ","-1425","  ","-1897","  ","-3056","  ","-4133","  ","-3018","  ","-36","  ","102","  ","2637","  ","4752","  ",
"Pennsylvania","62426","  ","87473","  ","-40797","  ","11466","  ","-5821","  ","-31589","  ","-38785","  ","-35179","  ","-24593","  ","-51105","  ","-62659","  ","-27319","  ","48329","  ","92652","  ","83807","  ","-41556","  ","29332","  ","16036","  ","-39656","  ","-50233","  ","-44335","  ","-38363","  ","-55862","  ","-63219","  ","-26488","  ","46657","  ","88267","  ","96309","  ",
"Tennessee","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"Texas","24128","  ","56721","R","-91530","  ","6424","  ","-2086","  ","-41913","  ","-35276","  ","-6397","  ","-1462","  ","-23854","  ","-64583","  ","-68034","  ","4146","  ","75241","  ","66265","  ","-19539","  ","10548","  ","-17967","  ","-60721","  ","-44441","  ","-11235","  ","-22245","  ","-33940","  ","-44996","  ","-30409","  ","44718","  ","89138","  ","102009","  ",
