"                        ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"                        ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Exports",
"  Volume (million cubic feet)           ",
"    Pipeline                            ",
"      Canada                            ","131783","  ","150621","  ","166474","  ","62154","  ","69629","R","700647","  ","58603","  ","61260","  ","57430","  ","59695","  ","40986","  ","39995","  ","44658","  ","44672","  ","53086","  ","89639","  ","77594","  ","73028","  ","769258","  ","73331","  ","62327","  ","51838","  ","52153","  ","46888","  ","55096","  ","54581","  ","49976","  ","65157","  ","91436","  ","84535","  ","81939","  ",
"      Mexico                            ","199266","  ","133231","  ","104098","  ","98777","  ","100489","  ","1054271","  ","99952","  ","91490","  ","98314","  ","100111","  ","101131","  ","101031","  ","90724","  ","86805","  ","77196","  ","74286","  ","64596","  ","68635","  ","728513","  ","63601","  ","58487","  ","60318","  ","64834","  ","65624","  ","69366","  ","65247","  ","62199","  ","56719","  ","58019","  ","51291","  ","52807","  ",
"    Total Pipeline Exports              ","331049","  ","283853","  ","270572","  ","160931","  ","170118","R","1754918","  ","158555","  ","152750","  ","155744","  ","159806","  ","142117","  ","141027","  ","135382","  ","131477","  ","130283","  ","163925","  ","142190","  ","141663","  ","1497771","  ","136932","  ","120814","  ","112156","  ","116987","  ","112513","  ","124462","  ","119828","  ","112175","  ","121877","  ","149455","  ","135827","  ","134746","  ",
"    LNG                                 ",
"       Exports",
"          By Vessel",
"             Barbados","2","  ","0","  ","0","  ","2","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Brazil","1993","  ","0","  ","0","  ","1993","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Japan                             ","0","  ","0","  ","0","  ","0","  ","0","  ","8262","  ","0","  ","0","  ","2755","  ","0","  ","2753","  ","2753","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","13310","  ","0","  ","0","  ","2884","  ","2886","  ","2846","  ","2809","  ","0","  ","1886","  ","0","  ","0","  ","0","  ","0","  ",
"             Taiwan","0","  ","0","  ","0","  ","0","  ","0","  ","8257","  ","0","  ","0","  ","0","  ","2755","  ","0","  ","0","  ","2754","  ","2748","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"          By Truck",
"            Canada","2","  ","10","  ","20","  ","0","  ","2","  ","41","  ","0","  ","1","  ","0","  ","2","  ","0","  ","5","  ","6","  ","6","  ","7","  ","6","  ","4","  ","6","  ","99","  ","8","  ","7","  ","7","  ","6","  ","7","  ","7","  ","7","  ","9","  ","9","  ","11","  ","12","  ","8","  ",
"            Mexico","48","  ","37","  ","39","  ","24","  ","25","  ","195","  ","27","  ","21","  ","14","  ","11","  ","10","  ","13","  ","14","  ","15","  ","18","  ","17","  ","16","  ","21","  ","181","  ","20","  ","20","  ","13","  ","12","  ","10","  ","11","  ","10","  ","12","  ","16","  ","17","  ","18","  ","21","  ",
"       Re-Exports",
"          By Vessel",
"            Brazil                     ","1290","  ","5533","  ","2664","  ","1290","  ","0","  ","5533","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2728","  ","2805","  ","2664","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","2664","  ","0","  ",
"            Egypt                    ","0","  ","0","  ","0","  ","0","  ","0","  ","2947","  ","0","  ","2947","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"            Turkey                           ","0","  ","0","  ","0","  ","0","  ","0","  ","3145","  ","3145","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"    Total LNG Exports                   ","3336","  ","5580","  ","2724","  ","3309","  ","26","  ","28381","  ","3172","  ","2969","  ","2769","  ","2767","  ","2763","  ","2771","  ","2774","  ","2769","  ","24","  ","23","  ","2748","  ","2832","  ","16255","  ","28","  ","27","  ","2904","  ","2904","  ","2863","  ","2827","  ","17","  ","1907","  ","25","  ","28","  ","2694","  ","29","  ",
"    CNG",
"        Canada","46","  ","44","  ","61","  ","22","  ","25","  ","214","  ","27","  ","20","  ","4","  ","0","  ","5","  ","23","  ","23","  ","28","  ","21","  ","20","  ","17","  ","27","  ","217","  ","22","  ","20","  ","9","  ","0","  ","0","  ","12","  ","19","  ","22","  ","26","  ","25","  ","29","  ","32","  ",
"    Total CNG Exports          ","46","  ","44","  ","61","  ","22","  ","25","  ","214","  ","27","  ","20","  ","4","  ","0","  ","5","  ","23","  ","23","  ","28","  ","21","  ","20","  ","17","  ","27","  ","217","  ","22","  ","20","  ","9","  ","0","  ","0","  ","12","  ","19","  ","22","  ","26","  ","25","  ","29","  ","32","  ",
"  Total Exports                         ","334431","  ","289477","  ","273357","  ","164262","  ","170169","R","1783512","  ","161754","  ","155739","  ","158517","  ","162573","  ","144885","  ","143820","  ","138179","  ","134274","  ","130328","  ","163967","  ","144955","  ","144522","  ","1514242","  ","136982","  ","120861","  ","115069","  ","119891","  ","115376","  ","127301","  ","119864","  ","114105","  ","121928","  ","149508","  ","138550","  ","134807","  ",
" Average Price (dollars per",
"  thousand cubic feet)        ",
"    Pipeline                            ",
"      Canada                            ","2.51","  ","4.02","  ","9.00","  ","2.35","  ","2.66","R","3.15","  ","2.30","  ","2.50","  ","2.76","  ","2.97","  ","2.97","  ","2.84","  ","2.85","  ","2.85","  ","2.91","  ","3.71","  ","4.39","  ","3.63","  ","6.10","  ","4.28","  ","4.64","  ","3.96","  ","3.98","  ","3.94","  ","4.37","  ","4.81","  ","4.78","  ","5.04","  ","10.13","  ","11.42","  ","6.49","  ",
