"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","35322","  ","34045","  ","33242","  ","16519","  ","18803","  ","186213","  ","15670","  ","15100","  ","15292","  ","14897","  ","15311","  ","15749","  ","14619","  ","15463","  ","14146","  ","15920","  ","16256","  ","17790","  ","187661","  ","16659","  ","16447","  ","15823","  ","14995","  ","14709","  ","14433","  ","14638","  ","15234","  ","15238","  ","16244","  ","15286","  ","17956","  ",
"Alaska","0","NA","891","  ","697","  ","0","NA","0","NA","4545","  ","393","  ","354","  ","348","  ","323","  ","375","  ","359","  ","352","  ","371","  ","363","  ","416","  ","425","  ","465","  ","4847","  ","494","  ","458","  ","508","  ","485","  ","434","  ","427","  ","320","  ","338","  ","283","  ","403","  ","336","  ","361","  ",
"Arizona","3805","  ","3734","  ","4125","  ","1785","  ","2020","  ","19991","  ","1988","  ","1844","  ","1572","  ","1417","  ","1457","  ","1468","  ","1481","  ","1611","  ","1626","  ","1793","  ","1661","  ","2073","  ","22489","  ","2349","  ","1980","  ","1761","  ","1634","  ","1684","  ","1675","  ","1611","  ","1812","  ","1879","  ","1979","  ","1934","  ","2191","  ",
"Arkansas","15009","  ","16472","  ","16423","  ","7184","  ","7825","  ","84464","  ","7148","  ","7098","  ","6790","  ","6286","  ","6370","  ","6345","  ","6360","  ","6728","  ","7046","  ","7820","  ","8105","  ","8367","  ","88797","  ","8029","  ","8537","  ","7495","  ","6721","  ","6743","  ","6720","  ","6521","  ","6770","  ","6995","  ","7842","  ","7682","  ","8742","  ",
"California","123288","  ","124391","  ","121587","  ","58941","  ","64347","  ","780616","  ","67213","  ","63799","  ","64699","  ","66196","  ","71776","  ","70121","  ","62828","  ","63828","  ","63395","  ","62368","  ","57625","  ","66766","  ","788817","  ","67425","  ","63073","  ","66331","  ","69753","  ","74044","  ","71666","  ","63954","  ","65214","  ","62483","  ","63286","  ","57702","  ","63885","  ",
"Colorado","16811","  ","16939","  ","16947","  ","7704","  ","9107","  ","78174","  ","8931","  ","7640","  ","5823","  ","4790","  ","4987","  ","4997","  ","4879","  ","5981","  ","6064","  ","7143","  ","8041","  ","8899","  ","78323","  ","8641","  ","7615","  ","5971","  ","4931","  ","4772","  ","4796","  ","5228","  ","5525","  ","6322","  ","7575","  ","8062","  ","8885","  ",
"Connecticut","5382","  ","5777","  ","6619","  ","2565","  ","2817","  ","25943","  ","2222","  ","2035","  ","1916","  ","1734","  ","1826","  ","1758","  ","1755","  ","1839","  ","2108","  ","2973","  ","2762","  ","3015","  ","28371","  ","2571","  ","2289","  ","1961","  ","1734","  ","1868","  ","1949","  ","1950","  ","2015","  ","2267","  ","3147","  ","3120","  ","3499","  ",
"Delaware","5338","  ","5474","  ","5321","  ","2517","  ","2821","  ","33127","  ","3040","  ","2682","  ","2590","  ","2448","  ","2636","  ","2669","  ","2561","  ","2819","  ","3037","  ","3171","  ","2494","  ","2980","  ","31004","  ","3094","  ","2769","  ","2668","  ","2582","  ","2473","  ","2269","  ","2140","  ","2477","  ","2340","  ","2871","  ","2644","  ","2676","  ",
"District of Columbia","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"Florida","18249","  ","17372","  ","17796","  ","8746","  ","9502","  ","96970","  ","8933","  ","7774","  ","7997","  ","7385","  ","7362","  ","7672","  ","7639","  ","8135","  ","8065","  ","8637","  ","8491","  ","8882","  ","94479","  ","8544","  ","7764","  ","7794","  ","7064","  ","6957","  ","7415","  ","6980","  ","7841","  ","8114","  ","8211","  ","8059","  ","9737","  ",
