"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","3.20","  ","4.03","  ","4.74","  ","3.18","  ","3.22","  ","0.00","NA","3.27","  ","3.61","  ","3.83","  ","3.81","  ","4.04","  ","3.80","  ","3.96","  ","0.00","NA","4.08","  ","4.12","  ","3.89","  ","4.18","  ","4.93","  ","4.62","  ","4.56","  ","4.90","  ","4.78","  ","4.80","  ","5.23","  ","5.61","  ","5.66","  ","5.37","  ","5.16","  ","5.07","  ","4.45","  ",
"Alaska","6.69","  ","7.33","  ","6.95","  ","6.65","  ","6.74","  ","6.57","  ","6.53","  ","6.56","  ","6.11","  ","5.90","  ","5.80","  ","5.60","  ","5.61","  ","5.80","  ","6.22","  ","6.86","  ","7.21","  ","7.43","  ","6.34","  ","6.06","  ","6.24","  ","6.10","  ","5.73","  ","5.63","  ","5.69","  ","5.69","  ","5.59","  ","6.06","  ","6.96","  ","7.11","  ","6.76","  ",
"Arizona","4.00","  ","4.73","  ","5.51","  ","4.60","  ","3.64","  ","0.00","NA","0.00","NA","4.42","  ","4.25","  ","4.48","  ","4.53","  ","4.55","  ","4.29","  ","3.81","  ","3.95","  ","5.45","  ","5.08","  ","4.52","  ","5.20","  ","4.69","  ","5.17","  ","5.00","  ","4.88","  ","5.02","  ","5.16","  ","5.20","  ","5.01","  ","5.02","  ","5.74","  ","6.12","  ","5.09","  ",
"Arkansas","3.57","  ","4.38","  ","5.45","  ","3.76","  ","3.43","  ","4.76","  ","4.00","  ","4.16","  ","5.63","  ","5.58","  ","6.92","  ","6.97","  ","6.46","  ","5.52","  ","6.31","  ","4.87","  ","4.27","  ","4.48","  ","5.84","  ","5.27","  ","4.98","  ","6.83","  ","6.87","  ","7.61","  ","7.98","  ","8.17","  ","7.71","  ","6.87","  ","5.97","  ","6.20","  ","4.86","  ",
"California","2.69","  ","3.47","  ","4.89","  ","2.65","  ","2.72","  ","3.27","  ","3.02","  ","3.08","  ","3.32","  ","3.42","  ","3.55","  ","3.56","  ","3.42","  ","2.96","  ","3.13","  ","3.27","  ","3.30","  ","3.58","  ","4.88","  ","4.78","  ","4.04","  ","4.66","  ","4.59","  ","4.46","  ","5.32","  ","4.87","  ","5.24","  ","4.91","  ","5.84","  ","4.89","  ","4.88","  ",
"Colorado","3.15","  ","4.01","  ","5.40","  ","3.23","  ","3.09","  ","3.96","  ","3.07","  ","3.24","  ","4.60","  ","5.62","  ","5.61","  ","5.36","  ","4.96","  ","4.20","  ","4.08","  ","4.39","  ","4.18","  ","3.89","  ","5.42","  ","4.92","  ","4.61","  ","5.84","  ","6.14","  ","6.34","  ","6.95","  ","6.27","  ","5.78","  ","5.38","  ","5.90","  ","5.99","  ","4.88","  ",
"Connecticut","3.36","  ","4.38","  ","5.99","  ","3.45","  ","3.27","  ","4.07","  ","3.80","  ","3.36","  ","3.58","  ","4.59","  ","4.45","  ","4.58","  ","4.58","  ","4.49","  ","3.28","  ","3.89","  ","4.50","  ","4.26","  ","5.61","  ","4.88","  ","4.78","  ","4.62","  ","5.51","  ","5.84","  ","6.10","  ","6.39","  ","6.63","  ","5.97","  ","5.68","  ","6.59","  ","5.46","  ",
"Delaware","3.82","  ","4.96","  ","5.77","  ","3.84","  ","3.81","  ","0.00","NA","4.98","  ","5.14","  ","6.54","  ","10.35","  ","10.03","  ","10.56","  ","0.00","NA","0.00","NA","6.31","  ","4.89","  ","5.29","  ","4.62","  ","5.54","  ","4.51","  ","4.71","  ","5.76","  ","6.92","  ","7.36","  ","7.44","  ","4.54","  ","6.95","  ","5.74","  ","5.28","  ","5.62","  ","5.90","  ",
"District of Columbia","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Florida","3.90","  ","5.29","  ","5.11","  ","3.95","  ","3.86","  ","0.00","NA","4.65","  ","3.92","  ","4.17","  ","4.53","  ","4.44","  ","4.87","  ","5.12","  ","0.00","NA","5.24","  ","6.30","  ","5.25","  ","5.33","  ","5.05","  ","4.72","  ","4.81","  ","4.82","  ","5.18","  ","4.63","  ","4.94","  ","5.37","  ","5.28","  ","5.37","  ","5.50","  ","5.41","  ","4.94","  ",
