"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","3.54","  ","4.63","  ","6.23","  ","3.55","  ","3.54","  ","3.94","  ","3.48","  ","3.33","  ","3.48","  ","3.68","  ","3.91","  ","3.82","  ","3.94","  ","3.56","  ","3.99","  ","4.53","  ","4.78","  ","4.50","  ","5.49","  ","5.25","  ","5.24","  ","4.75","  ","4.82","  ","4.74","  ","4.99","  ","5.72","  ","6.10","  ","5.82","  ","5.54","  ","6.77","  ","5.75","  ",
"Alaska","7.46","  ","7.34","  ","8.54","  ","7.46","  ","7.46","  ","7.21","  ","7.24","  ","7.17","  ","7.17","  ","7.17","  ","7.17","  ","7.17","  ","7.17","  ","7.21","  ","7.13","  ","7.14","  ","7.35","  ","7.33","  ","7.97","  ","7.76","  ","7.73","  ","7.87","  ","8.01","  ","7.84","  ","8.10","  ","7.85","  ","7.84","  ","7.82","  ","7.86","  ","8.41","  ","8.66","  ",
"Arizona","6.42","  ","7.41","  ","6.89","  ","6.25","  ","6.57","  ","0.00","NA","6.43","  ","6.35","  ","6.36","  ","6.62","  ","0.00","NA","6.80","  ","6.91","  ","6.59","  ","7.01","  ","7.19","  ","7.55","  ","7.30","  ","7.52","  ","7.68","  ","7.64","  ","8.12","  ","8.06","  ","7.46","  ","7.59","  ","7.60","  ","7.55","  ","7.36","  ","7.61","  ","7.57","  ","6.28","  ",
"Arkansas","5.96","  ","7.93","  ","6.61","  ","5.92","  ","6.01","  ","6.97","  ","5.67","  ","6.02","  ","6.46","  ","6.47","  ","6.62","  ","6.71","  ","6.50","  ","6.45","  ","6.87","  ","7.74","  ","7.94","  ","7.92","  ","6.99","  ","7.51","  ","7.45","  ","7.31","  ","7.15","  ","7.25","  ","7.12","  ","7.02","  ","7.11","  ","6.92","  ","6.46","  ","6.50","  ","6.74","  ",
"California","6.76","  ","7.10","  ","7.58","  ","6.94","  ","6.60","  ","6.35","  ","6.92","  ","5.77","  ","5.88","  ","6.09","  ","6.07","  ","6.02","  ","6.23","  ","5.46","  ","6.39","  ","6.83","  ","6.71","  ","7.60","  ","7.65","  ","7.67","  ","6.89","  ","7.22","  ","7.35","  ","7.38","  ","7.84","  ","7.65","  ","7.71","  ","8.24","  ","8.86","  ","7.65","  ","7.50","  ",
"Colorado","4.31","  ","5.98","  ","6.46","  ","4.47","  ","4.19","  ","0.00","NA","4.46","  ","5.14","  ","5.95","  ","6.11","  ","6.53","  ","7.28","  ","6.47","  ","5.24","  ","0.00","NA","6.10","  ","6.05","  ","5.91","  ","6.84","  ","6.22","  ","6.51","  ","7.16","  ","7.58","  ","8.05","  ","7.70","  ","7.75","  ","7.22","  ","6.94","  ","7.00","  ","6.67","  ","6.28","  ",
"Connecticut","5.91","  ","7.22","  ","8.36","  ","5.71","  ","6.10","  ","6.37","  ","6.60","  ","5.87","  ","5.76","  ","6.59","  ","5.66","  ","5.88","  ","6.03","  ","6.20","  ","6.79","  ","5.83","  ","6.54","  ","7.91","  ","8.07","  ","8.41","  ","7.46","  ","7.23","  ","7.39","  ","7.02","  ","7.25","  ","7.89","  ","8.93","  ","8.83","  ","8.62","  ","8.91","  ","7.86","  ",
"Delaware","8.05","  ","10.11","  ","10.27","  ","7.98","  ","8.14","  ","0.00","NA","8.32","  ","9.62","  ","11.15","  ","11.40","  ","11.38","  ","8.82","  ","0.00","NA","9.78","  ","9.56","  ","10.20","  ","10.25","  ","9.91","  ","10.95","  ","9.65","  ","10.71","  ","11.91","  ","12.25","  ","11.58","  ","10.43","  ","11.53","  ","10.88","  ","10.81","  ","10.18","  ","10.20","  ","10.35","  ",
"District of Columbia","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Florida","6.22","  ","7.69","  ","7.02","  ","6.11","  ","6.36","  ","0.00","NA","0.00","NA","6.20","  ","6.29","  ","6.08","  ","6.02","  ","6.69","  ","5.76","  ","5.87","  ","6.04","  ","6.52","  ","7.11","  ","8.38","  ","6.89","  ","6.48","  ","6.64","  ","6.91","  ","6.41","  ","7.16","  ","7.29","  ","6.90","  ","7.23","  ","6.86","  ","6.90","  ","6.57","  ","7.66","  ",
"Georgia","3.80","  ","5.01","  ","6.76","  ","4.01","  ","3.57","  ","0.00","NA","3.74","  ","3.65","  ","4.02","  ","4.15","  ","4.25","  ","4.06","  ","4.28","  ","0.00","NA","4.30","  ","4.86","  ","4.83","  ","5.17","  ","6.07","  ","5.94","  ","5.54","  ","5.57","  ","5.57","  ","5.39","  ","6.14","  ","6.34","  ","6.23","  ","6.00","  ","6.55","  ","7.25","  ","6.27","  ",
