"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","119559","  ","126235","  ","108250","  ","54717","  ","64842","  ","640707","  ","54716","  ","50501","  ","49292","  ","50117","  ","54897","  ","56930","  ","53334","  ","50430","  ","42013","  ","52242","  ","60691","  ","65544","  ","599473","  ","55859","  ","57340","  ","48984","  ","49254","  ","51944","  ","47503","  ","46789","  ","45654","  ","37636","  ","50261","  ","43210","  ","65040","  ",
"Alaska","0","NA","15774","  ","15180","  ","0","NA","0","NA","70027","  ","7958","  ","6929","  ","5317","  ","4473","  ","3785","  ","3931","  ","3865","  ","4234","  ","6361","  ","7401","  ","7065","  ","8709","  ","70960","  ","7674","  ","7017","  ","6696","  ","4700","  ","4356","  ","4240","  ","4388","  ","4389","  ","5296","  ","7024","  ","7690","  ","7490","  ",
"Arizona","54323","  ","42717","  ","44698","  ","23713","  ","30610","  ","336195","  ","30415","  ","25804","  ","29557","  ","35461","  ","42499","  ","38296","  ","35358","  ","19019","  ","19745","  ","17323","  ","17764","  ","24953","  ","294459","  ","20663","  ","21715","  ","25203","  ","32029","  ","34651","  ","36897","  ","27820","  ","20194","  ","16537","  ","14049","  ","20502","  ","24195","  ",
"Arkansas","55666","  ","67287","  ","59462","  ","24701","  ","30965","  ","270209","  ","22561","  ","18552","  ","14702","  ","17958","  ","21854","  ","22018","  ","19176","  ","17538","  ","20449","  ","28113","  ","34420","  ","32866","  ","249549","  ","25366","  ","19109","  ","16336","  ","16094","  ","17748","  ","16770","  ","18077","  ","17250","  ","18683","  ","24653","  ","26356","  ","33107","  ",
"California","396016","  ","382726","  ","420932","  ","173160","  ","222856","  ","2257216","  ","235282","  ","195837","  ","186757","  ","189292","  ","199015","  ","192918","  ","176488","  ","163981","  ","165806","  ","169115","  ","166602","  ","216124","  ","2265431","  ","217366","  ","181285","  ","191093","  ","192824","  ","192700","  ","190334","  ","160855","  ","166662","  ","168803","  ","182576","  ","197756","  ","223177","  ",
"Colorado","87326","  ","84728","  ","90328","  ","38586","  ","48740","  ","0","NA","49929","  ","40791","  ","22856","  ","19128","  ","19060","  ","18936","  ","0","NA","22284","  ","24823","  ","32281","  ","37819","  ","46910","  ","367021","  ","46988","  ","43139","  ","25243","  ","19517","  ","17079","  ","20070","  ","18726","  ","22882","  ","25470","  ","37580","  ","42352","  ","47976","  ",
"Connecticut","56490","  ","60978","  ","52767","  ","27216","  ","29274","  ","250527","  ","23268","  ","19928","  ","17525","  ","15795","  ","17528","  ","16880","  ","14828","  ","15438","  ","20407","  ","27952","  ","29385","  ","31593","  ","230507","  ","25340","  ","19993","  ","13520","  ","13064","  ","15658","  ","16362","  ","14361","  ","14815","  ","19616","  ","25011","  ","26071","  ","26696","  ",
"Delaware","17429","  ","18891","  ","17796","  ","8389","  ","9040","  ","99543","  ","7386","  ","6797","  ","6849","  ","7939","  ","8330","  ","8917","  ","7661","  ","8377","  ","9744","  ","8652","  ","8451","  ","10439","  ","99736","  ","10239","  ","9230","  ","7616","  ","7928","  ","8558","  ","8244","  ","7298","  ","6637","  ","6829","  ","9361","  ","8446","  ","9350","  ",
"District of Columbia","9924","  ","10958","  ","10709","  ","4776","  ","5148","  ","29157","  ","2907","  ","2437","  ","1740","  ","1072","  ","1037","  ","984","  ","1071","  ","1170","  ","1806","  ","3974","  ","5164","  ","5794","  ","32751","  ","4445","  ","3501","  ","1643","  ","1091","  ","1096","  ","1038","  ","1120","  ","1410","  ","2201","  ","4498","  ","4755","  ","5954","  ",
"Florida","203660","  ","191098","  ","175882","  ","97329","  ","106331","R","0","NA","105637","  ","106003","  ","114127","  ","118468","  ","126037","  ","124560","  ","0","NA","115388","  ","112579","  ","102118","  ","91656","  ","99442","  ","1221666","  ","88657","  ","83716","  ","104666","  ","109137","  ","125822","  ","118145","  ","108682","  ","108896","  ","103047","  ","95015","  ","77414","  ","98468","  ",
