"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"2011 Total","356225","  ","1072212","  ","250177","  ","1637576","  ","309124","  ","3029206","  ","74624","  ","1237303","  ","97102","  ","78858","  ","1888870","  ","1310592","  ","7112863","  ","457525","  ","394125","  ","2159422","  ","758219","  ","1812328","  ","24036352","  ",
"2012 Total","351259","  ","1146168","  ","246822","  ","1709376","  ","296299","  ","2955437","  ","66954","  ","1215773","  ","172242","  ","84482","  ","2023461","  ","2256696","  ","7475495","  ","490393","  ","539860","  ","2022275","  ","722721","  ","1507564","  ","25283278","  ",
"2013 Total","338182","  ","1139654","  ","252310","  ","1604860","  ","292467","  ","2360202","  ","63242","  ","1171640","  ","235711","  ","166017","  ","1993754","  ","3259042","  ","7633618","  ","470863","  ","741853","  ","1858207","  ","671364","  ","1309246","  ","25562232","  ",
"2014",
"  January                 ","31083","  ","94869","  ","21265","  ","135988","  ","23817","  ","173029","  ","5076","  ","97483","  ","19586","  ","28788","  ","186124","  ","344614","  ","628628","  ","38650","  ","72247","  ","154924","  ","52587","  ","100452","  ","2209210","  ",
"  February                 ","28096","  ","86784","  ","19031","  ","122304","  ","20981","  ","156685","  ","4540","  ","88834","  ","18650","  ","26002","  ","165116","  ","311264","  ","568415","  ","35388","  ","69800","  ","138862","  ","47813","  ","93774","  ","2002339","  ",
"  March                 ","30019","  ","96520","  ","20575","  ","138075","  ","23772","  ","172996","  ","5045","  ","100373","  ","21956","  ","28788","  ","190588","  ","344614","  ","643131","  ","39365","  ","79741","  ","154523","  ","52667","  ","103420","  ","2246167","  ",
"  April                 ","28991","  ","93375","  ","20167","  ","135629","  ","23365","  ","167701","  ","4922","  ","97603","  ","23519","  ","34679","  ","188040","  ","333497","  ","640032","  ","38628","  ","76914","  ","146128","  ","48605","  ","104596","  ","2206393","  ",
"  May                 ","28783","  ","96739","  ","20429","  ","140841","  ","24351","  ","174748","  ","5491","  ","98032","  ","26148","  ","35835","  ","196571","  ","344614","  ","672480","  ","39422","  ","81747","  ","151143","  ","53069","  ","109516","  ","2299959","  ",
"  June                 ","27050","  ","92022","  ","20506","  ","134601","  ","23522","  ","167660","  ","5169","  ","97651","  ","26284","  ","34679","  ","190710","  ","333497","  ","659045","  ","38189","  ","81340","  ","147156","  ","50481","  ","105900","  ","2235460","  ",
"  July                 ","25966","  ","95474","  ","21794","  ","136877","  ","24535","  ","166320","  ","5002","  ","101569","  ","28992","  ","49992","  ","197222","  ","371081","  ","677194","  ","38989","  ","90243","  ","150749","  ","52088","  ","108321","  ","2342409","  ",
"  August                 ","25904","  ","95326","  ","21958","  ","142481","  ","24726","  ","164210","  ","5012","  ","102838","  ","29690","  ","49992","  ","199330","  ","371081","  ","684948","  ","38367","  ","93188","  ","147940","  ","51988","  ","109226","  ","2358206","  ",
"  September                 ","28504","  ","92098","  ","21130","  ","134588","  ","24183","  ","159604","  ","4970","  ","97661","  ","31275","  ","48380","  ","195150","  ","359110","  ","666487","  ","36656","  ","94323","  ","147236","  ","50513","  ","105039","  ","2296906","  ",
"  October                 ","29889","  ","94406","  ","22055","  ","142018","  ","25041","  ","166081","  ","4959","  ","99310","  ","33925","  ","61202","  ","202957","  ","371081","  ","691123","  ","37132","  ","99180","  ","154478","  ","51987","  ","109222","  ","2396045","  ",
"  November                 ","29439","  ","92488","  ","21557","  ","130248","  ","23944","  ","153174","  ","4634","  ","98457","  ","31448","  ","59227","  ","196620","  ","359110","  ","697106","  ","35772","  ","95703","  ","146798","  ","49527","  ","100101","  ","2325354","  ",
"  December                 ","31606","  ","93578","  ","22253","  ","137740","  ","23841","  ","158079","  ","5111","  ","100997","  ","35065","  ","61202","  ","201686","  ","371081","  ","724754","  ","36648","  ","105823","  ","151298","  ","51638","  ","105795","  ","2418195","  ",
"     Total             ","345331","  ","1123678","  ","252718","  ","1631390","  ","286080","  ","1980287","  ","59930","  ","1180808","  ","326537","  ","518767","  ","2310114","  ","4214643","  ","7953343","  ","453207","  ","1040250","  ","1791235","  ","612963","  ","1255362","  ","27336644","  ",
"2015",
"  January                 ","31268","  ","91710","E ","18830","E ","140307","E ","25985","E ","163798","E ","4919","E ","99878","E ","36249","E ","64049","E ","206817","E ","403366","E ","657404","E ","37635","E ","110332","E ","148341","E ","48754","E ","108877","E ","2398521","E ",
"  February                 ","27510","  ","79498","E ","16782","E ","128545","E ","23264","E ","148728","E ","4468","E ","95026","E ","32907","E ","60157","E ","186741","E ","366314","E ","604638","E ","35449","E ","98200","E ","134932","E ","44630","E ","96940","E ","2184730","E ",
"  March                 ","30523","  ","90420","E ","18716","E ","141766","E ","26116","E ","167471","E ","4876","E ","105742","E ","37459","E ","69570","E ","216067","E ","408929","E ","670753","E ","39560","E ","113381","E ","152349","E ","47201","E ","97809","E ","2438707","E ",
