"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"  August                 ","204073","  ","83954","E ","19655","E ","143397","E ","24864","E ","166570","E ","4756","E ","112061","E ","50537","E ","87904","E ","213529","E ","408325","E ","754086","E ","33029","E ","114871","E ","167539","E ","52053","E ","124795","E ","2765998","E ",
"  September                 ","261150","  ","81546","E ","18928","E ","138325","E ","23819","E ","164270","E ","4573","E ","109134","E ","47895","E ","89371","E ","204298","E ","396931","E ","731049","E ","30933","E ","111932","E ","162880","E ","51181","E ","122038","E ","2750252","E ",
"  October                 ","279434","  ","83309","E ","18868","E ","144845","E ","23559","E ","166973","E ","4827","E ","112013","E ","50958","E ","104127","E ","209342","E ","404431","E ","739603","E ","31404","E ","108711","E ","167555","E ","51756","E ","116075","E ","2817792","E ",
"  November                 ","289770","  ","79289","E ","18261","E ","139733","E ","22451","E ","161374","E ","4562","E ","107683","E ","49659","E ","104731","E ","201517","E ","406585","E ","713058","E ","30910","E ","96829","E ","161812","E ","49472","E ","106086","E ","2743783","E ",
"  December                 ","304048","  ","80509","RE","18749","RE","142189","RE","22896","RE","161692","RE","4608","RE","102059","RE","51265","RE","113185","RE","207703","RE","429892","RE","720290","RE","34255","RE","105489","RE","163096","RE","49484","RE","112137","RE","2823547","RE",
"     Total             ","3175163","  ","1017319","RE","222680","RE","1671787","RE","292450","RE","1941727","RE","57218","RE","1289908","RE","581761","RE","1014848","RE","2499599","RE","4768848","RE","8763381","RE","422423","RE","1318822","RE","1979094","RE","596357","RE","1351655","RE","32965038","RE",
"2016",
"  January                 ","298809","  ","77827","RE","18796","RE","143369","RE","22535","RE","158650","RE","4515","RE","99570","RE","50019","RE","112341","RE","211277","RE","447452","RE","710449","RE","34175","RE","114272","RE","161188","RE","49405","E ","108556","RE","2823205","RE",
"  February                 ","273296","  ","71965","E ","17195","E ","134150","E ","20900","E ","151208","E ","4229","E ","99478","E ","47916","E ","116314","E ","196561","E ","433413","E ","669397","E ","31212","E ","108666","E ","145338","E ","46128","E ","101200","E ","2668567","E ",
"2016 2-Month YTD","572105","  ","149791","E ","35991","E ","277520","E ","43435","E ","309858","E ","8744","E ","199048","E ","97936","E ","228655","E ","407838","E ","880865","E ","1379846","E ","65388","E ","222938","E ","306526","E ","95533","E ","209757","E ","5491773","E ",
"2015 2-Month YTD","546264","  ","171208","E ","35612","E ","268852","E ","49249","E ","314033","E ","9387","E ","201598","E ","87384","E ","124206","E ","393558","E ","769680","E ","1404922","E ","73084","E ","208532","E ","317749","E ","96502","E ","208952","E ","5280773","E ",
"2014 2-Month YTD","576634","  ","181652","  ","40295","  ","258291","  ","44798","  ","330702","  ","9616","  ","199332","  ","61221","  ","54790","  ","351240","  ","655878","  ","1331441","  ","74039","  ","142048","  ","326152","  ","103959","  ","197872","  ","4939959","  ",
