"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","13045","  ","16099","  ","16856","  ","5694","  ","7352","  ","31794","  ","3411","  ","2031","  ","934","  ","671","  ","694","  ","702","  ","743","  ","1085","  ","1655","  ","3769","  ","8328","  ","7770","  ","38971","  ","5368","  ","4453","  ","1123","  ","715","  ","748","  ","763","  ","803","  ","1344","  ","2190","  ","4607","  ","6516","  ","10340","  ",
"Alaska","4404","  ","4931","  ","4612","  ","2057","  ","2347","  ","18468","  ","2670","  ","2306","  ","1422","  ","1033","  ","527","  ","493","  ","583","  ","876","  ","1464","  ","2162","  ","2201","  ","2730","  ","17734","  ","2218","  ","2070","  ","1768","  ","875","  ","538","  ","545","  ","678","  ","800","  ","1427","  ","2201","  ","2443","  ","2169","  ",
"Arizona","14364","  ","11612","  ","11836","  ","5746","  ","8619","  ","34215","  ","6609","  ","3107","  ","1334","  ","1072","  ","971","  ","1056","  ","1303","  ","1805","  ","2172","  ","3174","  ","4239","  ","7372","  ","32397","  ","4891","  ","2482","  ","1384","  ","1123","  ","1025","  ","1096","  ","1275","  ","1750","  ","2373","  ","3162","  ","4853","  ","6983","  ",
"Arkansas","13166","  ","14750","  ","16721","  ","5665","  ","7500","  ","30803","  ","3933","  ","2155","  ","731","  ","546","  ","514","  ","557","  ","622","  ","887","  ","1547","  ","4560","  ","7208","  ","7542","  ","38127","  ","5978","  ","2698","  ","921","  ","719","  ","684","  ","648","  ","808","  ","1265","  ","2463","  ","5222","  ","7527","  ","9194","  ",
"California","113008","  ","102051","  ","110284","  ","43542","  ","69466","  ","404869","  ","73730","  ","44802","  ","19412","  ","17188","  ","17560","  ","19107","  ","21080","  ","27607","  ","29895","  ","32436","  ","41279","  ","60772","  ","397489","  ","57876","  ","34011","  ","21140","  ","18456","  ","18834","  ","20299","  ","21690","  ","25224","  ","30716","  ","38959","  ","49235","  ","61049","  ",
"Colorado","39703","  ","39313","  ","42373","  ","17313","  ","22390","  ","125433","  ","23229","  ","16679","  ","5976","  ","3036","  ","2476","  ","2725","  ","2449","  ","7471","  ","8785","  ","13293","  ","16989","  ","22325","  ","132106","  ","20604","  ","18632","  ","6921","  ","3533","  ","2195","  ","3220","  ","3526","  ","6319","  ","9485","  ","15296","  ","19396","  ","22977","  ",
"Connecticut","16520","  ","20331","  ","18552","  ","7942","  ","8578","  ","51857","  ","4884","  ","3952","  ","2158","  ","975","  ","997","  ","1120","  ","1368","  ","2172","  ","4902","  ","8998","  ","10572","  ","9760","  ","51193","  ","6846","  ","4670","  ","1776","  ","1046","  ","974","  ","1036","  ","1311","  ","2325","  ","4620","  ","8035","  ","8875","  ","9677","  ",
"Delaware","3963","  ","4848","  ","4600","  ","1879","  ","2084","  ","10501","  ","978","  ","720","  ","378","  ","157","  ","166","  ","163","  ","181","  ","270","  ","703","  ","1936","  ","2363","  ","2486","  ","11316","  ","1644","  ","949","  ","292","  ","158","  ","161","  ","137","  ","196","  ","496","  ","825","  ","1858","  ","2138","  ","2463","  ",
"District of Columbia","4809","  ","5548","  ","5416","  ","2285","  ","2524","  ","12371","  ","1335","  ","911","  ","520","  ","253","  ","240","  ","242","  ","235","  ","418","  ","794","  ","1876","  ","2646","  ","2902","  ","14242","  ","2117","  ","1671","  ","550","  ","262","  ","258","  ","249","  ","293","  ","446","  ","893","  ","2087","  ","2508","  ","2908","  ",
"Florida","5295","  ","4953","  ","4931","  ","2446","  ","2848","  ","14777","  ","1440","  ","1216","  ","1081","  ","632","  ","634","  ","833","  ","868","  ","934","  ","809","  ","1378","  ","2468","  ","2484","  ","16652","  ","2227","  ","1853","  ","965","  ","641","  ","729","  ","709","  ","593","  ","917","  ","1166","  ","1920","  ","1874","  ","3057","  ",
"Georgia","46170","  ","52452","  ","52210","  ","19976","  ","26193","  ","117523","  ","11943","  ","10248","  ","5873","  ","3794","  ","3731","  ","3662","  ","3676","  ","4351","  ","5576","  ","12217","  ","26419","  ","26033","  ","134438","  ","18318","  ","17286","  ","5531","  ","3576","  ","3539","  ","3536","  ","3616","  ","4457","  ","7142","  ","15227","  ","19411","  ","32798","  ",
"Hawaii","99","  ","112","  ","110","  ","47","  ","52","  ","572","  ","47","  ","44","  ","44","  ","41","  ","43","  ","45","  ","46","  ","46","  ","54","  ","51","  ","52","  ","60","  ","583","  ","50","  ","44","  ","43","  ","43","  ","44","  ","48","  ","48","  ","49","  ","53","  ","50","  ","53","  ","57","  ",
"Idaho","7708","  ","6897","  ","7925","  ","3241","  ","4467","  ","22963","  ","4740","  ","3624","  ","995","  ","638","  ","359","  ","464","  ","510","  ","881","  ","1699","  ","2156","  ","2643","  ","4253","  ","24616","  ","3981","  ","3737","  ","1334","  ","628","  ","541","  ","552","  ","617","  ","870","  ","1787","  ","2643","  ","3469","  ","4456","  ",
"Illinois","140950","  ","167423","  ","185670","  ","62355","  ","78595","  ","399446","  ","50744","  ","35960","  ","18056","  ","8021","  ","7946","  ","7939","  ","9399","  ","13191","  ","26656","  ","54110","  ","85209","  ","82214","  ","479465","  ","62983","  ","57400","  ","22380","  ","10591","  ","8238","  ","8857","  ","9640","  ","16225","  ","30870","  ","66611","  ","84515","  ","101155","  ",
"Indiana","49526","  ","59140","  ","62023","  ","21691","  ","27835","  ","133876","  ","16881","  ","11746","  ","5799","  ","2432","  ","2242","  ","2234","  ","2321","  ","3734","  ","8689","  ","18660","  ","29806","  ","29334","  ","156639","  ","22394","  ","19910","  ","7619","  ","2925","  ","2417","  ","2243","  ","1996","  ","4250","  ","7911","  ","22950","  ","27362","  ","34662","  ",
"Iowa","23354","  ","26235","  ","30056","  ","10164","  ","13190","  ","62032","  ","8921","  ","5686","  ","2268","  ","1260","  ","1036","  ","1171","  ","1373","  ","2144","  ","4045","  ","7892","  ","13338","  ","12897","  ","76574","  ","10609","  ","8650","  ","3224","  ","1510","  ","1098","  ","1192","  ","1447","  ","2853","  ","5244","  ","10692","  ","13717","  ","16339","  ",
"Kansas","22332","  ","24432","  ","28405","  ","9206","  ","13126","  ","0","NA","8698","  ","0","NA","1701","  ","1075","  ","1061","  ","1147","  ","1381","  ","1625","  ","2366","  ","5689","  ","11205","  ","13227","  ","71126","  ","11330","  ","8025","  ","2269","  ","1274","  ","1127","  ","1190","  ","1285","  ","2055","  ","4506","  ","9659","  ","13170","  ","15234","  ",
"Kentucky","19402","  ","22500","  ","24217","  ","8629","  ","10774","  ","47712","  ","5585","  ","3977","  ","1565","  ","845","  ","849","  ","858","  ","858","  ","1294","  ","2629","  ","6753","  ","11475","  ","11025","  ","57589","  ","8517","  ","6898","  ","1856","  ","970","  ","806","  ","779","  ","904","  ","1563","  ","3189","  ","7890","  ","10590","  ","13626","  ",
"Louisiana","13790","  ","16108","  ","18074","  ","5673","  ","8117","  ","36580","  ","3756","  ","2380","  ","1531","  ","1354","  ","1202","  ","1292","  ","1286","  ","1456","  ","1883","  ","4332","  ","7561","  ","8547","  ","44392","  ","5689","  ","3814","  ","1686","  ","1355","  ","1290","  ","1223","  ","1259","  ","1967","  ","2568","  ","5466","  ","7336","  ","10738","  ",
"Maine","850","  ","996","  ","782","  ","401","  ","450","  ","2605","  ","298","  ","232","  ","136","  ","46","  ","45","  ","46","  ","69","  ","90","  ","264","  ","382","  ","499","  ","497","  ","2357","  ","350","  ","249","  ","105","  ","54","  ","41","  ","41","  ","55","  ","112","  ","206","  ","363","  ","361","  ","421","  ",
"Maryland","30596","  ","37067","  ","34840","  ","13553","  ","17043","  ","81592","  ","8243","  ","6137","  ","3820","  ","1518","  ","1557","  ","1624","  ","1755","  ","2212","  ","4897","  ","12763","  ","18839","  ","18228","  ","90542","  ","13257","  ","9749","  ","3078","  ","1788","  ","1502","  ","1599","  ","1724","  ","3588","  ","5748","  ","13669","  ","15335","  ","19505","  ",
"Massachusetts","38696","  ","51731","  ","43834","  ","18664","  ","20032","R","125463","  ","12553","  ","9387","  ","5784","  ","2465","  ","2442","  ","2619","  ","3302","  ","4328","  ","10039","  ","20811","  ","26022","  ","25709","  ","126902","  ","16894","  ","11289","  ","4933","  ","2927","  ","2411","  ","2618","  ","2815","  ","6548","  ","12741","  ","19893","  ","19678","  ","24156","  ",
"Michigan","105240","  ","136160","  ","130681","  ","48756","  ","56483","  ","319680","  ","36400","  ","29138","  ","16846","  ","6164","  ","6026","  ","5722","  ","6783","  ","10815","  ","22053","  ","43573","  ","70188","  ","65972","  ","354713","  ","46254","  ","44020","  ","19597","  ","8409","  ","5627","  ","6334","  ","6373","  ","11987","  ","23659","  ","51772","  ","58850","  ","71831","  ",
"Minnesota","0","NA","47867","  ","55234","  ","0","NA","24809","R","119119","  ","18067","  ","10741","  ","5207","  ","2362","  ","2587","  ","2322","  ","2467","  ","4010","  ","8284","  ","15206","  ","24093","  ","23773","  ","146647","  ","20929","  ","17807","  ","7186","  ","2982","  ","2329","  ","2068","  ","2241","  ","5522","  ","10881","  ","19467","  ","25539","  ","29694","  ",
