"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","7816","  ","8940","  ","8593","  ","3179","  ","4637","  ","24519","  ","2366","  ","2317","  ","1513","  ","1174","  ","1131","  ","1088","  ","1095","  ","1383","  ","1413","  ","2099","  ","4589","  ","4350","  ","27515","  ","3123","  ","3443","  ","1787","  ","1145","  ","1185","  ","1188","  ","1131","  ","1495","  ","1591","  ","2832","  ","3314","  ","5279","  ",
"Alaska","4295","  ","4638","  ","4305","  ","1889","  ","2407","  ","19281","  ","2558","  ","2103","  ","1451","  ","1253","  ","766","  ","713","  ","618","  ","1204","  ","1626","  ","2351","  ","2070","  ","2567","  ","17925","  ","2307","  ","1932","  ","1662","  ","1081","  ","758","  ","667","  ","829","  ","902","  ","1451","  ","2030","  ","2249","  ","2055","  ",
"Arizona","7912","  ","7062","  ","7150","  ","3426","  ","4486","  ","30537","  ","4130","  ","3014","  ","1918","  ","1714","  ","1654","  ","1758","  ","1878","  ","2204","  ","2422","  ","2785","  ","3082","  ","3979","  ","30456","  ","3589","  ","2749","  ","1968","  ","1806","  ","1750","  ","1843","  ","1931","  ","2260","  ","2546","  ","2866","  ","3234","  ","3915","  ",
"Arkansas","13058","  ","13954","  ","14393","  ","6010","  ","7048","  ","46160","  ","4724","  ","3863","  ","3048","  ","2571","  ","2444","  ","2308","  ","2327","  ","2578","  ","3109","  ","5233","  ","6849","  ","7105","  ","50673","  ","5942","  ","4261","  ","3401","  ","2883","  ","2574","  ","2585","  ","2577","  ","2864","  ","3673","  ","5521","  ","6637","  ","7755","  ",
"California","47929","  ","45128","  ","49672","  ","21340","  ","26589","  ","238477","  ","29820","  ","26389","  ","16321","  ","15250","  ","16537","  ","15962","  ","16329","  ","19348","  ","18286","  ","19108","  ","19822","  ","25306","  ","237675","  ","25591","  ","21710","  ","17355","  ","17313","  ","17141","  ","16799","  ","16551","  ","17418","  ","17614","  ","20512","  ","23504","  ","26168","  ",
"Colorado","16506","  ","16446","  ","18007","  ","7255","  ","9251","  ","0","NA","9397","  ","6789","  ","2859","  ","1694","  ","1456","  ","1568","  ","0","NA","3790","  ","3978","  ","5603","  ","7257","  ","9189","  ","58008","  ","8844","  ","7587","  ","3118","  ","1862","  ","1361","  ","1767","  ","1937","  ","2932","  ","4234","  ","6357","  ","8402","  ","9605","  ",
"Connecticut","14435","  ","16564","  ","14992","  ","7033","  ","7402","  ","53378","  ","5038","  ","4122","  ","3155","  ","2577","  ","2512","  ","2379","  ","2295","  ","2676","  ","4556","  ","7504","  ","8479","  ","8085","  ","51221","  ","6252","  ","4719","  ","2785","  ","2246","  ","2204","  ","2158","  ","2221","  ","2589","  ","4206","  ","6849","  ","7530","  ","7462","  ",
"Delaware","3661","  ","3938","  ","3824","  ","1658","  ","2003","  ","11189","  ","1177","  ","1065","  ","812","  ","432","  ","409","  ","375","  ","410","  ","403","  ","735","  ","1435","  ","2000","  ","1937","  ","11882","  ","1548","  ","1347","  ","711","  ","421","  ","410","  ","352","  ","412","  ","615","  ","740","  ","1502","  ","1696","  ","2128","  ",
"District of Columbia","4933","  ","5252","  ","5130","  ","2405","  ","2528","  ","15793","  ","1487","  ","1443","  ","1135","  ","736","  ","711","  ","657","  ","757","  ","669","  ","932","  ","2015","  ","2444","  ","2809","  ","17498","  ","2242","  ","1747","  ","1007","  ","745","  ","752","  ","703","  ","744","  ","877","  ","1224","  ","2325","  ","2169","  ","2961","  ",
"Florida","13444","  ","13082","  ","12214","  ","6427","  ","7017","  ","0","NA","5660","  ","5214","  ","5003","  ","4441","  ","4651","  ","4734","  ","0","NA","4827","  ","5078","  ","5705","  ","6418","  ","6664","  ","62646","  ","5995","  ","5682","  ","4843","  ","4587","  ","4409","  ","4537","  ","4568","  ","4741","  ","5323","  ","5747","  ","5605","  ","6609","  ",
