"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","63336","  ","67116","  ","49522","  ","29307","  ","34029","  ","397961","  ","33249","  ","31034","  ","31534","  ","33356","  ","37742","  ","39373","  ","36860","  ","32480","  ","24780","  ","30436","  ","31501","  ","35616","  ","345102","  ","30690","  ","32978","  ","30231","  ","32380","  ","35284","  ","31099","  ","30198","  ","27561","  ","18599","  ","26559","  ","18077","  ","31445","  ",
"Alaska","4275","  ","5312","  ","5565","  ","1992","  ","2283","  ","27722","  ","2336","  ","2164","  ","2096","  ","1863","  ","2116","  ","2365","  ","2311","  ","1781","  ","2907","  ","2470","  ","2367","  ","2945","  ","30444","  ","2655","  ","2557","  ","2756","  ","2257","  ","2625","  ","2599","  ","2560","  ","2347","  ","2134","  ","2389","  ","2661","  ","2904","  ",
"Arizona","27877","  ","20000","  ","21259","  ","12584","  ","15294","  ","249477","  ","17515","  ","17672","  ","24561","  ","31091","  ","38244","  ","33842","  ","30537","  ","13238","  ","13368","  ","9409","  ","8635","  ","11365","  ","207085","  ","9662","  ","14336","  ","19918","  ","27300","  ","30020","  ","32112","  ","22836","  ","14200","  ","9572","  ","5871","  ","10326","  ","10933","  ",
"Arkansas","14428","  ","22107","  ","11920","  ","5839","  ","8589","  ","108755","  ","6754","  ","5434","  ","4130","  ","8552","  ","12523","  ","12805","  ","9865","  ","7343","  ","8745","  ","10498","  ","12257","  ","9850","  ","71921","  ","5414","  ","3611","  ","4517","  ","5768","  ","7744","  ","6815","  ","8170","  ","6349","  ","5548","  ","6065","  ","4508","  ","7412","  ",
"California","108813","  ","108496","  ","136710","  ","47924","  ","60889","  ","816787","  ","63111","  ","59484","  ","84917","  ","89295","  ","91733","  ","86319","  ","74951","  ","51799","  ","52877","  ","53804","  ","46614","  ","61882","  ","824868","  ","65065","  ","61128","  ","84859","  ","85939","  ","81273","  ","80162","  ","57297","  ","57398","  ","56627","  ","58412","  ","66043","  ","70667","  ",
"Colorado","14249","  ","11979","  ","12949","  ","6288","  ","7962","  ","92757","  ","8346","  ","9658","  ","8172","  ","9582","  ","10114","  ","9620","  ","8089","  ","5015","  ","5970","  ","6214","  ","5508","  ","6471","  ","98269","  ","8872","  ","9279","  ","9207","  ","9165","  ","8724","  ","10259","  ","8009","  ","8078","  ","5403","  ","8325","  ","6467","  ","6481","  ",
"Connecticut","20143","  ","18301","  ","12595","  ","9671","  ","10473","  ","119305","  ","11119","  ","9814","  ","10291","  ","10504","  ","12188","  ","11619","  ","9406","  ","8748","  ","8839","  ","8474","  ","7570","  ","10731","  ","99668","  ","9667","  ","8309","  ","6993","  ","8034","  ","10607","  ","11214","  ","8873","  ","7880","  ","8519","  ","6976","  ","6542","  ","6053","  ",
"Delaware","4467","  ","4631","  ","4051","  ","2335","  ","2132","  ","44725","  ","2190","  ","2330","  ","3068","  ","4903","  ","5119","  ","5710","  ","4509","  ","4886","  ","5269","  ","2110","  ","1594","  ","3037","  ","45534","  ","3954","  ","4164","  ","3945","  ","4768","  ","5513","  ","5486","  ","4550","  ","3049","  ","2924","  ","3129","  ","1968","  ","2083","  ",
"District of Columbia","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--","0","--",
"Florida","166636","  ","155675","  ","140908","  ","79693","  ","86943","R","1160140","  ","89587","  ","91782","  ","100028","  ","105993","  ","113372","  ","111305","  ","105902","  ","101485","  ","98620","  ","86390","  ","74272","  ","81404","  ","1047683","  ","71874","  ","68400","  ","91047","  ","96828","  ","113710","  ","105467","  ","96523","  ","95379","  ","88427","  ","79120","  ","61860","  ","79047","  ",
