BLDGID2  ,STR402   ,PAIR402  ,SQFTC2   ,BCWM2C   ,YRCONC2C ,REGION2  ,XSECWT2  ,ELSUPL2N ,NGSUPL2N ,FKSUPL2N ,STSUPL2N ,PRSUPL2N ,SQFT1T   ,SQFTC1T  ,HEATP1T  ,COOLP1T  ,ELUSED1T ,NGUSED1T ,FKUSED1T ,STUSED1T ,CWUSED1T ,COUSED1T ,PRUSED1T ,HWUSED1T ,WOUSED1T ,SOUSED1T ,NFLOOR1T ,YRCON1T  ,YRCONC1T ,BCWM1T   ,GLASP1T  ,GLASPC1T ,GLASS1T  ,NTANKS1T ,TOTCAP1T ,IMPSF1T  ,IMPNOF1T ,IMPYR1T  ,IMPYRC1T ,IMPPG1T  ,IMPPGC1T ,IMPNFT1T ,IMPCAP1T ,LONGWT2  
00016 ,32 ,2 ,03 ,02 ,05 ,3 ,1247.26 ,1 ,2 ,2 ,2 ,2 ,7300 ,03 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1967 ,05 ,02 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1247.26
00017 ,35 ,1 ,03 ,04 ,06 ,2 ,2394.13 ,1 ,1 ,2 ,2 ,2 ,8500 ,03 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1972 ,06 ,04 ,2 ,3 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2528.66
00018 ,19 ,1 ,02 ,17 ,03 ,3 ,1568.09 ,2 ,2 ,2 ,2 ,2 ,1800 ,02 ,40 ,5 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,9999 ,03 ,09 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1568.09
00019 ,21 ,2 ,06 ,03 ,04 ,3 ,100 ,1 ,1 ,2 ,1 ,2 ,81000 ,06 ,100 ,80 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1949 ,04 ,03 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
00020 ,25 ,2 ,07 ,11 ,05 ,3 ,150 ,1 ,2 ,2 ,2 ,2 ,100001 ,07 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1964 ,05 ,11 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,150
00021 ,32 ,2 ,03 ,02 ,03 ,3 ,1248.18 ,1 ,2 ,2 ,2 ,1 ,5001 ,03 ,0 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,03 ,02 ,1 ,1 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1248.18
00022 ,02 ,1 ,08 ,16 ,05 ,3 ,11.99 ,1 ,2 ,2 ,2 ,2 ,470000 ,08 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,1970 ,05 ,16 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,11.99
00023 ,08 ,1 ,04 ,02 ,03 ,3 ,847.51 ,1 ,1 ,2 ,2 ,2 ,15750 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1945 ,03 ,02 ,2 ,4 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,847.51
00024 ,01 ,1 ,05 ,09 ,08 ,4 ,24.61 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00025 ,18 ,1 ,06 ,03 ,03 ,1 ,200 ,1 ,1 ,1 ,2 ,2 ,67000 ,06 ,100 ,25 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,9999 ,03 ,03 ,2 ,3 ,2 ,1 ,10000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,200
00026 ,14 ,1 ,07 ,03 ,04 ,1 ,11.98 ,1 ,1 ,1 ,2 ,2 ,152000 ,07 ,100 ,1 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1956 ,04 ,03 ,2 ,4 ,2 ,2 ,20000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,11.98
00027 ,21 ,1 ,08 ,11 ,04 ,3 ,12 ,1 ,1 ,2 ,2 ,2 ,290000 ,08 ,100 ,100 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1947 ,04 ,11 ,1 ,2 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,12
00028 ,08 ,1 ,04 ,11 ,08 ,3 ,9.83 ,1 ,2 ,1 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00029 ,02 ,2 ,05 ,11 ,08 ,3 ,113.6 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00030 ,25 ,1 ,03 ,09 ,04 ,3 ,1466.4 ,1 ,1 ,2 ,2 ,2 ,5800 ,03 ,25 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1952 ,04 ,09 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1466.4
00031 ,27 ,1 ,04 ,14 ,06 ,3 ,400 ,1 ,1 ,2 ,2 ,2 ,17250 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1971 ,06 ,14 ,2 ,3 ,8 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,400
00032 ,32 ,2 ,03 ,11 ,06 ,3 ,1102 ,1 ,2 ,2 ,2 ,2 ,23250 ,04 ,90 ,90 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1972 ,06 ,11 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1102
00033 ,24 ,1 ,07 ,03 ,05 ,2 ,100 ,1 ,1 ,2 ,2 ,2 ,100001 ,07 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,3 ,1961 ,05 ,03 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,103.86
00034 ,10 ,1 ,07 ,03 ,03 ,3 ,21.59 ,1 ,2 ,1 ,2 ,1 ,114000 ,07 ,100 ,4 ,1 ,2 ,1 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,1945 ,03 ,03 ,2 ,4 ,2 ,3 ,22000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,21.59
00035 ,19 ,2 ,04 ,09 ,01 ,3 ,1008.7 ,2 ,2 ,2 ,2 ,2 ,14250 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,9999 ,01 ,09 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1008.7
00036 ,29 ,1 ,04 ,09 ,03 ,2 ,300 ,1 ,1 ,2 ,1 ,2 ,19500 ,04 ,93 ,93 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1936 ,03 ,09 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,320.98
00037 ,03 ,1 ,05 ,03 ,04 ,2 ,300 ,1 ,1 ,2 ,2 ,2 ,50000 ,05 ,100 ,25 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1955 ,04 ,03 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,311.57
00038 ,20 ,1 ,02 ,07 ,03 ,4 ,2018.18 ,1 ,2 ,2 ,2 ,2 ,2000 ,02 ,100 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1940 ,03 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2018.18
00039 ,29 ,1 ,02 ,04 ,01 ,2 ,1431.77 ,1 ,1 ,2 ,2 ,2 ,1950 ,02 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1880 ,01 ,04 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1431.77
00040 ,02 ,1 ,06 ,03 ,05 ,3 ,11.99 ,1 ,1 ,2 ,2 ,2 ,92000 ,06 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,1965 ,05 ,03 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,11.99
