BLDGID2  ,STR402   ,PAIR402  ,SQFTC2   ,BCWM2C   ,YRCONC2C ,REGION2  ,XSECWT2  ,ELSUPL2N ,NGSUPL2N ,FKSUPL2N ,STSUPL2N ,PRSUPL2N ,SQFT1T   ,SQFTC1T  ,HEATP1T  ,COOLP1T  ,ELUSED1T ,NGUSED1T ,FKUSED1T ,STUSED1T ,CWUSED1T ,COUSED1T ,PRUSED1T ,HWUSED1T ,WOUSED1T ,SOUSED1T ,NFLOOR1T ,YRCON1T  ,YRCONC1T ,BCWM1T   ,GLASP1T  ,GLASPC1T ,GLASS1T  ,NTANKS1T ,TOTCAP1T ,IMPSF1T  ,IMPNOF1T ,IMPYR1T  ,IMPYRC1T ,IMPPG1T  ,IMPPGC1T ,IMPNFT1T ,IMPCAP1T ,LONGWT2  
01220 ,02 ,2 ,04 ,14 ,05 ,3 ,400 ,1 ,1 ,2 ,2 ,2 ,10001 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1966 ,05 ,14 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,400
01221 ,18 ,1 ,05 ,11 ,05 ,1 ,112.93 ,1 ,1 ,2 ,2 ,2 ,46500 ,05 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,9999 ,05 ,11 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,112.93
01222 ,14 ,1 ,06 ,11 ,08 ,1 ,18.11 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01223 ,07 ,1 ,06 ,07 ,02 ,1 ,108.63 ,1 ,1 ,2 ,2 ,2 ,99000 ,06 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6 ,9999 ,02 ,07 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,108.63
01224 ,04 ,1 ,07 ,11 ,03 ,1 ,112.93 ,1 ,1 ,1 ,2 ,2 ,104000 ,07 ,100 ,65 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1936 ,03 ,11 ,2 ,3 ,1 ,1 ,10000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,112.93
01225 ,12 ,2 ,10 ,08 ,05 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,1700000 ,10 ,100 ,100 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,1966 ,05 ,08 ,1 ,2 ,1 ,2 ,30000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2.12
01226 ,08 ,1 ,01 ,16 ,07 ,3 ,1000 ,1 ,2 ,2 ,2 ,2 ,30 ,01 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1978 ,07 ,16 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1000
01227 ,17 ,2 ,07 ,03 ,03 ,1 ,100 ,1 ,1 ,1 ,2 ,2 ,152000 ,07 ,100 ,0 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,9999 ,03 ,03 ,1 ,2 ,2 ,2 ,12000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,147.46
01228 ,23 ,1 ,04 ,05 ,03 ,1 ,100 ,1 ,2 ,1 ,1 ,2 ,13000 ,04 ,100 ,0 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,9999 ,03 ,05 ,2 ,4 ,2 ,1 ,1139 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01229 ,13 ,1 ,02 ,11 ,07 ,3 ,1500 ,1 ,2 ,2 ,2 ,2 ,4500 ,02 ,87 ,87 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,1976 ,07 ,11 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1500
01230 ,24 ,1 ,05 ,15 ,03 ,2 ,150 ,1 ,1 ,2 ,2 ,2 ,34000 ,05 ,100 ,9 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1925 ,03 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,155.78
01231 ,14 ,2 ,04 ,07 ,03 ,1 ,100 ,1 ,1 ,1 ,2 ,2 ,500001 ,09 ,100 ,10 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,9999 ,03 ,07 ,2 ,3 ,2 ,1 ,50000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01232 ,04 ,1 ,04 ,07 ,05 ,1 ,121.15 ,1 ,1 ,2 ,2 ,1 ,22000 ,04 ,100 ,35 ,1 ,1 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,9999 ,05 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,196.15
01233 ,13 ,1 ,09 ,07 ,04 ,3 ,24.56 ,1 ,2 ,2 ,2 ,2 ,600000 ,09 ,75 ,0 ,1 ,2 ,1 ,2 ,2 ,1 ,2 ,2 ,1 ,2 ,5 ,1950 ,04 ,07 ,2 ,3 ,1 ,1 ,10000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,24.56
01234 ,35 ,1 ,05 ,07 ,02 ,2 ,300 ,1 ,1 ,2 ,2 ,2 ,24500 ,04 ,100 ,3 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1914 ,02 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,311.57
01235 ,37 ,1 ,08 ,17 ,08 ,2 ,6.28 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01236 ,18 ,1 ,08 ,05 ,05 ,1 ,6 ,1 ,1 ,1 ,2 ,2 ,295000 ,08 ,100 ,70 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,1970 ,05 ,05 ,2 ,4 ,1 ,1 ,22000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6.38
01237 ,01 ,1 ,09 ,11 ,07 ,4 ,1.8789 ,1 ,2 ,2 ,2 ,2 ,900000 ,09 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,44 ,1977 ,07 ,11 ,1 ,2 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1.8789
01238 ,31 ,2 ,04 ,11 ,06 ,1 ,1257.74 ,1 ,1 ,2 ,2 ,2 ,14750 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1971 ,06 ,11 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1257.74
01239 ,22 ,2 ,07 ,15 ,04 ,4 ,117.24 ,1 ,1 ,2 ,2 ,2 ,83000 ,06 ,15 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1955 ,04 ,15 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,139.46
01240 ,03 ,1 ,04 ,15 ,03 ,2 ,400 ,1 ,1 ,2 ,2 ,2 ,17750 ,04 ,40 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1927 ,03 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,427.98
01241 ,32 ,2 ,05 ,11 ,06 ,3 ,150 ,1 ,2 ,2 ,2 ,2 ,26000 ,05 ,95 ,95 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1971 ,06 ,11 ,1 ,2 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,150
01242 ,25 ,2 ,04 ,02 ,04 ,3 ,1263.21 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01243 ,34 ,2 ,03 ,14 ,02 ,2 ,100 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01244 ,32 ,1 ,05 ,07 ,08 ,3 ,59.29 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01245 ,08 ,1 ,03 ,07 ,05 ,3 ,1200.11 ,1 ,1 ,2 ,2 ,2 ,9400 ,03 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1963 ,05 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1200.11
01246 ,06 ,1 ,10 ,17 ,05 ,2 ,6.4 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01247 ,34 ,1 ,05 ,16 ,04 ,2 ,170.2 ,1 ,1 ,2 ,2 ,2 ,29000 ,05 ,80 ,100 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1950 ,04 ,16 ,2 ,4 ,1 ,2 ,5275 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,176.77
01248 ,29 ,1 ,02 ,15 ,03 ,2 ,2366.84 ,1 ,1 ,2 ,2 ,2 ,3450 ,02 ,100 ,0 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,9999 ,03 ,09 ,2 ,3 ,2 ,1 ,4000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,2366.84
01249 ,27 ,1 ,07 ,03 ,05 ,3 ,100 ,1 ,1 ,2 ,2 ,2 ,182000 ,07 ,100 ,90 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,9999 ,05 ,03 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01250 ,35 ,1 ,02 ,11 ,07 ,2 ,1175.67 ,1 ,2 ,2 ,2 ,2 ,3800 ,02 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1976 ,07 ,11 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1305.59
01251 ,01 ,2 ,06 ,17 ,02 ,4 ,300 ,1 ,2 ,2 ,1 ,2 ,66000 ,06 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,1907 ,02 ,17 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,300
01252 ,27 ,1 ,06 ,17 ,08 ,3 ,69.36 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01253 ,02 ,1 ,08 ,05 ,04 ,3 ,200 ,1 ,1 ,2 ,2 ,2 ,370000 ,08 ,100 ,95 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,7 ,1948 ,04 ,05 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,200
01254 ,35 ,1 ,03 ,09 ,08 ,2 ,349.74 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01255 ,33 ,2 ,06 ,16 ,04 ,3 ,100 ,1 ,1 ,2 ,2 ,2 ,63000 ,06 ,90 ,90 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1949 ,04 ,16 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01256 ,03 ,1 ,07 ,17 ,08 ,2 ,16.82 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01257 ,08 ,1 ,06 ,15 ,08 ,3 ,22.9 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01258 ,15 ,2 ,06 ,11 ,05 ,1 ,102.18 ,1 ,1 ,2 ,1 ,2 ,66000 ,06 ,88 ,88 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,7 ,1964 ,05 ,11 ,1 ,1 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,102.18
01259 ,14 ,2 ,03 ,09 ,03 ,1 ,2000 ,1 ,1 ,2 ,2 ,2 ,5200 ,03 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,03 ,09 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2000
01260 ,35 ,1 ,03 ,15 ,02 ,2 ,1200 ,1 ,1 ,2 ,2 ,2 ,5800 ,03 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1904 ,02 ,15 ,1 ,2 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1267.43
01261 ,08 ,1 ,04 ,07 ,02 ,3 ,500 ,1 ,1 ,2 ,2 ,2 ,24250 ,04 ,100 ,50 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1908 ,02 ,07 ,2 ,3 ,1 ,2 ,60000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,500
01262 ,25 ,1 ,05 ,15 ,07 ,3 ,114.89 ,1 ,2 ,2 ,2 ,2 ,41000 ,05 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1979 ,07 ,15 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,114.89
01263 ,29 ,1 ,04 ,07 ,07 ,2 ,400 ,1 ,1 ,2 ,2 ,2 ,11250 ,04 ,100 ,6 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1974 ,07 ,07 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,427.98
01264 ,15 ,1 ,05 ,15 ,02 ,1 ,300 ,1 ,2 ,2 ,2 ,2 ,25001 ,05 ,75 ,12 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1917 ,02 ,15 ,2 ,3 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,300
01265 ,22 ,1 ,05 ,11 ,07 ,4 ,400 ,1 ,1 ,2 ,2 ,2 ,46500 ,05 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1974 ,07 ,11 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,400
01266 ,28 ,1 ,08 ,09 ,05 ,1 ,8 ,1 ,1 ,2 ,2 ,2 ,260000 ,08 ,100 ,85 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1966 ,05 ,09 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,8.51
01267 ,29 ,2 ,07 ,11 ,03 ,2 ,105.57 ,1 ,2 ,2 ,1 ,2 ,128000 ,07 ,80 ,80 ,1 ,2 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,12 ,1926 ,03 ,11 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,109.64
01268 ,05 ,1 ,02 ,09 ,04 ,2 ,2297.53 ,2 ,2 ,2 ,2 ,2 ,590 ,01 ,50 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,04 ,09 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2297.53
01269 ,16 ,2 ,09 ,11 ,08 ,4 ,3.63 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01270 ,03 ,2 ,03 ,13 ,01 ,2 ,1200 ,1 ,2 ,2 ,2 ,1 ,8800 ,03 ,100 ,45 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,3 ,1889 ,01 ,13 ,2 ,4 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1267.43
01271 ,32 ,2 ,03 ,02 ,07 ,3 ,1496.71 ,1 ,2 ,2 ,2 ,2 ,7100 ,03 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1979 ,07 ,02 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1684.21
01272 ,07 ,2 ,03 ,04 ,02 ,1 ,1288.38 ,1 ,1 ,2 ,2 ,2 ,6600 ,03 ,100 ,5 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,02 ,04 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1288.38
01273 ,35 ,1 ,04 ,09 ,04 ,2 ,420.05 ,1 ,1 ,2 ,2 ,2 ,18250 ,04 ,100 ,70 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,9999 ,04 ,09 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,449.44
01274 ,20 ,2 ,02 ,03 ,05 ,4 ,1200 ,1 ,2 ,2 ,2 ,2 ,2750 ,02 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,05 ,03 ,2 ,4 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1200
01275 ,20 ,2 ,05 ,09 ,05 ,4 ,706.82 ,1 ,1 ,2 ,2 ,2 ,49000 ,05 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,05 ,09 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,706.82
01276 ,01 ,1 ,05 ,11 ,08 ,4 ,99.72 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01277 ,02 ,1 ,04 ,11 ,05 ,3 ,6.43 ,1 ,2 ,2 ,2 ,2 ,24500 ,04 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1962 ,05 ,11 ,1 ,2 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6.43
01278 ,35 ,1 ,04 ,07 ,03 ,2 ,1135.54 ,1 ,2 ,1 ,2 ,2 ,22250 ,04 ,100 ,25 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,9999 ,03 ,07 ,2 ,4 ,2 ,1 ,5000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1214.97
01279 ,22 ,1 ,05 ,11 ,02 ,4 ,100 ,1 ,2 ,2 ,1 ,2 ,49500 ,05 ,100 ,45 ,1 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,5 ,1915 ,02 ,11 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01280 ,10 ,1 ,05 ,11 ,03 ,3 ,21.59 ,1 ,2 ,1 ,2 ,2 ,36500 ,05 ,100 ,100 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1922 ,03 ,11 ,2 ,3 ,1 ,1 ,5000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,22.81
01281 ,33 ,2 ,02 ,11 ,03 ,3 ,1027.6 ,1 ,1 ,2 ,2 ,2 ,3400 ,02 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,03 ,11 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1027.6
01282 ,32 ,1 ,03 ,07 ,07 ,3 ,15.26 ,1 ,2 ,2 ,2 ,2 ,9400 ,03 ,50 ,50 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1979 ,07 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,15.26
01283 ,03 ,2 ,01 ,07 ,02 ,2 ,400 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01284 ,15 ,2 ,05 ,13 ,01 ,1 ,2785.28 ,1 ,1 ,2 ,2 ,2 ,37000 ,05 ,100 ,10 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1850 ,01 ,13 ,2 ,3 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2785.28
01285 ,00 ,0 ,05 ,07 ,08 ,2 ,1.09 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01286 ,20 ,1 ,06 ,03 ,04 ,4 ,100 ,1 ,1 ,2 ,2 ,2 ,59000 ,06 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1948 ,04 ,03 ,1 ,2 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01287 ,35 ,2 ,02 ,02 ,02 ,2 ,566.59 ,1 ,1 ,2 ,2 ,2 ,4300 ,02 ,66 ,66 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,3 ,9999 ,02 ,02 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,650.17
01288 ,23 ,2 ,05 ,15 ,07 ,1 ,100 ,1 ,2 ,2 ,2 ,2 ,41500 ,05 ,100 ,10 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1974 ,07 ,15 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,100
01289 ,37 ,1 ,04 ,09 ,05 ,2 ,414.96 ,1 ,1 ,2 ,2 ,2 ,18250 ,04 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,05 ,09 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,443.99
01290 ,33 ,2 ,02 ,07 ,07 ,3 ,1561.56 ,1 ,2 ,2 ,2 ,2 ,3750 ,02 ,75 ,75 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1978 ,07 ,07 ,2 ,4 ,2 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1561.56
01291 ,02 ,1 ,01 ,09 ,03 ,3 ,1568.09 ,1 ,2 ,2 ,2 ,2 ,4000 ,02 ,17 ,50 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,03 ,09 ,2 ,4 ,2 ,1 ,55 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1568.09
01292 ,32 ,1 ,04 ,11 ,07 ,3 ,160.86 ,1 ,2 ,2 ,2 ,2 ,15000 ,04 ,100 ,100 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1974 ,07 ,11 ,1 ,2 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,160.86
01293 ,25 ,1 ,01 ,16 ,05 ,3 ,1267.65 ,1 ,2 ,2 ,2 ,2 ,100 ,01 ,0 ,0 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,9999 ,05 ,16 ,2 ,4 ,9 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1267.65
01294 ,25 ,2 ,05 ,15 ,08 ,3 ,238.99 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
01295 ,07 ,2 ,06 ,13 ,03 ,1 ,196.48 ,1 ,1 ,1 ,2 ,2 ,58000 ,06 ,100 ,10 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6 ,9999 ,03 ,13 ,2 ,3 ,2 ,1 ,5000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,196.48
