"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","63,014","–","–","4,597","–","–","–","–","124","124","–","–","–","297","–","–","–","–","–","–","–","–","–","–","–","71","–","91","554","645","632","–","–","–","–","288","–","6,654","69,668","2,100","222","2,322"
"Algeria","1,581","–","–","3,623","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","91","–","91","632","–","–","–","–","–","–","4,346","5,927","53","145","198"
"Angola","–","–","–","376","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","376","376","–","13","13"
"Ecuador","684","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","684","23","–","23"
"Gabon","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Indonesia","–","–","–","–","–","–","–","–","–","–","–","–","–","297","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","–","320","320","–","11","11"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","10,337","–","–","598","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","598","10,935","345","20","365"
"Kuwait","4,569","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","4,569","152","–","152"
"Libya","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Nigeria","502","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","502","17","–","17"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","265","–","265","265","–","9","9"
"Saudi Arabia","22,909","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","71","–","–","–","–","–","–","–","–","–","–","–","71","22,980","764","2","766"
"United Arab Emirates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Venezuela","22,432","–","–","–","–","–","–","–","124","124","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","554","554","–","–","–","–","–","–","–","678","23,110","748","23","770"
"Non-OPEC","42,089","–","–","7,201","–","–","–","–","1,192","1,192","378","44","–","412","–","–","–","–","693","–","693","–","–","–","–","442","723","318","1,503","2,544","455","12","2","156","–","391","–","13,923","56,012","1,403","464","1,867"
"Argentina","261","–","–","–","–","–","–","–","–","–","15","–","–","412","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","428","689","9","14","23"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
