"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"Estonia","–","–","–","–","–","–","–","–","0","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","0","0"
"Finland","–","–","–","1","–","0","0","0","20","21","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-4","–","0","–","–","–","–","0","0","–","18","18"
"France","-8","0","-15","1","–","1","1","19","3","22","0","0","0","–","–","–","-58","–","0","–","-57","–","–","–","0","–","1","–","1","0","-3","0","-2","0","-52","-60"
"Germany","–","0","–","2","–","0","0","0","0","0","0","0","0","1","–","–","-4","–","0","–","-4","0","–","–","0","–","0","–","–","0","0","0","-2","0","-2","-2"
"Guatemala","7","0","-13","0","–","-30","-30","0","-2","-2","–","0","0","–","–","–","-18","-16","0","–","-34","0","–","–","-4","–","-3","–","–","0","-3","0","-1","–","-90","-83"
"Honduras","–","0","-8","0","–","-11","-11","–","0","0","–","–","–","–","–","–","-6","-8","0","–","-14","0","–","–","-2","–","-12","–","–","0","-3","0","0","–","-51","-51"
"India","–","0","0","5","–","0","0","2","62","64","0","0","-5","–","–","–","2","0","0","1","3","0","–","–","20","–","-1","–","–","0","-142","0","-1","0","-57","-57"
"Italy","-21","–","0","0","–","1","1","0","8","8","–","0","0","–","–","–","-4","–","1","–","-3","–","–","–","–","0","1","–","–","0","-18","0","0","0","-11","-32"
"Japan","-9","0","-143","-3","–","0","0","0","2","2","–","-28","0","–","–","–","3","–","–","–","3","1","–","–","11","3","0","1","–","0","-57","0","0","0","-210","-220"
"Korea, South","-9","0","-82","-3","–","1","1","0","5","5","0","0","-3","1","–","–","2","0","–","–","2","0","–","–","76","4","0","3","–","0","-5","0","10","0","10","2"
"Latvia","–","–","–","–","–","–","–","–","1","1","–","–","–","–","–","–","0","–","–","–","0","–","–","–","–","–","–","–","–","0","–","–","0","0","1","1"
"Lithuania","–","–","–","–","–","0","0","–","2","2","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","–","2","2"
"Malaysia","5","0","–","7","–","-1","-1","–","1","1","0","0","–","–","–","–","0","–","-9","–","-9","0","–","–","0","–","-1","–","–","0","0","0","0","0","-2","3"
"Mexico","585","5","-109","-8","–","-306","-306","0","-66","-66","-25","0","-2","0","–","–","-167","-3","1","–","-170","0","–","–","-32","–","21","14","–","0","-49","-5","-14","-1","-747","-162"
"Netherlands","-38","-1","-65","-11","–","-2","-2","12","13","25","2","0","-1","0","–","–","-95","-9","-13","0","-117","0","0","–","-7","0","-17","1","–","0","-11","0","-2","0","-205","-243"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","0","0"
"Norway","42","0","-19","12","–","1","1","0","28","29","–","0","0","–","–","–","-3","-1","–","–","-4","–","–","–","-1","–","2","–","–","0","-2","0","0","–","17","60"
"Oman","33","0","–","0","–","–","–","0","0","0","–","–","0","–","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","–","-1","0","0","–","-1","31"
"Panama","-4","0","-8","-1","–","-24","-24","–","0","0","–","0","0","–","–","–","-33","-11","-2","–","-46","0","–","–","-15","–","-13","–","–","0","-2","-1","-1","0","-111","-115"
"Portugal","–","–","-8","–","–","3","3","9","14","23","–","–","–","–","–","–","1","–","–","–","1","–","–","–","–","–","–","–","–","0","-1","–","0","–","17","17"
"Puerto Rico","–","0","0","0","–","0","0","0","0","0","0","0","0","–","–","–","0","0","–","–","0","0","–","–","0","–","0","–","–","0","–","0","0","0","-1","-1"
"Russia","43","–","–","299","–","0","0","2","46","47","1","–","–","0","–","–","10","0","2","–","11","0","–","–","0","–","43","–","–","0","0","0","1","–","403","446"
"Spain","-5","0","-14","-5","–","-1","-1","–","43","43","–","0","0","–","–","–","-4","-1","–","–","-5","–","–","–","-2","–","-1","–","–","0","-29","1","0","0","-14","-19"
"Sweden","–","–","0","4","–","1","1","0","2","2","–","–","0","–","–","–","0","–","2","–","3","–","–","–","-3","–","1","–","–","0","0","–","0","0","7","7"
"Trinidad and Tobago","7","0","0","0","–","1","1","–","5","5","–","0","0","0","–","–","0","–","2","–","2","0","–","–","0","–","10","–","–","0","0","0","0","0","17","25"
"United Kingdom","5","0","-15","5","–","5","5","51","37","88","–","0","0","–","–","–","-45","-1","–","–","-46","–","–","–","-11","–","-5","1","–","0","-5","0","0","0","18","23"
"Vietnam","5","0","–","0","–","0","0","–","0","0","–","0","–","–","–","–","0","–","–","–","0","0","–","–","0","–","–","–","–","0","0","0","0","0","-1","4"
"Virgin Islands, U.S.","–","0","0","0","–","0","0","0","0","0","–","–","0","–","–","–","-8","–","–","–","-8","0","–","–","0","–","-5","–","–","–","–","0","-2","–","-15","-15"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","0"
"Other","-33","3","-120","1","–","-54","-54","1","11","11","-7","-1","-9","-1","14","–","-256","-21","-15","1","-290","-1","0","–","-31","1","-120","0","0","1","-135","-5","-11","0","-752","-786"
"Total","7,342","-193","-820","368","–","-520","-520","187","339","525","-36","-26","-62","32","14","–","-910","-111","-29","3","-1,047","-8","0","–","-24","14","-68","25","6","2","-583","17","-38","-1","-2,423","4,918"
"Persian Gulf","1,728","0","0","7","–","-5","-5","0","0","0","1","0","-2","0","–","–","1","–","1","–","2","0","–","–","1","1","-5","1","–","0","-3","0","10","0","9","1,738"
