"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","145,316","–","577","1,493","–","2","2","–","12,224","12,224","–","–","–","913","–","–","325","–","328","–","653","–","–","–","3,749","–","1,244","374","426","2,044","–","–","–","1,499","1,973","68","–","25,196","170,512","434","75","509"
"Algeria","8,743","–","577","1,277","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,244","–","–","1,244","–","–","–","–","–","–","–","3,098","11,841","26","9","35"
"Angola","26,589","–","–","–","–","–","–","–","323","323","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","323","26,912","79","1","80"
"Ecuador","–","–","–","–","–","–","–","–","521","521","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","521","521","–","2","2"
"Gabon","439","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","156","–","156","–","–","–","–","–","–","–","156","–","1","0","–"
"Indonesia","–","–","–","–","–","–","–","–","255","255","–","–","–","913","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","–","–","1,169","1,169","–","3","3"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","17,194","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","17,194","51","–","51"
"Kuwait","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","90","–","–","–","–","–","–","–","–","–","–","–","–","90","90","–","0","0"
"Libya","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Nigeria","60,646","–","–","216","–","2","2","–","7,541","7,541","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","374","–","374","–","–","–","–","–","–","–","8,133","68,779","181","24","205"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","325","–","328","–","653","–","–","–","–","–","–","–","–","–","–","–","–","–","–","68","–","721","721","–","2","2"
"Saudi Arabia","19,444","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","228","–","–","–","–","–","–","–","–","–","–","–","–","228","19,672","58","1","59"
"United Arab Emirates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Venezuela","12,261","–","–","–","–","–","–","–","3,584","3,584","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,431","–","–","–","426","426","–","–","–","1,499","1,973","–","–","10,913","23,174","37","33","69"
"Non-OPEC","150,773","–","13,749","11,812","–","18,879","18,879","61,795","120,354","182,149","–","–","12","6,066","544","–","26,615","1,227","10,040","782","38,664","630","10","–","15,335","–","590","3,004","20,597","24,191","23","13","826","205","6,323","2,040","–","321,477","472,250","450","960","1,410"
"Argentina","–","–","–","–","–","–","–","–","–","–","–","–","–","4,899","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","5","–","4,904","4,904","–","15","15"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Bahamas","–","–","–","–","–","–","–","–","20","20","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","78","78","–","–","–","–","–","–","–","98","98","–","0","0"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Belgium","–","–","–","35","–","1,264","1,264","452","3,846","4,298","–","–","–","–","–","–","270","–","–","–","270","–","–","–","–","–","–","–","–","–","1","–","–","–","–","53","–","5,921","5,921","–","18","18"
"Brazil","4,931","–","–","–","–","258","258","–","1,811","1,811","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","348","184","532","–","–","40","–","–","24","–","2,665","7,596","15","8","23"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","387","–","–","387","–","–","–","–","–","–","–","387","387","–","1","1"
"Canada","81,397","–","13,038","108","–","9,746","9,746","29,009","11,609","40,618","–","–","12","826","–","–","20,692","626","9,200","100","30,618","–","10","–","3,277","–","–","1,580","8,122","9,702","16","13","486","13","5,626","1,332","–","115,441","196,838","243","345","588"
"Chad","8,561","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8,561","26","–","26"
"China","–","–","–","–","–","–","–","–","271","271","–","–","–","–","–","–","386","–","–","–","386","267","–","–","842","–","–","–","–","–","–","–","154","–","–","–","–","1,920","1,920","–","6","6"
"Colombia","28,431","–","–","294","–","–","–","–","4,076","4,076","–","–","–","–","–","–","–","–","73","300","974","–","–","–","–","–","–","–","4,911","4,911","–","–","–","192","64","–","–","10,511","38,942","85","31","116"
"Congo (Brazzaville)","1,147","–","–","–","–","–","–","–","56","56","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","477","–","477","–","–","–","–","–","–","–","533","1,680","3","2","5"
"Denmark","–","–","–","73","–","–","–","110","77","187","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","4","4","–","–","–","–","–","–","–","264","264","–","1","1"
"Egypt","995","–","–","–","–","–","–","–","435","435","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","435","1,430","3","1","4"
"Equatorial Guinea","1,298","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,298","4","–","4"
"Estonia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finland","–","–","–","57","–","207","207","227","6,899","7,126","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","37","–","37","–","–","–","–","–","–","–","7,427","7,427","–","22","22"
"France","–","–","–","241","–","332","332","6,353","1,186","7,539","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","6","–","6","–","–","–","–","–","73","–","8,191","8,191","–","24","24"
"Germany","–","–","–","–","–","–","–","150","32","182","–","–","–","341","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","20","–","–","72","–","615","615","–","2","2"
"Guatemala","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"India","–","–","–","–","–","23","23","301","17,261","17,562","–","–","–","–","–","–","1,027","–","–","382","1,409","–","–","–","6,218","–","–","–","–","–","–","–","–","–","–","–","–","25,212","25,212","–","75","75"
"Italy","–","–","–","677","–","299","299","151","2,622","2,773","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","24","–","3,773","3,773","–","11","11"
"Korea, South","–","–","–","–","–","63","63","–","606","606","–","–","–","–","–","–","400","–","–","–","400","–","–","–","4,522","–","–","–","–","–","–","–","–","–","–","105","–","5,696","5,696","–","17","17"
"Latvia","–","–","–","–","–","–","–","–","417","417","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","417","417","–","1","1"
"Lithuania","–","–","–","–","–","20","20","–","614","614","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","634","634","–","2","2"
"Malaysia","–","–","–","–","–","–","–","–","26","26","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3","–","–","–","–","29","29","–","0","0"
"Mexico","4,743","–","–","–","–","–","–","–","601","601","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","58","613","671","–","–","–","–","–","–","–","1,272","6,015","14","4","18"
"Netherlands","–","–","–","86","–","1,596","1,596","5,190","5,358","10,548","–","–","–","–","–","–","350","–","–","–","350","–","–","–","–","–","–","–","1,703","1,703","6","–","1","–","–","–","–","14,290","14,290","–","43","43"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","64","–","–","64","64","–","0","0"
"Norway","11,713","–","43","–","–","335","335","138","9,159","9,297","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","9,675","21,388","35","29","64"
"Oman","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Portugal","–","–","–","–","–","1,102","1,102","2,669","4,305","6,974","–","–","–","–","–","–","195","–","–","–","195","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8,271","8,271","–","25","25"
"Russia","–","–","–","7,081","–","1","1","574","15,327","15,901","–","–","–","–","–","–","3,035","–","–","–","3,035","–","–","–","–","–","–","342","1,148","1,490","–","–","–","–","–","331","–","27,845","27,845","–","83","83"
"Spain","–","–","–","321","–","852","852","–","13,476","13,476","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","307","19","–","14,975","14,975","–","45","45"
"Sweden","–","–","668","268","–","308","308","98","545","643","–","–","–","–","–","–","–","–","286","–","286","–","–","–","–","–","–","–","583","583","–","–","–","–","–","–","–","2,756","2,756","–","8","8"
"Syria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Trinidad and Tobago","–","–","–","–","–","457","457","–","1,675","1,675","–","–","–","–","–","–","–","–","481","–","481","–","–","–","–","–","–","–","2,939","2,939","–","–","–","–","–","–","–","5,552","5,552","–","17","17"
"United Kingdom","1,910","–","–","1,554","–","1,552","1,552","16,359","11,754","28,113","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","31,219","33,129","6","93","99"
"Vietnam","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Virgin Islands, U.S.","–","–","–","–","–","–","–","–","21","21","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","21","21","–","0","0"
"Yemen","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
