"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"Italy","647","–","–","11","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","17","0","28","675","22","1","23"
"Jamaica","–","0","42","–","–","2","2","–","0","0","–","–","0","–","–","–","305","55","–","–","360","–","–","–","–","–","391","–","–","–","–","–","16","0","811","811","–","27","27"
"Japan","–","0","2,789","12","–","2","2","0","0","0","–","669","0","–","–","–","0","–","–","–","0","–","–","–","–","–","0","–","–","1","1,429","0","39","4","4,945","4,945","–","165","165"
"Korea, South","1,254","0","3,311","10","–","2","2","0","0","1","–","0","92","–","–","–","0","–","–","–","0","0","–","–","–","–","–","–","–","0","272","1","3","1","3,694","4,948","42","123","165"
"Lebanon","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","0","–","–","–","0","0","–","–","–","–","402","–","–","0","116","–","1","–","519","519","–","17","17"
"Mexico","–","26","5,671","602","–","11,560","11,560","1","1,318","1,319","494","2","66","1","–","–","5,779","145","10","–","5,934","0","–","–","1,213","–","149","–","–","14","2,281","129","459","3","29,923","29,923","–","997","997"
"Montenegro","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Morocco","–","–","800","2","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","428","–","1","–","1,231","1,231","–","41","41"
"Mozambique","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","39","–","–","–","39","39","–","1","1"
"Netherlands","969","15","1,278","381","–","240","240","–","–","–","–","0","0","21","–","–","1,443","–","–","–","1,443","0","–","–","300","–","577","–","–","3","65","0","13","1","4,339","5,307","32","145","177"
"Netherlands Antilles","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"New Zealand","–","–","–","–","–","1","1","–","–","–","–","0","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","0","94","–","1","–","95","95","–","3","3"
