"STUB_1","STUB_2","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"PAD District 5","Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 5","Saudi Arabia","100,728","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","100,728","301","–","301"
"PAD District 5","United Arab Emirates","3,723","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","–","–","–","–","–","–","–","–","–","–","–","36","3,759","11","0","11"
"PAD District 5","Venezuela","346","–","–","–","–","–","–","–","–","5","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","13","13","–","–","–","–","–","–","–","18","364","1","0","1"
"Non-OPEC","","157,611","–","5,745","20,693","–","994","994","722","8,848","9,570","–","–","756","796","4,203","–","4,633","54","216","–","4,903","–","61","–","30,536","–","–","265","22,538","22,803","336","–","489","313","1,037","192","–","103,427","261,038","470","309","779"
"Argentina","","2,857","–","170","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","170","3,027","9","1","9"
"Aruba","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","","817","–","127","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","127","944","2","0","3"
"Brazil","","9,224","–","–","–","–","–","–","–","–","–","–","–","756","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","23","23","–","–","–","–","–","–","–","779","10,003","28","2","30"
"Brunei","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Canada","","76,650","–","5,071","267","–","686","686","–","4,652","4,652","–","–","–","358","–","–","2,473","–","68","–","2,541","–","–","–","40","–","–","40","2,092","2,132","–","–","56","313","796","78","–","16,990","93,640","229","51","280"
"China","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","412","–","–","–","412","–","–","–","4,011","–","–","–","–","–","–","–","349","–","–","–","–","4,772","4,772","–","14","14"
"Colombia","","41,503","–","–","–","–","–","–","–","192","192","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","6","6","–","–","–","–","–","–","–","198","41,701","124","1","124"
"Finland","","–","–","–","133","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","133","133","–","0","0"
"Germany","","–","–","–","333","–","–","–","4","–","4","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1","–","–","–","–","338","338","–","1","1"
"Japan","","–","–","–","210","–","–","–","–","300","300","–","–","–","–","–","–","980","–","–","–","980","–","–","–","3,504","–","–","–","–","–","–","–","74","–","–","10","–","5,078","5,078","–","15","15"
"Korea, South","","–","–","119","575","–","169","169","–","816","816","–","–","–","438","–","–","768","54","–","–","822","–","–","–","22,207","–","–","–","–","–","192","–","–","–","43","103","–","25,484","25,484","–","76","76"
"Malaysia","","1,657","–","–","2,676","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","94","–","–","–","–","–","–","–","–","–","–","–","–","2,770","4,427","5","8","13"
"Mexico","","351","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","10,411","10,411","–","–","–","–","–","–","–","10,411","10,762","1","31","32"
"Netherlands","","314","–","–","899","–","39","39","45","229","274","–","–","–","–","–","–","–","–","–","–","–","–","61","–","–","–","–","–","1,091","1,091","–","–","–","–","–","–","–","2,364","2,678","1","7","8"
"Netherlands Antilles","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Oman","","10,533","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","10,533","31","–","31"
"Papua New Guinea","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Peru","","666","–","120","305","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","852","852","–","–","–","–","–","–","–","1,277","1,943","2","4","6"
"Singapore","","–","–","–","602","–","–","–","239","97","336","–","–","–","–","–","–","–","–","148","–","148","–","–","–","–","–","–","–","176","176","–","–","–","–","–","–","–","5,465","5,465","–","16","16"
"Sweden","","–","–","–","46","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","46","46","–","0","0"
"Taiwan","","–","–","–","–","–","–","–","–","430","430","–","–","–","–","–","–","–","–","–","–","–","–","–","–","634","–","–","–","–","–","144","–","–","–","–","–","–","1,208","1,208","–","4","4"
"United Kingdom","","–","–","–","422","–","42","42","168","303","471","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","935","935","–","3","3"
"Vietnam","","1,403","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,403","4","–","4"
"Virgin Islands, U.S.","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","","11,636","–","138","14,225","–","58","58","266","1,829","2,095","–","–","0","0","4,203","–","0","0","0","–","0","–","0","–","46","–","–","225","7,887","8,112","0","–","9","0","198","1","–","24,882","36,518","34","75","110"
"Total","","392,524","–","5,745","27,301","–","994","994","727","8,848","9,575","–","–","756","796","4,203","–","4,633","54","216","–","4,903","–","61","–","30,643","–","–","594","22,731","23,325","336","–","490","313","1,037","192","–","110,670","503,194","1,172","330","1,502"
"Persian Gulf","","141,676","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","–","–","–","–","–","–","–","–","–","–","–","36","141,712","423","0","423"
