"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","0.9","-2.5","0.7","1.4","-1.1","-0.4","0.7","1.8","3.5","3.9","-0.7","0.3","3.4","1.4","0.0","2.1"
"Finished Motor Gasoline","48.7","42.6","48.2","54.3","50.8","52.1","53.3","56.1","44.7","41.8","32.3","51.4","44.2","48.2","52.0","47.7"
"Finished Aviation Gasoline","–","–","–","–","0.1","–","0.0","0.4","0.1","0.1","–","–","0.1","0.0","0.1","0.1"
"Kerosene-Type Jet Fuel","8.8","–","8.1","8.3","5.4","4.3","6.9","6.5","10.0","11.4","2.5","–","10.0","4.5","17.1","10.0"
"Kerosene","0.1","0.2","0.1","0.1","–","–","0.1","0.0","0.0","0.0","0.3","–","0.0","–","0.0","0.0"
"Distillate Fuel Oil","30.3","28.0","30.1","25.8","35.6","37.7","30.0","30.1","29.5","31.4","34.1","41.0","30.6","34.8","22.5","29.4"
"Residual Fuel Oil","4.5","0.2","4.2","1.6","2.4","0.4","1.4","1.2","2.3","3.8","-0.6","4.5","2.8","2.0","3.4","2.7"
"Naphtha for Petro. Feed. Use","0.4","–","0.4","0.9","0.0","–","0.6","0.6","2.8","0.9","0.2","–","1.7","–","0.0","1.1"
"Other Oils for Petro. Feed. Use","–","–","–","0.3","–","0.2","0.2","0.0","1.2","1.1","–","–","1.0","–","–","0.6"
"Special Naphthas","–","0.9","0.1","0.1","–","0.1","0.0","0.4","0.4","–","2.7","–","0.3","–","0.1","0.2"
"Lubricants","0.6","7.2","1.1","–","–","1.0","0.2","0.1","1.4","1.5","12.9","–","1.6","–","0.1","1.0"
"Waxes","–","0.3","0.0","–","–","0.1","0.0","–","0.0","0.0","0.5","–","0.0","–","–","0.0"
"Petroleum Coke","3.7","0.6","3.4","5.5","5.4","3.6","5.0","2.0","6.9","5.7","2.1","2.2","5.8","4.4","6.1","5.5"
"Asphalt and Road Oil","2.6","18.4","3.8","3.8","4.4","1.9","3.4","1.0","0.2","0.7","13.0","-0.3","0.8","5.5","1.1","1.8"
"Still Gas","3.7","2.3","3.6","3.6","3.7","3.7","3.6","3.8","4.3","3.8","2.6","2.2","4.0","3.8","4.8","4.0"
"Miscellaneous Products","0.2","1.0","0.3","0.4","0.7","0.3","0.4","0.3","0.7","0.6","0.0","1.0","0.6","0.5","0.6","0.5"
"Processing Gain(-) or Loss(+)","-4.6","0.7","-4.2","-6.0","-7.5","-4.8","-5.9","-4.3","-8.0","-6.6","-2.1","-2.1","-6.9","-5.0","-7.8","-6.6"
