"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Finished Motor Gasoline","88,035","6,209","94,244","44,398","8,952","13,812","67,162","16,801","12,146","2,846","8,800","1,025","41,618","4,390","43,666","251,080"
"Reformulated","38,157","–","38,157","8,289","1,507","1,050","10,846","7,306","6,388","–","–","–","13,694","–","32,356","95,053"
"Reformulated Blended with Fuel Ethanol","38,157","–","38,157","8,289","1,507","1,050","10,846","7,306","6,388","–","–","–","13,694","–","32,356","95,053"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","49,878","6,209","56,087","36,109","7,445","12,762","56,316","9,495","5,758","2,846","8,800","1,025","27,924","4,390","11,310","156,027"
"Conventional Blended with Fuel Ethanol","52,981","6,220","59,201","37,557","8,305","13,112","58,974","9,737","1,267","2,857","9,593","1,065","24,519","5,828","12,883","161,405"
"Ed55 and Lower","52,944","6,220","59,164","37,549","8,285","13,067","58,901","9,733","1,267","2,857","9,583","1,065","24,505","5,819","12,880","161,269"
"Greater than Ed55","37","–","37","8","20","45","73","4","–","–","10","–","14","9","3","136"
"Conventional Other","-3,103","-11","-3,114","-1,448","-860","-350","-2,658","-242","4,491","-11","-793","-40","3,405","-1,438","-1,573","-5,378"
"Finished Aviation Gasoline","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-1","-1"
"Kerosene-Type Jet Fuel","-241","–","-241","-262","–","–","-262","–","27","8","–","–","35","31","-43","-480"
"Kerosene","2","–","2","–","–","–","–","–","-37","1","–","–","-36","–","17","-17"
"Distillate Fuel Oil","594","59","653","408","45","75","528","45","76","77","33","26","257","-18","441","1,861"
"15 ppm sulfur and under","505","59","564","408","45","75","528","45","-22","77","33","26","159","-18","423","1,656"
"Greater than 15 ppm to 500 ppm sulfur","-108","0","-108","–","–","91","91","–","–","–","–","–","–","–","–","-17"
"Greater than 500 ppm sulfur","197","–","197","–","–","-91","-91","–","98","–","–","–","98","–","18","222"
"Residual Fuel Oil","36","–","36","–","–","–","–","–","0","23","–","–","23","–","–","59"
"Less than 0.31 percent sulfur","-39","–","-39","–","–","–","–","–","20","–","–","–","20","–","–","-19"
"0.31 to 1.00 percent sulfur","4","–","4","–","–","–","–","–","2","–","–","–","2","–","–","6"
"Greater than 1.00 percent sulfur","71","–","71","–","–","–","–","–","-22","23","–","–","1","–","–","72"
"Special Naphthas","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Lubricants","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Asphalt and Road Oil","-65","–","-65","81","–","1","82","–","–","-18","–","–","-18","–","–","-1"
"Miscellaneous Products","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total Production","88,361","6,268","94,629","44,625","8,997","13,888","67,510","16,846","12,212","2,937","8,833","1,051","41,879","4,403","44,080","252,501"
"Processing Gain(-) or Loss(+)","-3","-1","-4","10","0","-1","9","-1","0","1","2","0","2","1","-3","5"
