"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Crude Oil","9,722","772","10,494","10,779","2,482","1,841","15,102","1,755","26,547","18,496","1,195","316","48,309","2,770","25,027","101,702"
"Petroleum Products","15,911","1,935","17,846","29,549","6,971","11,330","47,850","9,943","58,001","51,117","3,775","1,427","124,263","11,055","49,548","250,562"
"Pentanes Plus","–","–","–","27","–","185","212","218","29","300","–","26","573","21","1","807"
"Liquefied Petroleum Gases","739","40","779","3,713","537","1,198","5,448","2,556","1,201","5,960","12","36","9,765","434","1,580","18,006"
"Ethane/Ethylene","–","–","–","–","–","–","–","99","–","–","–","–","99","–","–","99"
"Propane/Propylene","250","3","253","1,457","66","758","2,281","1,373","77","1,401","2","3","2,856","38","122","5,550"
"Normal Butane/Butylene","342","23","365","1,983","403","169","2,555","984","906","3,619","5","17","5,531","285","1,032","9,768"
"Isobutane/Isobutylene","147","14","161","273","68","271","612","100","218","940","5","16","1,279","111","426","2,589"
"Oxygenates/Renewable Fuels/Other Hydrocarbons","89","104","193","86","44","29","159","45","160","143","64","13","425","122","329","1,228"
"Oxygenates (excluding Fuel Ethanol)","–","–","–","–","–","–","–","–","88","–","–","–","88","–","–","88"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","–","–","–","–","–","–","88","–","–","–","88","–","–","88"
"All Other Oxygenates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","89","104","193","63","44","29","136","45","72","143","64","13","337","122","329","1,117"
"Fuel Ethanol","89","97","186","40","31","26","97","39","38","69","26","11","183","115","36","617"
"Renewable Diesel Fuel","–","7","7","23","13","3","39","6","34","74","38","2","154","7","262","469"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","31","31"
"Other Hydrocarbons","–","–","–","23","–","–","23","–","–","–","–","–","–","–","–","23"
"Unfinished Oils","4,451","413","4,864","7,754","711","4,082","12,547","2,279","20,225","14,458","847","667","38,476","2,670","19,108","77,665"
"Naphthas and Lighter","1,004","270","1,274","1,781","153","1,033","2,967","953","6,290","2,327","193","260","10,023","569","3,081","17,914"
"Kerosene and Light Gas Oils","617","–","617","1,895","231","629","2,755","423","3,850","2,330","135","217","6,955","444","3,215","13,986"
"Heavy Gas Oils","1,904","132","2,036","2,905","327","1,474","4,706","421","8,097","7,451","459","190","16,618","1,324","9,737","34,421"
"Residuum","926","11","937","1,173","–","946","2,119","482","1,988","2,350","60","–","4,880","333","3,075","11,344"
"Motor Gasoline Blending Components (MGBC)","5,697","273","5,970","7,992","1,745","2,546","12,283","2,446","13,349","12,216","306","337","28,654","3,253","13,121","63,281"
"Reformulated - RBOB","1,975","–","1,975","934","94","–","1,028","211","1,123","462","–","–","1,796","–","5,113","9,912"
"Conventional","3,722","273","3,995","7,058","1,651","2,546","11,255","2,235","12,226","11,754","306","337","26,858","3,253","8,008","53,369"
"CBOB","570","226","796","2,712","898","1,558","5,168","1,045","4,417","6,285","175","99","12,021","1,379","1,966","21,330"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","3,152","47","3,199","4,346","753","988","6,087","1,190","7,809","5,469","131","238","14,837","1,874","6,042","32,039"
"Aviation Gasoline Blending Components","–","–","–","–","–","–","–","17","–","–","–","–","17","–","–","17"
"Finished Motor Gasoline","–","28","28","997","161","313","1,471","429","2,145","1,507","27","68","4,176","1,120","1,026","7,821"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","20","20"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","20","20"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","–","28","28","997","161","313","1,471","429","2,145","1,507","27","68","4,176","1,120","1,006","7,801"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","63","–","63"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","63","–","63"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","–","28","28","997","161","313","1,471","429","2,145","1,507","27","68","4,176","1,057","1,006","7,738"
"Finished Aviation Gasoline","–","–","–","–","55","–","55","29","102","178","–","–","309","8","202","574"
"Kerosene-Type Jet Fuel","603","–","603","1,307","315","233","1,855","323","2,970","2,559","49","–","5,901","305","3,787","12,451"
"Kerosene","92","6","98","88","–","20","108","41","7","48","4","–","100","1","4","311"
"Distillate Fuel Oil","2,519","179","2,698","3,582","1,710","1,620","6,912","810","7,816","6,996","437","112","16,171","2,121","5,584","33,486"
"15 ppm sulfur and under","1,726","53","1,779","3,362","1,114","1,513","5,989","710","7,351","5,354","343","112","13,870","1,911","4,865","28,414"
"Greater than 15 ppm to 500 ppm sulfur","34","101","135","–","100","69","169","25","58","643","38","–","764","168","158","1,394"
"Greater than 500 ppm sulfur","759","25","784","220","496","38","754","75","407","999","56","–","1,537","42","561","3,678"
"Residual Fuel Oil","559","19","578","905","162","43","1,110","96","2,383","1,436","17","46","3,978","227","2,264","8,157"
"Less than 0.31 percent sulfur","142","17","159","–","19","–","19","8","–","225","–","–","233","35","–","446"
"0.31 to 1.00 percent sulfur","56","2","58","113","36","–","149","–","136","58","17","4","215","4","385","811"
"Greater than 1.00 percent sulfur","361","–","361","792","107","43","942","88","2,247","1,153","–","42","3,530","188","1,879","6,900"
"Petrochemical Feedstocks","217","–","217","544","81","–","625","142","1,749","591","7","–","2,489","–","3","3,334"
"Naphtha for Petro. Feed. Use","217","–","217","406","81","–","487","37","952","360","7","–","1,356","–","3","2,063"
"Other Oils for Petro. Feed. Use","–","–","–","138","–","–","138","105","797","231","–","–","1,133","–","–","1,271"
"Special Naphthas","–","10","10","66","–","19","85","70","744","–","77","–","891","–","44","1,030"
"Lubricants","416","291","707","–","–","273","273","46","2,648","2,717","811","–","6,222","–","552","7,754"
"Waxes","–","333","333","–","–","55","55","–","62","110","74","–","246","–","–","634"
"Petroleum Coke","–","–","–","301","510","86","897","10","2,069","1,243","–","–","3,322","181","1,157","5,557"
"Marketable","–","–","–","301","510","86","897","10","2,069","1,243","–","–","3,322","181","1,157","5,557"
"Catalyst","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Asphalt and Road Oil","512","219","731","2,105","919","621","3,645","323","117","534","1,042","101","2,117","573","704","7,770"
"Miscellaneous Products","17","20","37","82","21","7","110","63","225","121","1","21","431","19","82","679"
"Total Stocks, All Oils","25,633","2,707","28,340","40,328","9,453","13,171","62,952","11,698","84,548","69,613","4,970","1,743","172,572","13,825","74,575","352,264"
