"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Natural Gas Plant Liquids","13","11,260","11,273","5,918","6,332","11,616","23,866","40,759","6,359","5,615","943","5,450","59,126","11,647","2,025","107,937","5","257","262","1,011","133","418","1,562","192","3,615","574","25","–","4,406","115","407","6,752"
"Pentanes Plus","–","1,114","1,114","445","791","1,560","2,796","4,359","554","644","219","600","6,376","1,837","1,020","13,143","–","66","66","67","43","4","114","24","32","252","5","–","313","31","31","555"
"Liquefied Petroleum Gases","13","10,146","10,159","5,473","5,541","10,056","21,070","36,400","5,805","4,971","724","4,850","52,750","9,810","1,005","94,794","5","191","196","944","90","414","1,448","168","3,583","322","20","–","4,093","84","376","6,197"
"Ethane","–","4,684","4,684","1,986","1,754","3,692","7,432","17,434","3,161","2,122","229","2,136","25,082","3,162","1","40,361","–","–","–","72","2","201","275","1","929","–","–","–","930","–","–","1,205"
"Propane","4","3,764","3,768","2,443","2,458","4,209","9,110","12,323","1,672","1,820","280","1,797","17,892","4,231","264","35,265","2","128","130","648","54","149","851","107","1,848","21","15","–","1,991","43","54","3,069"
"Normal Butane","9","1,133","1,142","620","1,038","1,205","2,863","4,112","-1,282","628","129","528","4,115","1,665","383","10,168","3","46","49","112","27","22","161","53","456","231","5","–","745","32","288","1,275"
"Isobutane","–","565","565","424","291","950","1,665","2,531","2,254","401","86","389","5,661","752","357","9,000","–","17","17","112","7","42","161","7","350","70","–","–","427","9","34","648"
