"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products","Crude Oil","Products","Total"
"Argentina","558","0","462","632","–","1,341","1,341","–","124","124","–","0","0","–","–","–","15,135","378","300","–","15,813","4","–","–","917","–","0","–","–","2","1","2","387","3","19,689","20,247","2","59","60"
"Australia","–","4","2,113","6","–","7","7","1","0","1","0","0","1","0","–","–","319","315","–","–","634","0","–","–","0","–","0","–","–","5","2,257","124","165","4","5,321","5,321","–","16","16"
"Bahamas","1,551","2","439","276","–","1,140","1,140","0","5","5","70","6","10","–","–","–","2,108","193","2,248","–","4,549","0","–","–","803","–","3,478","–","–","0","–","22","34","0","10,836","12,388","5","32","37"
"Bahrain","–","–","–","0","–","3","3","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","5","–","8","8","–","0","0"
"Belgium","–","5","1,569","143","–","0","0","0","269","269","55","0","1","–","–","–","2,521","1,418","305","–","4,244","0","–","–","–","–","309","–","–","7","1,724","1","3,037","3","11,368","11,368","–","34","34"
"Belize","–","0","–","–","–","216","216","–","32","32","–","–","0","–","–","–","0","–","–","–","0","0","–","–","–","–","–","–","–","0","–","43","13","–","305","305","–","1","1"
"Brazil","193","18","14,137","3,645","–","7,460","7,460","–","20","20","0","0","5,345","0","–","–","38,663","1,901","913","–","41,477","0","–","–","909","–","–","–","–","2","10,451","1","2,392","8","85,867","86,060","1","256","257"
"Canada","104,091","66,230","30,848","16,662","–","9,862","9,862","2","8,785","8,787","–","3","5,525","1,613","–","–","3,343","6,365","1,737","–","11,445","2,430","–","–","12,690","–","10,389","–","–","857","7,374","2,236","2,795","44","189,789","293,880","311","567","877"
"Cayman Islands","–","0","603","0","–","232","232","–","0","0","34","–","0","–","–","–","573","–","–","–","573","0","–","–","154","–","0","–","–","–","–","7","22","–","1,626","1,626","–","5","5"
"Chile","–","1","8,344","1,254","–","2,440","2,440","0","174","174","2,306","0","11","0","–","–","30,083","2,167","–","–","32,250","4","–","–","2,017","–","–","–","–","4","1,005","529","764","1","51,104","51,104","–","153","153"
