"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Liquefied Refinery Gases","311","-67","244","986","-164","-98","724","364","4,597","4,247","-49","9","9,168","267","17","10,420"
"Ethane/Ethylene","8","–","8","–","–","–","–","1","105","1","–","–","107","–","–","115"
"Ethane","–","–","–","–","–","–","–","1","94","1","–","–","96","–","–","96"
"Ethylene","8","–","8","–","–","–","–","–","11","–","–","–","11","–","–","19"
"Propane/Propylene","1,151","16","1,167","2,281","416","651","3,348","768","5,985","4,696","27","41","11,517","295","1,365","17,692"
"Propane","711","16","727","1,486","237","458","2,181","374","2,462","2,115","26","41","5,018","284","1,063","9,273"
"Propylene","440","–","440","795","179","193","1,167","394","3,523","2,581","1","–","6,499","11","302","8,419"
"Normal Butane/Butylene","-748","-63","-811","-1,307","-533","-727","-2,567","-382","-1,091","-562","-76","-34","-2,145","-54","-1,327","-6,904"
"Normal Butane","-675","-63","-738","-1,246","-533","-724","-2,503","-382","-960","-732","-76","-36","-2,186","-53","-1,297","-6,777"
"Butylene","-73","–","-73","-61","–","-3","-64","–","-131","170","–","2","41","-1","-30","-127"
"Isobutane/Isobutylene","-100","-20","-120","12","-47","-22","-57","-23","-402","112","–","2","-311","26","-21","-483"
"Isobutane","-100","-20","-120","12","-47","-22","-57","-23","-386","112","–","2","-295","26","-21","-467"
"Isobutylene","–","–","–","–","–","–","–","–","-16","–","–","–","-16","–","–","-16"
"Finished Motor Gasoline","729","1,156","1,885","6,271","1,968","2,715","10,954","3,194","13,612","8,832","611","706","26,955","4,943","3,560","48,297"
"Reformulated","729","–","729","–","–","–","–","–","–","–","–","–","–","–","656","1,385"
"Reformulated Blended with Fuel Ethanol","729","–","729","–","–","–","–","–","–","–","–","–","–","–","656","1,385"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","–","1,156","1,156","6,271","1,968","2,715","10,954","3,194","13,612","8,832","611","706","26,955","4,943","2,904","46,912"
"Conventional Blended with Fuel Ethanol","–","893","893","1,584","1,500","1,030","4,114","1,948","426","1,698","528","471","5,071","2,994","242","13,314"
"Ed55 and Lower","–","893","893","1,584","1,500","1,030","4,114","1,944","426","1,698","528","471","5,067","2,994","242","13,310"
"Greater than Ed55","–","–","–","–","–","–","–","4","–","–","–","–","4","–","–","4"
"Conventional Other","–","263","263","4,687","468","1,685","6,840","1,246","13,186","7,134","83","235","21,884","1,949","2,662","33,598"
"Finished Aviation Gasoline","–","–","–","–","17","–","17","85","61","142","–","–","288","5","90","400"
"Kerosene-Type Jet Fuel","2,932","–","2,932","5,696","834","1,104","7,634","1,300","13,158","12,539","165","–","27,162","867","12,100","50,695"
"Commercial","2,932","–","2,932","5,696","793","1,011","7,500","1,102","11,959","12,403","95","–","25,559","812","11,311","48,114"
