"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"OPEC","3,242","0","-54","142","–","-95","-95","–","38","38","-17","–","-2","22","–","–","-81","-9","-9","–","-99","0","–","–","4","2","7","21","–","0","-13","5","6","0","-33","3,209"
"Algeria","129","–","–","147","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3","21","–","0","–","–","0","–","171","300"
"Angola","161","–","–","13","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","12","174"
"Ecuador","250","0","-54","0","–","-26","-26","–","–","–","–","–","–","–","–","–","-35","–","-9","–","-43","–","–","–","–","–","-7","–","–","0","-6","0","-2","–","-139","111"
"Gabon","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Indonesia","–","–","–","–","–","–","–","–","–","–","–","–","0","22","–","–","0","–","–","–","0","–","–","–","0","–","–","–","–","–","0","0","1","0","23","23"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","414","–","–","20","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","0","–","20","434"
"Kuwait","228","0","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","0","228"
"Libya","27","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","0","–","0","27"
"Nigeria","209","–","–","7","–","-17","-17","–","30","30","–","–","-2","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","0","–","18","227"
