"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","1,061,922","–","577","49,706","–","2","2","5","14,699","14,704","262","–","–","2,355","–","–","325","–","328","–","653","–","–","–","3,871","527","1,256","1,858","5,849","8,963","1,332","210","2","1,637","2,045","3,662","–","90,508","1,152,430","3,170","270","3,440"
"Algeria","15,035","–","577","41,853","–","–","–","–","515","515","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,244","91","–","1,335","952","–","–","–","–","–","–","45,232","60,267","45","135","180"
"Angola","54,973","–","–","3,036","–","–","–","–","323","323","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,359","58,332","164","10","174"
"Ecuador","79,528","–","–","–","–","–","–","–","521","521","–","–","–","–","–","–","–","–","–","–","–","–","–","–","5","–","–","–","180","180","–","–","–","–","–","–","–","706","80,234","237","2","240"
"Gabon","439","–","–","397","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","156","–","156","–","–","–","–","–","–","–","553","–","1","2","–"
"Indonesia","12,312","–","–","–","–","–","–","–","255","255","–","–","–","2,355","–","–","–","–","–","–","–","–","–","–","63","–","–","–","–","–","–","–","2","–","–","589","–","3,264","15,576","37","10","46"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","134,752","–","–","921","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","342","670","–","–","–","–","–","–","–","1,591","136,343","402","5","407"
"Kuwait","68,576","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","90","–","–","–","–","–","–","–","–","138","–","–","–","228","68,804","205","1","205"
"Libya","3,262","–","–","1,277","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8","–","–","292","–","292","–","–","–","–","–","–","–","1,577","4,839","10","5","14"
"Nigeria","70,045","–","–","216","–","2","2","–","8,108","8,108","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","1,012","–","1,024","–","210","–","–","–","–","–","9,560","79,605","209","29","238"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","325","–","328","–","653","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,073","–","3,726","3,726","–","11","11"
"Saudi Arabia","370,161","–","–","1,351","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","238","527","–","5","155","160","380","–","–","–","–","–","–","2,656","372,817","1,105","8","1,113"
"United Arab Emirates","3,723","–","–","531","–","–","–","–","–","–","262","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","–","–","1","1","–","–","–","–","–","–","–","830","4,553","11","2","14"
"Venezuela","249,116","–","–","521","–","–","–","5","4,977","4,982","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,431","–","–","130","5,171","5,301","–","–","–","1,499","2,045","–","–","17,779","266,895","744","53","797"
"Non-OPEC","1,577,531","3,204","49,389","147,724","–","20,746","20,746","63,155","144,258","207,413","2,594","834","862","11,474","4,747","–","31,949","1,594","12,991","1,392","47,926","631","81","–","45,875","4,236","2,513","7,213","57,412","67,138","7,460","1,602","1,628","1,624","10,282","9,454","13","647,186","2,224,717","4,709","1,932","6,641"
"Argentina","4,254","–","170","166","–","–","–","–","219","219","149","–","–","8,689","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","17","377","–","397","–","26","–","10,210","14,464","13","30","43"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","1,473","–","127","–","–","–","–","–","–","–","–","–","–","45","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","172","1,645","4","1","5"
"Bahamas","–","–","–","–","–","–","–","–","20","20","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","425","425","–","–","–","–","–","–","–","445","445","–","1","1"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","683","–","683","683","–","2","2"
"Belgium","–","–","–","14,371","–","1,288","1,288","479","4,204","4,683","483","–","–","–","–","–","270","–","–","–","270","–","–","–","–","–","40","–","143","183","1","–","–","–","–","169","–","21,448","21,448","–","64","64"
"Brazil","49,468","–","–","296","–","323","323","–","2,729","2,729","637","834","850","–","–","–","–","–","254","–","254","–","–","–","–","114","–","1,037","207","1,244","61","–","40","–","–","24","–","7,423","56,891","148","22","170"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","647","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","162","–","–","–","–","–","387","–","–","387","–","–","–","–","–","–","–","1,196","1,196","–","4","4"
"Canada","1,085,014","326","47,753","1,296","–","11,066","11,066","29,009","19,429","48,438","–","–","12","1,961","–","–","23,650","626","9,731","222","34,229","1","20","–","3,317","1,457","126","2,430","10,649","13,205","965","858","600","501","9,314","3,720","13","179,210","1,264,224","3,239","535","3,774"
"Chad","22,439","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","22,439","67","–","67"
