"Table 58.  Net Movements of Crude Oil and Petroleum Products by Pipeline, Tanker, and ",,,,,,,,,,,,,,,,,,
,,,"      Barge Between PAD Districts, December 2005",,,,,,,,,,,,,,,
,,,       (Thousand Barrels),,,,,,,,,,,,,,,
Commodity,,,, PAD District 1,,,PAD District 2,,,PAD District 3,,,PAD District 4,,,PAD District 5,,
,,,,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts
Crude Oil,,,,706,393,313,"59,422","3,610","55,812","2,471","55,295","-52,824","1,401","4,702","-3,301",0,0,0
Petroleum Products,,,,"100,890","10,677","90,213","49,562","9,227","40,335","9,026","139,259","-130,233","1,233","5,598","-4,365","4,107",57,"4,050"
,Pentanes Plus,,,0,0,0,"1,161",138,"1,023",419,"1,079",-660,0,363,-363,0,0,0
,Liquefied Petroleum Gases,,,"4,949",0,"4,949","8,145","4,562","3,583","5,504","11,194","-5,690",132,"2,974","-2,842",0,0,0
,,Ethane/Ethylene,,0,0,0,"1,084","1,584",-500,"2,956",880,"2,076",0,"1,576","-1,576",0,0,0
,,Propane/Propylene,,"4,739",0,"4,739","5,400","2,129","3,271","1,449","8,824","-7,375",130,765,-635,0,0,0
,,Normal Butane/Butylene,,210,0,210,968,656,312,715,855,-140,2,384,-382,0,0,0
,,Isobutane/Isobutylene,,0,0,0,693,193,500,384,635,-251,0,249,-249,0,0,0
,Unfinished Oils,,,37,0,37,"1,415",729,686,692,"1,465",-773,0,0,0,50,0,50
,Motor Gasoline Blending Components,,,411,76,335,"4,207",465,"3,742",275,"5,720","-5,445",0,0,0,"1,368",0,"1,368"
,,Reformulated,,0,26,-26,"2,720",0,"2,720",26,"4,088","-4,062",0,0,0,"1,368",0,"1,368"
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,0,26,-26,"2,720",0,"2,720",26,"4,088","-4,062",0,0,0,"1,368",0,"1,368"
,,Conventional,,411,50,361,"1,487",465,"1,022",249,"1,632","-1,383",0,0,0,0,0,0
,,,CBOB for Blending with Alcohol,0,0,0,514,0,514,0,514,-514,0,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Other,411,50,361,973,465,508,249,"1,118",-869,0,0,0,0,0,0
,Finished Motor Gasoline,,,"50,059","6,453","43,606","16,904","1,647","15,257",925,"60,772","-59,847",546,"1,595","-1,049","2,033",0,"2,033"
,,Reformulated,,"6,835",0,"6,835",389,382,7,382,"7,224","-6,842",0,0,0,0,0,0
,,,Reformulated Blended with Ether,"6,835",0,"6,835",389,382,7,382,"7,224","-6,842",0,0,0,0,0,0
,,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,"43,224","6,453","36,771","16,515","1,265","15,250",543,"53,548","-53,005",546,"1,595","-1,049","2,033",0,"2,033"
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,"43,224","6,453","36,771","16,515","1,265","15,250",543,"53,548","-53,005",546,"1,595","-1,049","2,033",0,"2,033"
,Finished Aviation Gasoline,,,36,60,-24,32,0,32,60,85,-25,0,0,0,17,0,17
,Kerosene-Type Jet Fuel,,,"16,309",565,"15,744","4,673",110,"4,563",0,"20,688","-20,688",214,42,172,209,0,209
,Kerosene,,,66,39,27,78,0,78,0,66,-66,0,39,-39,0,0,0
,Distillate Fuel Oil,,,"25,860","3,426","22,434","11,823","1,025","10,798",606,"34,024","-33,418",341,585,-244,430,0,430
,,15 ppm sulfur and Under,,264,0,264,124,0,124,0,388,-388,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,"16,871","2,794","14,077","9,495",798,"8,697",503,"23,488","-22,985",341,543,-202,413,0,413
,,Greater than 500 ppm sulfur,,"8,725",632,"8,093","2,204",227,"1,977",103,"10,148","-10,045",0,42,-42,17,0,17
,Residual Fuel Oil,,,"1,984",0,"1,984",0,136,-136,136,"1,984","-1,848",0,0,0,0,0,0
,Petrochemical Feedstocks,,,97,40,57,184,43,141,34,232,-198,0,0,0,0,0,0
,,Naphtha for Petrochemical Feedstock Use,,97,0,97,9,43,-34,34,97,-63,0,0,0,0,0,0
,,Other Oils for Petrochemical Feedstock Use,,0,40,-40,175,0,175,0,135,-135,0,0,0,0,0,0
,Special Naphthas,,,14,0,14,62,0,62,0,76,-76,0,0,0,0,0,0
,Lubricants,,,585,18,567,523,103,420,160,"1,090",-930,0,0,0,0,57,-57
,Waxes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Asphalt and Road Oil,,,483,0,483,355,269,86,215,784,-569,0,0,0,0,0,0
,Miscellaneous Products,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,,,"101,596","11,070","90,526","108,984","12,837","96,147","11,497","194,554","-183,057","2,634","10,300","-7,666","4,107",57,"4,050"
