"Table 37.  Imports of Crude Oil and Petroleum Products into the United States by Country of Origin, December 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oilsa,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,,,,Petrochemical Feedstocks,,Waxes,"Petrol-
eum
 Coke",Asphalt and Road Oil,"Lubri-
cants",Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,Less than  0.31 % sulfur,0.31 to 1.00     % sulfur,Greater than 1.00 % sulfur,Total,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,Cameroon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,40,0,1,1
,Canada,,"58,882",81,"6,600",768,"3,704",528,"4,232",504,754,"1,258",11,0,0,25,"1,794","1,699",353,"3,871",89,2,0,257,396,2,237,885,"1,124",48,24,44,22,403,34,8,"19,338","78,220","1,899",624,"2,523"
,Chad,,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,010",319,89,"1,418",0,0,0,0,0,0,0,"1,418","2,372",31,46,77
,China,,703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,146,0,308,0,0,55,0,0,0,0,363,"1,066",23,12,34
,Colombia,,"4,190",0,0,0,0,0,0,0,182,182,0,0,0,0,0,0,0,0,0,0,0,0,0,48,280,235,563,0,0,0,0,0,0,0,745,"4,935",135,24,159
,Congo (Brazzaville),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,115,0,145,0,0,0,0,0,0,0,145,145,0,5,5
,Denmark,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,22,22,0,1,1
,Ecuador,,"10,544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,544",340,0,340
,Egypt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Equatorial Guinea,,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,20,0,20
