"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","IA","AVTCP"," 366"," 225"," 328"," 315"," 358"," 358"," 471"," 370"," 295"," 271"," 256"," 261"," 239"," 98"," 232"," 191"," 206"," 204"," 214"," 191"," 184"," 161"," 111"," 109"," 89"," 83"," 151"," 110"," 145"," 111"," 99"," 82"," 75"," 70"," 69"," 72"," 71"," 78"," 72"," 81"," 78"," 57"," 109"," 95"," 87"," 139"," 52"," 45"," 77"," 92"," 70"," 66"," 58"," 48"," 50"
"2014F","IA","AVTXB"," 1846"," 1134"," 1656"," 1592"," 1807"," 1807"," 2376"," 1869"," 1489"," 1367"," 1290"," 1316"," 1206"," 494"," 1170"," 965"," 1039"," 1032"," 1079"," 962"," 927"," 815"," 563"," 553"," 448"," 419"," 764"," 554"," 734"," 560"," 501"," 415"," 378"," 352"," 349"," 362"," 361"," 395"," 365"," 406"," 396"," 289"," 549"," 480"," 437"," 699"," 261"," 226"," 388"," 465"," 353"," 331"," 294"," 243"," 252"
"2014F","IA","AVTXP"," 366"," 225"," 328"," 315"," 358"," 358"," 471"," 370"," 295"," 271"," 256"," 261"," 239"," 98"," 232"," 191"," 206"," 204"," 214"," 191"," 184"," 161"," 111"," 109"," 89"," 83"," 151"," 110"," 145"," 111"," 99"," 82"," 75"," 70"," 69"," 72"," 71"," 78"," 72"," 81"," 78"," 57"," 109"," 95"," 87"," 139"," 52"," 45"," 77"," 92"," 70"," 66"," 58"," 48"," 50"
"2014F","IA","BMTCB"," 6404"," 6163"," 5749"," 5460"," 5579"," 5462"," 5963"," 5834"," 6353"," 6204"," 6264"," 6557"," 6925"," 7276"," 7672"," 7887"," 8495"," 8952"," 9649"," 9652"," 48728"," 53916"," 57308"," 62415"," 65969"," 65590"," 90023"," 97542"," 104283"," 70577"," 64850"," 66649"," 69783"," 73113"," 74190"," 73847"," 78822"," 71580"," 69391"," 71068"," 66147"," 62556"," 65814"," 75183"," 90645"," 97929"," 109477"," 138446"," 163166"," 205639"," 239261"," 231401"," 216577"," 227495"," 241138"
"2014F","IA","CLACB"," 884"," 218"," 196"," 197"," 191"," 187"," 165"," 119"," 99"," 73"," 68"," 41"," 35"," 25"," 15"," 5"," 3"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","IA","CLACP"," 38"," 9"," 8"," 8"," 8"," 8"," 7"," 5"," 4"," 3"," 3"," 2"," 2"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","IA","CLCCB"," 7956"," 6709"," 7052"," 5971"," 4300"," 4465"," 4003"," 3001"," 2166"," 2072"," 1604"," 1234"," 861"," 965"," 1537"," 1775"," 808"," 1130"," 3761"," 5422"," 1438"," 3368"," 3068"," 3441"," 3645"," 4643"," 4151"," 5365"," 6213"," 3169"," 4703"," 4401"," 1245"," 1351"," 813"," 1904"," 4791"," 7836"," 6067"," 8895"," 6064"," 5926"," 6658"," 6058"," 3729"," 5942"," 6465"," 6797"," 5942"," 6106"," 6127"," 5691"," 4910"," 4798"," 4778"
"2014F","IA","CLCCP"," 373"," 315"," 331"," 281"," 202"," 211"," 189"," 143"," 103"," 99"," 78"," 61"," 43"," 48"," 77"," 97"," 43"," 52"," 189"," 254"," 71"," 163"," 149"," 159"," 174"," 217"," 196"," 260"," 300"," 139"," 196"," 183"," 52"," 58"," 34"," 78"," 195"," 333"," 249"," 343"," 232"," 248"," 275"," 252"," 159"," 252"," 276"," 290"," 257"," 265"," 266"," 247"," 213"," 210"," 209"
"2014F","IA","CLEIB"," 43982"," 39703"," 47718"," 48826"," 50548"," 58567"," 60359"," 64212"," 69402"," 78700"," 84184"," 90575"," 108993"," 112611"," 97192"," 100610"," 135645"," 151874"," 166718"," 176608"," 200222"," 215949"," 208972"," 218014"," 214736"," 227302"," 221276"," 237898"," 256454"," 259700"," 275971"," 284610"," 274853"," 292152"," 292975"," 312199"," 312526"," 317944"," 358071"," 358475"," 378195"," 378201"," 375438"," 377382"," 379887"," 364184"," 367263"," 396784"," 421796"," 385860"," 421662"," 387119"," 354097"," 333281"," 337689"
"2014F","IA","CLEIP"," 2118"," 1902"," 2286"," 2329"," 2368"," 2760"," 2841"," 2977"," 3233"," 3714"," 4030"," 4316"," 5277"," 5351"," 4720"," 4936"," 6697"," 7593"," 8454"," 9347"," 10745"," 11808"," 11435"," 11921"," 11966"," 12491"," 12044"," 12997"," 13921"," 14598"," 15482"," 16010"," 15508"," 16763"," 16684"," 17877"," 17994"," 18322"," 20163"," 20206"," 21317"," 21305"," 21504"," 21680"," 21873"," 21072"," 21236"," 23019"," 24734"," 22607"," 24780"," 22677"," 20747"," 19517"," 19705"
