"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","OH","AVTCP"," 1395"," 1366"," 2133"," 2158"," 2187"," 2125"," 1626"," 1174"," 1070"," 833"," 712"," 682"," 628"," 625"," 593"," 491"," 468"," 467"," 455"," 442"," 473"," 408"," 393"," 397"," 322"," 330"," 375"," 239"," 331"," 250"," 239"," 214"," 224"," 207"," 186"," 235"," 345"," 379"," 365"," 244"," 218"," 147"," 141"," 129"," 118"," 109"," 331"," 327"," 189"," 217"," 150"," 140"," 124"," 111"," 106"
"2014F","OH","AVTXB"," 7044"," 6897"," 10768"," 10893"," 11042"," 10729"," 8209"," 5926"," 5399"," 4206"," 3596"," 3445"," 3168"," 3155"," 2992"," 2477"," 2362"," 2355"," 2294"," 2232"," 2388"," 2059"," 1982"," 2005"," 1627"," 1666"," 1895"," 1206"," 1672"," 1264"," 1205"," 1080"," 1129"," 1044"," 937"," 1184"," 1740"," 1912"," 1843"," 1232"," 1098"," 743"," 711"," 651"," 596"," 552"," 1670"," 1653"," 954"," 1094"," 756"," 709"," 628"," 560"," 536"
"2014F","OH","AVTXP"," 1395"," 1366"," 2133"," 2158"," 2187"," 2125"," 1626"," 1174"," 1070"," 833"," 712"," 682"," 628"," 625"," 593"," 491"," 468"," 467"," 455"," 442"," 473"," 408"," 393"," 397"," 322"," 330"," 375"," 239"," 331"," 250"," 239"," 214"," 224"," 207"," 186"," 235"," 345"," 379"," 365"," 244"," 218"," 147"," 141"," 129"," 118"," 109"," 331"," 327"," 189"," 217"," 150"," 140"," 124"," 111"," 106"
"2014F","OH","BMTCB"," 36755"," 36193"," 36803"," 38085"," 37909"," 38609"," 41431"," 39563"," 43378"," 44378"," 44071"," 43427"," 44848"," 46520"," 48306"," 46222"," 52757"," 58522"," 69583"," 74611"," 107311"," 112965"," 114254"," 130696"," 126712"," 129504"," 118013"," 123048"," 129565"," 110418"," 77705"," 83295"," 81062"," 63582"," 91752"," 84854"," 81257"," 81058"," 81012"," 88351"," 92101"," 62108"," 49036"," 57056"," 57861"," 66229"," 67419"," 75717"," 107917"," 104313"," 110645"," 115650"," 115615"," 126808"," 129920"
"2014F","OH","CLACB"," 10997"," 2602"," 2427"," 2281"," 2347"," 2144"," 2098"," 1578"," 1461"," 1159"," 1104"," 734"," 583"," 393"," 294"," 82"," 40"," 32"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OH","CLACP"," 444"," 105"," 98"," 92"," 95"," 87"," 86"," 65"," 60"," 48"," 48"," 32"," 26"," 17"," 13"," 4"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","OH","CLCCB"," 33385"," 28050"," 30933"," 24902"," 22320"," 23006"," 23874"," 20953"," 18955"," 16782"," 16322"," 16075"," 15448"," 16251"," 23310"," 17689"," 19491"," 22599"," 25655"," 17562"," 10193"," 13509"," 14032"," 16880"," 18413"," 15966"," 19432"," 15099"," 13750"," 10304"," 12632"," 9703"," 11753"," 11641"," 10308"," 8692"," 13735"," 6991"," 8787"," 4610"," 4621"," 4933"," 7597"," 4258"," 8758"," 7356"," 2411"," 3073"," 6451"," 5832"," 6019"," 5146"," 3492"," 3883"," 3538"
"2014F","OH","CLCCP"," 1399"," 1176"," 1298"," 1046"," 938"," 969"," 1010"," 890"," 806"," 719"," 712"," 707"," 681"," 716"," 1044"," 792"," 850"," 995"," 1132"," 764"," 439"," 576"," 595"," 711"," 774"," 670"," 810"," 625"," 566"," 431"," 523"," 401"," 482"," 479"," 424"," 356"," 577"," 293"," 348"," 191"," 192"," 205"," 314"," 176"," 410"," 307"," 100"," 127"," 242"," 217"," 226"," 193"," 131"," 146"," 133"
"2014F","OH","CLEIB"," 512453"," 494546"," 524921"," 550292"," 559938"," 587289"," 626823"," 668477"," 732640"," 789008"," 794724"," 850937"," 906906"," 990447"," 979529"," 1037236"," 1085918"," 1100520"," 1083866"," 1158145"," 1110542"," 1100361"," 1057321"," 1037560"," 1058968"," 1103305"," 1138284"," 1131355"," 1163175"," 1199548"," 1161356"," 1184815"," 1204959"," 1239272"," 1197948"," 1206929"," 1289315"," 1258183"," 1300461"," 1245875"," 1312458"," 1243257"," 1301658"," 1343783"," 1287907"," 1372996"," 1337193"," 1349855"," 1322187"," 1170171"," 1230391"," 1102740"," 881112"," 963447"," 917014"
"2014F","OH","CLEIP"," 21559"," 20784"," 22106"," 23143"," 23684"," 24923"," 26806"," 28646"," 31414"," 34112"," 35321"," 38424"," 40171"," 43631"," 44751"," 47321"," 49349"," 50507"," 49656"," 52075"," 48537"," 48460"," 45759"," 44017"," 45025"," 46700"," 47785"," 47520"," 48893"," 50479"," 48848"," 49577"," 50358"," 51456"," 50118"," 49785"," 53543"," 52893"," 54613"," 52228"," 55734"," 53834"," 55917"," 57224"," 54994"," 59607"," 58604"," 59452"," 58953"," 51096"," 53712"," 48140"," 37119"," 40623"," 38417"
