"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"2014F","LA","AVTCP"," 847"," 676"," 987"," 990"," 986"," 1055"," 876"," 737"," 672"," 548"," 447"," 454"," 416"," 368"," 367"," 295"," 261"," 277"," 219"," 243"," 255"," 379"," 255"," 224"," 187"," 171"," 166"," 132"," 122"," 115"," 108"," 93"," 87"," 219"," 132"," 87"," 81"," 98"," 78"," 87"," 84"," 286"," 62"," 102"," 55"," 60"," 60"," 25"," 67"," 62"," 88"," 96"," 100"," 89"," 66"
"2014F","LA","AVTXB"," 4277"," 3412"," 4980"," 4996"," 4977"," 5327"," 4423"," 3719"," 3395"," 2768"," 2256"," 2289"," 2100"," 1859"," 1851"," 1487"," 1317"," 1400"," 1107"," 1228"," 1287"," 1911"," 1286"," 1131"," 945"," 865"," 837"," 666"," 615"," 581"," 547"," 467"," 440"," 1106"," 666"," 441"," 407"," 494"," 394"," 440"," 423"," 1444"," 313"," 513"," 278"," 302"," 304"," 127"," 336"," 312"," 446"," 485"," 503"," 449"," 334"
"2014F","LA","AVTXP"," 847"," 676"," 987"," 990"," 986"," 1055"," 876"," 737"," 672"," 548"," 447"," 454"," 416"," 368"," 367"," 295"," 261"," 277"," 219"," 243"," 255"," 379"," 255"," 224"," 187"," 171"," 166"," 132"," 122"," 115"," 108"," 93"," 87"," 219"," 132"," 87"," 81"," 98"," 78"," 87"," 84"," 286"," 62"," 102"," 55"," 60"," 60"," 25"," 67"," 62"," 88"," 96"," 100"," 89"," 66"
"2014F","LA","BMTCB"," 38992"," 37174"," 36785"," 39147"," 39291"," 38299"," 39754"," 37685"," 40791"," 40698"," 41620"," 41912"," 44819"," 45748"," 44928"," 42358"," 45170"," 46692"," 47825"," 44717"," 64707"," 68263"," 69667"," 74654"," 78816"," 79343"," 102343"," 102199"," 104615"," 129643"," 118502"," 121049"," 124568"," 125335"," 137993"," 142091"," 142258"," 138717"," 136243"," 139727"," 136411"," 127962"," 134385"," 142784"," 177812"," 142401"," 141479"," 141127"," 101609"," 104230"," 112227"," 113514"," 113460"," 125789"," 144404"
"2014F","LA","CLACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","LA","CLACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","LA","CLCCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 68"," 0"," 53"," 0"," 185"," 0"," 0"," 0"," 1"," 0"," 0"," 2"," 0"," 20"," 0"," 109"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","LA","CLCCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 2"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2014F","LA","CLEIB"," 0"," 1"," 0"," 2"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 17434"," 56797"," 99620"," 109974"," 148104"," 165589"," 163668"," 201543"," 193453"," 192908"," 203967"," 212455"," 212646"," 219436"," 209047"," 203304"," 224402"," 224250"," 226756"," 251874"," 238009"," 230806"," 244839"," 254657"," 251917"," 263446"," 248067"," 260727"," 252178"," 259225"," 268694"," 236527"," 225754"," 207043"
"2014F","LA","CLEIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1077"," 3398"," 5840"," 6463"," 8760"," 10196"," 10029"," 12301"," 11770"," 11748"," 12406"," 13077"," 13089"," 13479"," 12930"," 12450"," 13807"," 13850"," 13916"," 15680"," 14854"," 14623"," 15462"," 15975"," 15790"," 16337"," 15453"," 16337"," 15722"," 16218"," 16713"," 14746"," 13787"," 12632"
