"Table 58.  Net Movements of Crude Oil and Petroleum Products by Pipeline, Tanker, and ",,,,,,,,,,,,,,,,,,
,,,"      Barge Between PAD Districts, September 2005",,,,,,,,,,,,,,,
,,,       (Thousand Barrels),,,,,,,,,,,,,,,
Commodity,,,, PAD District 1,,,PAD District 2,,,PAD District 3,,,PAD District 4,,,PAD District 5,,
,,,,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts,Receipts,Shipments,Net Receipts
Crude Oil,,,,678,421,257,"60,425","3,621","56,804","2,604","56,325","-53,721","1,342","4,682","-3,340",0,0,0
Petroleum Products,,,,"82,845","9,875","72,970","42,181","8,019","34,162","9,989","116,515","-106,526","2,084","6,415","-4,331","4,039",314,"3,725"
,Pentanes Plus,,,0,0,0,876,85,791,507,778,-271,0,520,-520,0,0,0
,Liquefied Petroleum Gases,,,"2,645",0,"2,645","4,543","3,935",608,"6,974","5,995",979,30,"4,262","-4,232",0,0,0
,,Ethane/Ethylene,,0,0,0,962,"2,291","-1,329","4,412",751,"3,661",0,"2,332","-2,332",0,0,0
,,Propane/Propylene,,"2,638",0,"2,638","2,474","1,238","1,236","1,631","4,298","-2,667",29,"1,236","-1,207",0,0,0
,,Normal Butane/Butylene,,7,0,7,563,278,285,604,456,148,1,441,-440,0,0,0
,,Isobutane/Isobutylene,,0,0,0,544,128,416,327,490,-163,0,253,-253,0,0,0
,Unfinished Oils,,,18,44,-26,739,190,549,172,810,-638,0,0,0,115,0,115
,Motor Gasoline Blending Components,,,373,110,263,"2,979",87,"2,892",436,"3,859","-3,423",0,0,0,532,264,268
,,Reformulated,,248,0,248,"1,899",0,"1,899",264,"2,479","-2,215",0,0,0,332,264,68
,,,GTAB,0,0,0,0,0,0,264,0,264,0,0,0,0,264,-264
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,248,0,248,"1,899",0,"1,899",0,"2,479","-2,479",0,0,0,332,0,332
,,Conventional,,125,110,15,"1,080",87,993,172,"1,380","-1,208",0,0,0,200,0,200
,,,CBOB for Blending with Alcohol,0,0,0,362,0,362,0,362,-362,0,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Other,125,110,15,718,87,631,172,"1,018",-846,0,0,0,200,0,200
,Finished Motor Gasoline,,,"44,557","6,284","38,273","17,066","2,005","15,061",886,"57,398","-56,512","1,348","1,125",223,"2,955",0,"2,955"
,,Reformulated,,"5,931",35,"5,896",380,345,35,345,"7,752","-7,407",0,0,0,"1,476",0,"1,476"
,,,Reformulated Blended with Ether,"5,931",35,"5,896",380,345,35,345,"7,752","-7,407",0,0,0,"1,476",0,"1,476"
,,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,"38,626","6,249","32,377","16,686","1,660","15,026",541,"49,646","-49,105","1,348","1,125",223,"1,479",0,"1,479"
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,"38,626","6,249","32,377","16,686","1,660","15,026",541,"49,646","-49,105","1,348","1,125",223,"1,479",0,"1,479"
,Finished Aviation Gasoline,,,64,0,64,37,0,37,0,101,-101,0,0,0,0,0,0
,Kerosene-Type Jet Fuel,,,"12,180",520,"11,660","3,971",64,"3,907",0,"15,920","-15,920",276,70,206,147,0,147
,Kerosene,,,23,0,23,0,23,-23,0,0,0,0,0,0,0,0,0
,Distillate Fuel Oil,,,"20,221","2,857","17,364","10,715",840,"9,875",506,"28,006","-27,500",430,438,-8,269,0,269
,,15 ppm sulfur and Under,,0,0,0,156,0,156,0,156,-156,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,"14,187","2,291","11,896","8,131",669,"7,462",424,"20,043","-19,619",430,438,-8,269,0,269
,,Greater than 500 ppm sulfur,,"6,034",566,"5,468","2,428",171,"2,257",82,"7,807","-7,725",0,0,0,0,0,0
,Residual Fuel Oil,,,"1,285",0,"1,285",55,221,-166,221,"1,340","-1,119",0,0,0,0,0,0
,Petrochemical Feedstocks,,,99,60,39,84,59,25,40,104,-64,0,0,0,0,0,0
,,Naphtha for Petrochemical Feedstock Use,,69,0,69,15,59,-44,40,65,-25,0,0,0,0,0,0
,,Other Oils for Petrochemical Feedstock Use,,30,60,-30,69,0,69,0,39,-39,0,0,0,0,0,0
,Special Naphthas,,,7,0,7,30,0,30,0,37,-37,0,0,0,0,0,0
,Lubricants,,,536,0,536,520,58,462,99,"1,068",-969,0,0,0,21,50,-29
,Waxes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Asphalt and Road Oil,,,835,0,835,560,452,108,148,"1,091",-943,0,0,0,0,0,0
,Miscellaneous Products,,,2,0,2,6,0,6,0,8,-8,0,0,0,0,0,0
Total,,,,"83,523","10,296","73,227","102,606","11,640","90,966","12,593","172,840","-160,247","3,426","11,097","-7,671","4,039",314,"3,725"
