"Table 56.  Movements of Crude Oil and Petroleum Products by Pipeline Between PAD Districts, September 2005",,,,,,,,,,,,,,,,,
,,,      (Thousand Barrels),,,,,,,,,,,,,,
Commodity,,,,From 1 to,,From 2 to,,,From 3 to,,From 3 to,, From 4 to,,,From 5 to,
,,,,2,3,1,3,4,1,2,4,5,2,3,5,3,4
Crude Oil,,,,0,421,202,"1,828","1,342",227,"56,098",0,0,"4,327",355,0,0,0
Petroleum Products,,,,"9,489",0,469,"4,656",908,"64,201","25,711","1,176","2,619","1,741","3,922",752,0,0
,Pentanes Plus,,,0,0,0,85,0,0,778,0,0,98,422,0,0,0
,Liquefied Petroleum Gases,,,0,0,461,"3,474",0,"2,091","3,761",30,0,762,"3,500",0,0,0
,Motor Gasoline Blending Components,,,25,0,0,0,0,222,"2,545",0,0,0,0,0,0,0
,,Reformulated,,0,0,0,0,0,222,"1,728",0,0,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Ether,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,RBOB for Blending with Alcohol,0,0,0,0,0,222,"1,728",0,0,0,0,0,0,0
,,Conventional,,25,0,0,0,0,0,817,0,0,0,0,0,0,0
,,,CBOB for Blending with Alcohol,0,0,0,0,0,0,362,0,0,0,0,0,0,0
,,,GTAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Other,25,0,0,0,0,0,455,0,0,0,0,0,0,0
,Finished Motor Gasoline,,,"6,215",0,0,836,707,"35,009","9,250",641,"2,356",526,0,599,0,0
,,Reformulated,,35,0,0,345,0,"5,931",345,0,"1,476",0,0,0,0,0
,,,Reformulated Blended with Ether,35,0,0,345,0,"5,931",345,0,"1,476",0,0,0,0,0
,,,Reformulated Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Reformulated (Non-Oxygenated),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Conventional,,"6,180",0,0,491,707,"29,078","8,905",641,880,526,0,599,0,0
,,,Conventional Blended with Alcohol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,Conventional Other,"6,180",0,0,491,707,"29,078","8,905",641,880,526,0,599,0,0
,Finished Aviation Gasoline,,,0,0,0,0,0,0,31,0,0,0,0,0,0,0
,Kerosene-Type Jet Fuel,,,475,0,8,0,56,"10,215","3,131",220,137,60,0,10,0,0
,Kerosene,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Distillate Fuel Oil,,,"2,774",0,0,261,145,"16,664","6,215",285,126,295,0,143,0,0
,,15 ppm sulfur and Under,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Greater than 15 ppm to 500 ppm sulfur,,"2,227",0,0,179,145,"11,136","5,365",285,126,295,0,143,0,0
,,Greater than 500 ppm sulfur,,547,0,0,82,0,"5,528",850,0,0,0,0,0,0,0
,Residual Fuel Oil,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Miscellaneous Products,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,,,"9,489",421,671,"6,484","2,250","64,428","81,809","1,176","2,619","6,068","4,277",752,0,0
