"Table 50.  Year-to-Date Exports of Crude Oil and Petroleum Products by Destination, January-September 2005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination,,,Crude Oila,,Liquefied Petroleum Gases,Unfinished Oils,Finished Motor Gasoline,,,Motor Gasoline Blend. Comp.,,,Oxygenates,,,Distillate Fuel Oil,,,,,Kerosene,Finished Aviation Gasoline,Aviation Gasoline Blend. Comp.,Kerosene-Type Jet Fuel,Special Naphthas,Residual Fuel Oil,Petrochemical Feedstocks,,Waxes,"Petroleum
 Coke",Asphalt and Road Oil,Lubricants,Misc. Products,Total Products,Total Crude Oil and Products,Daily Average,,
,,,,Pentanes Plus,,,Reformulated,Conventional,Total,Reform-ulated ,Conven-tional,Total,Fuel Ethanol (FE),Methyl Tertiary Butyl Ether (MTBE),Other Oxygen-ates,15 ppm sulfur and under,Greater than 15 ppm to 500 ppm sulfur,501 to 2000 ppm,Greater than 2000 ppm,Total,,,,,,,Naphtha,Other Oils,,,,,,,,Crude Oil,Products,Total
,Honduras,,0,0,388,0,21,834,855,0,851,851,0,0,0,0,11,512,0,522,0,0,0,307,7,"1,101",0,0,0,122,0,57,0,"4,211","4,211",0,15,15
,Hong Kong,,0,0,0,0,0,0,0,0,3,3,0,0,6,0,1,0,0,1,0,0,0,0,0,924,0,0,10,0,5,25,1,975,975,0,4,4
,India,,0,0,94,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,369,0,0,6,"2,081",13,234,1,"2,803","2,803",0,10,10
,Indonesia,,0,0,116,0,0,1,1,0,1,1,0,0,84,0,0,0,0,0,0,0,0,0,0,164,0,0,1,87,2,59,0,515,515,0,2,2
,Ireland,,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,"1,360",0,1,4,"1,390","1,390",0,5,5
,Israel,,0,0,0,0,73,0,73,0,421,421,0,0,65,0,1,0,0,1,0,0,0,333,0,6,0,0,0,"1,265",0,19,"1,127","3,309","3,309",0,12,12
,Italy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,404,0,0,0,2,0,1,0,0,2,"7,310",2,154,0,"7,875","7,875",0,29,29
,Jamaica,,0,0,0,0,0,0,0,0,1,1,0,54,0,0,318,247,0,565,0,0,0,0,0,"6,974",0,0,0,171,4,39,4,"7,813","7,813",0,29,29
,Japan,,0,0,5,0,2,3,5,0,5,5,0,5,604,0,73,0,0,73,0,0,0,0,260,485,0,0,15,"12,442",11,127,8,"14,045","14,045",0,51,51
,"Korea, South",,0,0,119,0,0,13,14,0,2,2,0,0,47,0,0,0,0,0,324,0,0,2,943,"1,836",0,0,4,525,20,99,2,"3,936","3,936",0,14,14
,Lebanon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,952,0,6,0,966,966,0,4,4
,Mexico,,1,0,"7,778",0,"1,660","29,473","31,134",0,"1,615","1,615",0,"3,181",180,0,"1,714","5,344",0,"7,058",5,0,0,0,"3,331","8,210",0,0,436,"8,208",470,"3,384",512,"75,503","75,504",0,277,277
,Morocco,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,206",0,0,0,"2,206","2,206",0,8,8
,Mozambique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,194,194,0,1,1
