Table 51. Stocks of Crude Oil and Petroleum Products by PAD District,
July 2004
(Thousand Barrels)               
--------------------------------------------------------------------------------
                                  Petroleum Administration for Defense Districts
                                 -----------------------------------------------
  Commodity                                               I        II       III
  Refinery                                                                                                                                                                                                                                                                                                                                                                                                      
  Naphthas and Lighter                                 2,203     4,034    12,157                                                                                                                                                                                                                                                                                                                                
  Kerosene and Light Gas Oils                          2,257     2,115     6,788                                                                                                                                                                                                                                                                                                                                
  Heavy Gas Oils                                       2,850     4,579    18,028                                                                                                                                                                                                                                                                                                                                
  Residuum                                             2,130     2,936     7,318                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Motor Gasoline Blending Components                    15,462    14,490    18,807                                                                                                                                                                                                                                                                                                                                
  Refinery                                             5,286     7,171    13,274                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        8,498     3,762     4,438                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             1,678     3,557     1,095                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Aviation Gasoline Blending Components                    181         5         7                                                                                                                                                                                                                                                                                                                                
  Refinery                                               181         5         7                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Finished Motor Gasoline                               44,421    38,760    43,918                                                                                                                                                                                                                                                                                                                                
  Refinery                                             4,910     5,214    14,630                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                       26,139    17,762    10,708                                                                                                                                                                                                                                                                                                                                
  Pipeline                                            13,372    15,784    18,580                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Reformulated                                        12,524       580     9,038                                                                                                                                                                                                                                                                                                                                
  Refinery                                             2,582         0     2,521                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        7,758       447     2,956                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             2,184       133     3,561                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Oxygenated                                               0         0         0                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0         0                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
  Other                                               31,897    38,180    34,880                                                                                                                                                                                                                                                                                                                                
  Refinery                                             2,328     5,214    12,109                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                       18,381    17,315     7,752                                                                                                                                                                                                                                                                                                                                
  Pipeline                                            11,188    15,651    15,019                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Finished Aviation Gasoline                                62       466       373                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0       106       321                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                           62       308        52                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0        52         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Naphtha-Type Jet Fuel                                      0         0         0                                                                                                                                                                                                                                                                                                                                
  Refinery                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                            0         0         0                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                 0         0         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Kerosene-Type Jet Fuel                                10,826     7,052    13,922                                                                                                                                                                                                                                                                                                                                
  Refinery                                             1,051     1,929     5,904                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        3,674     2,242     2,221                                                                                                                                                                                                                                                                                                                                
  Pipeline                                             6,101     2,881     5,797                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Kerosene                                               1,665       620       825                                                                                                                                                                                                                                                                                                                                
  Refinery                                               136       309       625                                                                                                                                                                                                                                                                                                                                
  Bulk Terminal                                        1,500       287       200                                                                                                                                                                                                                                                                                                                                
  Pipeline                                                29        24         0                                                                                                                                                                                                                                                                                                                                
                                                                                                                                                                                                                                                                                                                                                                                                                
Distillate Fuel Oil(e)                                46,178    30,368    31,059                                                                                                                                                                                                                                                                                                                                
  Refinery                                             4,720     7,301    13,425                                                                                                                                                                                                                                                                                                                                
