"Annual dry natural gas production:  U.S. and Russia, 1996-2010",,
trillion cubic feet per year ,,
,Russia,United States
1996,19.8646875,18.854
1997,18.900588,18.902
1998,19.5539155,19.024
1999,19.592762,18.83223
2000,19.3349625,19.182
2001,19.2219545,19.616
2002,19.684581,18.928
2003,20.5074205,19.099
2004,20.991236,18.591
2005,21.224315,18.051
2006,21.7363825,18.504
2007,21.5951225,19.266
2008,21.5147499,20.159
2009,18.8902655,20.624
2010,20.91544203,21.332
