Date,Haynesville mmcf/d,Barnett mmcf/d,Haynesville bcf/d,Barnett bcf/d,,Source: BENTEK Energy LLC
1/25/2011,4725.89505,5351.205495,4.7,5.4,,
1/26/2011,4700.057426,5378.445055,4.7,5.4,,
1/27/2011,5068.461386,5374.559341,5.1,5.4,,
1/28/2011,5103.640594,5360.416484,5.1,5.4,,
1/29/2011,5140.629703,5382.763736,5.1,5.4,,
1/30/2011,5139.378218,5379.394505,5.1,5.4,,
1/31/2011,5148.639604,5310.456044,5.1,5.3,,
2/1/2011,5170.654455,5065.715385,5.2,5.1,,
2/2/2011,5049.340594,4835.997802,5,4.8,,
2/3/2011,5066.971287,4195.594505,5.1,4.2,,
2/4/2011,5021.024752,3671.332967,5,3.7,,
2/5/2011,5111.477228,3605.947253,5.1,3.6,,
2/6/2011,5139.423762,3522.60989,5.1,3.5,,
2/7/2011,5142.849505,4163.486813,5.1,4.2,,
2/8/2011,5051.269307,4873.003297,5.1,4.9,,
2/9/2011,5118.350495,4825.082418,5.1,4.8,,
2/10/2011,5123.249505,4902.536264,5.1,4.9,,
2/11/2011,4971.383168,5135.548352,5,5.1,,
2/12/2011,5270.214851,5203.094505,5.3,5.2,,
2/13/2011,5299.89901,5205.281319,5.3,5.2,,
2/14/2011,5290.682178,5156.693407,5.3,5.2,,
2/15/2011,5325.425743,5155.32967,5.3,5.2,,
2/16/2011,5218.526733,5171.504396,5.2,5.2,,
2/17/2011,5304.887129,5140.116484,5.3,5.1,,
2/18/2011,5360.583168,5134.41978,5.4,5.1,,
2/19/2011,5306.766337,5240.90989,5.3,5.2,,
2/20/2011,5320.238614,5242.172527,5.3,5.2,,
2/21/2011,5340.146535,5242.172527,5.3,5.2,,
2/22/2011,5324.219802,5225.552747,5.3,5.2,,
2/23/2011,5417.129703,5193.227473,5.4,5.2,,
2/24/2011,5388.919802,5246.395604,5.4,5.2,,
2/25/2011,5431.109901,5289.589011,5.4,5.3,,
2/26/2011,5441.250495,5288.110989,5.4,5.3,,
2/27/2011,5473.080198,5289.098901,5.5,5.3,,
2/28/2011,5489.682178,5289.002198,5.5,5.3,,
