Oper Day,Hour Ending,Total demand,Previous record,Dallas temp
8/1/2011,300,38451.79,65776,
8/1/2011,400,37164.31,65776,
8/1/2011,500,36798.51,65776,
8/1/2011,600,37511.03,65776,
8/1/2011,700,38961.95,65776,
8/1/2011,800,39846.78,65776,
8/1/2011,900,42635.72,65776,
8/1/2011,1000,46433.75,65776,
8/1/2011,1100,51076.71,65776,
8/1/2011,1200,55605.06,65776,
8/1/2011,1300,59544.83,65776,
8/1/2011,1400,62970.72,65776,
8/1/2011,1500,65219.02,65776,
8/1/2011,1600,66373.69,65776,
8/1/2011,1700,66867.14,65776,107.1
8/1/2011,1800,66597.3,65776,
8/1/2011,1900,65427.28,65776,
8/1/2011,2000,63351.46,65776,
8/1/2011,2100,61246.33,65776,
8/1/2011,2200,58944.46,65776,
8/1/2011,2300,54472.25,65776,
8/1/2011,2400,49730.18,65776,
8/2/2011,100,45942.45,65776,
8/2/2011,200,43124.46,65776,
8/2/2011,300,40925.94,65776,
8/2/2011,400,39433.2,65776,
8/2/2011,500,38808.95,65776,
8/2/2011,600,39360.92,65776,
8/2/2011,700,40730.24,65776,
8/2/2011,800,41501.29,65776,
8/2/2011,900,44104.01,65776,
8/2/2011,1000,47982.65,65776,
8/2/2011,1100,52634.17,65776,
8/2/2011,1200,57094.91,65776,
8/2/2011,1300,61040.28,65776,
8/2/2011,1400,64474.6,65776,
8/2/2011,1500,66675.35,65776,
8/2/2011,1600,67649.98,65776,
8/2/2011,1700,67928.76,65776,102
8/2/2011,1800,67383.53,65776,
8/2/2011,1900,66114.95,65776,
8/2/2011,2000,63962.83,65776,
8/2/2011,2100,61861.28,65776,
8/2/2011,2200,59715.23,65776,
8/2/2011,2300,55275.77,65776,
8/2/2011,2400,50732.4,65776,
8/3/2011,100,47042.59,65776,
8/3/2011,200,44233.99,65776,
8/3/2011,300,42275.87,65776,
8/3/2011,400,40859.65,65776,
8/3/2011,500,40183.33,65776,
8/3/2011,600,40784.77,65776,
8/3/2011,700,42122.17,65776,
8/3/2011,800,42759.62,65776,
8/3/2011,900,45141.23,65776,
8/3/2011,1000,48914.28,65776,
8/3/2011,1100,53317.81,65776,
8/3/2011,1200,57611.11,65776,
8/3/2011,1300,61429.48,65776,
8/3/2011,1400,64559.12,65776,
8/3/2011,1500,66661.07,65776,
8/3/2011,1600,67759.88,65776,
8/3/2011,1700,68293.97,65776,102.9
8/3/2011,1800,67785.02,65776,
8/3/2011,1900,66464.93,65776,
8/3/2011,2000,64345.92,65776,
8/3/2011,2100,62344.92,65776,
8/3/2011,2200,60049.5,65776,
8/3/2011,2300,55751.68,65776,
8/3/2011,2400,51187.89,65776,
8/4/2011,100,47246.83,65776,
8/4/2011,200,44393.07,65776,
8/4/2011,300,42132.61,65776,
8/4/2011,400,40543.88,65776,
8/4/2011,500,39814.12,65776,
8/4/2011,600,40326.27,65776,
8/4/2011,700,41618.5,65776,
8/4/2011,800,42177.13,65776,
8/4/2011,900,44848.56,65776,
8/4/2011,1000,48740.14,65776,
8/4/2011,1100,53301.44,65776,
8/4/2011,1200,57663.36,65776,
8/4/2011,1300,61303.9,65776,
8/4/2011,1400,64220.6,65776,
8/4/2011,1500,66084.86,65776,
8/4/2011,1600,66848.69,65776,
8/4/2011,1700,66814.98,65776,104
8/4/2011,1800,66150.83,65776,
8/4/2011,1900,65063.18,65776,
8/4/2011,2000,63265.03,65776,
8/4/2011,2100,61300.88,65776,
8/4/2011,2200,59344.08,65776,
8/4/2011,2300,55129.54,65776,
8/4/2011,2400,50625.09,65776,
8/5/2011,100,46733.94,65776,
8/5/2011,200,43800.79,65776,
8/5/2011,300,41725.86,65776,
8/5/2011,400,40301.96,65776,
8/5/2011,500,39798.42,65776,
8/5/2011,600,40285.12,65776,
8/5/2011,700,41358.24,65776,
8/5/2011,800,41958.54,65776,
8/5/2011,900,44592.2,65776,
8/5/2011,1000,48311.28,65776,
8/5/2011,1100,52533.05,65776,
8/5/2011,1200,56584.98,65776,
8/5/2011,1300,60077.61,65776,
8/5/2011,1400,63103.74,65776,
8/5/2011,1500,65059.73,65776,
8/5/2011,1600,66223.38,65776,
8/5/2011,1700,66660.86,65776,108
8/5/2011,1800,66020.38,65776,
8/5/2011,1900,64322.69,65776,
8/5/2011,2000,61897.92,65776,
8/5/2011,2100,59791.13,65776,
8/5/2011,2200,57697.64,65776,
8/5/2011,2300,53820.75,65776,
8/5/2011,2400,49935.55,65776,
