"World dry natural gas consumption by region, 1980-2010 ",,,,
thousand barrels per day ,,,,
,1980,1990,2000,2010
North America,22558.68999,22469.62,27722.54856,29158.24518
Central & South America,1240.94,2023.56,3303.6888,4854.04838
Europe,11193.10849,13360.40242,17394.36793,20637.59159
Former Soviet Union,13328,24961,19461.17831,21005.30903
Middle East,1311,3598.649,6822.1517,13244.9967
Africa,735.02,1351,2038.02865,3553.64251
Asia,2215.31445,5071.18513,9507.9987,19177.21039
Oceania,361.20182,794,1009.30271,1288.67967
