Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
11-Mar,17452.571,12227.867,10333.754,17664.156,14130.083,17664.156,10333.754,7330.402
12-Mar,17129.741,11811.924,11513.035,15808.856,13722.898,17129.741,11513.035,5616.706
13-Mar,16884.468,12720.23,11239.197,15571.556,14550.814,16884.468,11239.197,5645.271
14-Mar,17572.998,12382.093,11359.318,16491.856,14749.735,17572.998,11359.318,6213.68
15-Mar,16869.868,12029.652,12556.05,16039.696,15800.879,16869.868,12029.652,4840.216
16-Mar,16112.458,12800.551,13839.836,16324.995,15219.221,16324.995,12800.551,3524.444
17-Mar,16634.602,14666.922,12939.499,15901.94,14984.569,16634.602,12939.499,3695.103
18-Mar,18556.581,16222.593,12267.968,16091.56,14360.809,18556.581,12267.968,6288.613
19-Mar,18135.482,17522.954,10778.42,15599.55,13982.175,18135.482,10778.42,7357.062
20-Mar,16422.118,17512.091,10710.379,15938.68,16810.837,17512.091,10710.379,6801.712
21-Mar,15638.913,17128.621,10214.003,15887.7,16757.284,17128.621,10214.003,6914.618
22-Mar,15885.762,17812.733,11403.368,16846.961,17670.199,17812.733,11403.368,6409.365
23-Mar,15435.605,18622.226,11346.188,17599.002,17036.904,18622.226,11346.188,7276.038
24-Mar,16216.235,19013.866,13922.172,17500.048,16338.764,19013.866,13922.172,5091.694
25-Mar,16986.351,20132.026,13715.418,17125.554,16133.076,20132.026,13715.418,6416.608
26-Mar,16565.796,18501.413,14106.894,16945.581,16823.972,18501.413,14106.894,4394.519
27-Mar,16324.062,17338.933,14034.02,16989.103,17492.876,17338.933,14034.02,3304.913
28-Mar,17506.433,16689.491,17517.695,17817.19,17291.826,17817.19,16689.491,1127.699
29-Mar,17604.413,16580.422,19815.568,18669.397,18136.426,19815.568,16580.422,3235.146
30-Mar,17362.312,20046.917,19589.215,19607.534,17866.543,20046.917,17362.312,2684.605
31-Mar,18380.548,22057.782,18070.831,19566.267,17814.888,22057.782,18070.831,3986.951
1-Apr,19003.001,21443.452,17093.945,19781.367,17730.908,21443.452,17093.945,4349.507
2-Apr,23325.354,22806.743,16928.44,18744.664,18461.73,23325.354,16928.44,6396.914
3-Apr,23384.066,22532.887,17536.58,18537.074,20972.16,23384.066,17536.58,5847.486
4-Apr,22980.736,21931.459,17856.052,21045.519,23853.62,22980.736,17856.052,5124.684
5-Apr,22150.378,22415.328,20593.179,24053.619,24388.95,24053.619,20593.179,3460.44
6-Apr,21283.085,23940.522,19803.216,24998.749,25086.214,24998.749,19803.216,5195.533
7-Apr,23898.598,25523.554,18296.892,24787.899,25504.057,25523.554,18296.892,7226.662
8-Apr,23867.224,25084.966,19200.625,24374.947,25039.761,25084.966,19200.625,5884.341
9-Apr,24910.724,24264.55,19175.841,24475.727,24977.348,24910.724,19175.841,5734.883
10-Apr,24918.314,24058.584,19521.559,24038.082,25149.815,24918.314,19521.559,5396.755
11-Apr,25675.688,23930.543,19569.329,23789.397,26003.751,25675.688,19569.329,6106.359
12-Apr,25284.901,24069.891,20269.727,23883.684,25323.991,25284.901,20269.727,5015.174
13-Apr,25386.108,25630.142,20229.998,22728.696,24259.066,25630.142,20229.998,5400.144
14-Apr,25785.918,24826.955,21076.062,21598.653,23768.342,25785.918,21076.062,4709.856
