Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
9-Nov,17301.368,18463.488,28018.6,21787.96,,28018.6,17301.368,10717.232
10-Nov,16979.438,18420.611,27193.497,20526.25,,27193.497,16979.438,10214.059
11-Nov,15903.648,17875.948,24883.977,20035.45,,24883.977,15903.648,8980.329
12-Nov,14448.264,16613.647,24295.995,20566.595,,24295.995,14448.264,9847.731
13-Nov,14213.47,17391.148,23490.622,19825.088,,23490.622,14213.47,9277.152
14-Nov,13857.568,17487.318,21805.353,18794.721,,21805.353,13857.568,7947.785
15-Nov,12577.778,14386.488,20550.249,17578.485,,20550.249,12577.778,7972.471
16-Nov,12636.168,14910.168,19873.255,17993.577,,19873.255,12636.168,7237.087
17-Nov,11562.618,15338.928,20354.835,19209.172,,20354.835,11562.618,8792.217
18-Nov,11175.148,13778.233,20359.573,18010.014,,20359.573,11175.148,9184.425
19-Nov,8511.478,13771.248,20612.008,17357.985,,20612.008,8511.478,12100.53
20-Nov,6933.688,13283.543,19476.623,14812.652,,19476.623,6933.688,12542.935
21-Nov,6570.268,14130.538,18338.194,15589.861,,18338.194,6570.268,11767.926
22-Nov,6122.178,12405.028,18317.346,14159.935,,18317.346,6122.178,12195.168
23-Nov,5519.268,12139.603,17991.691,12165.533,,17991.691,5519.268,12472.423
24-Nov,7153.868,11800.577,17116.979,11349.38,,17116.979,7153.868,9963.111
25-Nov,7649.578,10170.953,15934.965,10423.414,,15934.965,7649.578,8285.387
26-Nov,7031.308,10227.458,15192.017,9184.596,,15192.017,7031.308,8160.709
27-Nov,7652.428,8824.003,15351.415,8544.268,,15351.415,7652.428,7698.987
28-Nov,7558.188,8446.023,15164.644,7007.72,,15164.644,7007.72,8156.924
29-Nov,8917.188,8203.291,14435.609,6662.23,,14435.609,6662.23,7773.379
30-Nov,9479.828,8792.079,13759.33,8217.1,,13759.33,8217.1,5542.23
1-Dec,10503.278,8292.608,13510.155,8623.899,,13510.155,8292.608,5217.547
2-Dec,9055.408,7822.76,13005.625,7085.969,,13005.625,7085.969,5919.656
3-Dec,7847.588,7114.605,12772.905,7293.069,,12772.905,7114.605,5658.3
4-Dec,8192.838,6895.733,12025.965,6486.189,,12025.965,6486.189,5539.776
5-Dec,9348.998,6772.061,12889.625,5934.905,,12889.625,5934.905,6954.72
6-Dec,8620.258,7106.641,11222.555,5861.165,,11222.555,5861.165,5361.39
7-Dec,7936.965,8076.116,9859.646,4252.656,,9859.646,4252.656,5606.99
8-Dec,6036.566,7835.696,9560.524,5000.361,,9560.524,5000.361,4560.163
9-Dec,6445.448,5877.176,10767.178,4957.113,,10767.178,4957.113,5810.065
10-Dec,5842.708,5552.112,11338.657,4545.955,,11338.657,4545.955,6792.702
11-Dec,5736.128,5497.095,12315.892,4643.447,,12315.892,4643.447,7672.445
12-Dec,5305.078,5539.065,10377.651,5596.039,,10377.651,5305.078,5072.573
13-Dec,5340.714,6623.349,11734.402,5523.117,,11734.402,5340.714,6393.688
14-Dec,4956.458,9005.909,10134.098,4327.462,,10134.098,4327.462,5806.636
15-Dec,5996.398,5854.952,8418.748,5400.762,,8418.748,5400.762,3017.986
16-Dec,5289.239,6014.407,7580.142,5329.349,,7580.142,5289.239,2290.903
17-Dec,4871.548,5366.967,6510.42,4888.377,,6510.42,4871.548,1638.872
18-Dec,4279.348,4531.486,6768.943,5048.085,,6768.943,4279.348,2489.595
19-Dec,4398.528,4337.486,6228.223,5021.689,,6228.223,4337.486,1890.737
20-Dec,4644.968,4341.986,5967.649,4615.1,,5967.649,4341.986,1625.663
21-Dec,4412.048,5238.185,6931.521,4840.9,,6931.521,4412.048,2519.473
22-Dec,4548.718,6161.815,6182.15,4752.06,,6182.15,4548.718,1633.432
23-Dec,4527.988,5318.218,6386.966,4376.245,,6386.966,4376.245,2010.721
24-Dec,4212.298,4344.083,5963.534,4202.909,,5963.534,4202.909,1760.625
25-Dec,3839.708,2552.506,6756.906,4581.2,,6756.906,2552.506,4204.4
26-Dec,4610.468,2913.144,5502.355,3610.525,,5502.355,2913.144,2589.211
27-Dec,4608.048,2261.993,5134.032,2730.71,,5134.032,2261.993,2872.039
28-Dec,4713.878,2296.655,4645.51,3812.64,,4713.878,2296.655,2417.223
29-Dec,5860.158,4423.479,4484.23,3465.51,,5860.158,3465.51,2394.648
30-Dec,6924.778,3853.824,4290.83,3465.51,,6924.778,3465.51,3459.268
31-Dec,6736.858,3054.048,4603.37,3527.51,,6736.858,3054.048,3682.81
