"Electricity generation, 2010",,,,"SO2 emissions, 2010",,
billion kilowatthours ,,,,million short tons ,,
Coal Type,scrubbed,unscrubbed,,Coal Type,scrubbed,unscrubbed
Bituminous,715.4396157,193.6335031,,Bituminous,0.954930118,1.662948519
Subbituminous,281.2029337,490.8427944,,Subbituminous,0.289812264,1.697480551
Lignite,82.43489573,22.82856462,,Lignite,0.232120812,0.167469122
