,3 mo rolling avg,3 mo rolling avg,3 mo rolling avg
Date,All Other Exports as % of All Other Product Supplied,Finished Motor Gasoline Exports as % of Finished Motor Gasoline Product Supplied,Distillate Exports as % of Distillate Product Supplied
March-00,10.3%,1.3%,4.0%
April-00,11.2%,1.2%,4.6%
May-00,10.5%,1.4%,4.8%
June-00,10.1%,1.3%,4.2%
July-00,9.2%,1.3%,3.8%
August-00,9.1%,1.5%,5.0%
September-00,9.2%,1.9%,5.3%
October-00,10.3%,2.3%,6.3%
November-00,11.5%,2.3%,5.7%
December-00,12.1%,2.3%,4.9%
January-01,12.1%,1.9%,3.2%
February-01,12.6%,1.8%,2.2%
March-01,12.7%,1.6%,1.7%
April-01,12.7%,1.6%,2.1%
May-01,12.4%,1.5%,2.8%
June-01,12.2%,1.4%,3.3%
July-01,11.3%,1.4%,3.5%
August-01,11.3%,1.4%,3.4%
September-01,10.9%,1.4%,3.7%
October-01,11.9%,1.5%,3.4%
November-01,12.1%,1.5%,3.4%
December-01,13.5%,1.8%,3.9%
January-02,13.2%,1.6%,3.9%
February-02,13.4%,1.6%,5.2%
March-02,12.5%,1.2%,4.0%
April-02,12.5%,1.3%,3.7%
May-02,11.9%,1.2%,1.9%
June-02,11.7%,1.3%,2.1%
July-02,11.3%,1.3%,1.9%
August-02,12.2%,1.4%,2.3%
September-02,12.4%,1.4%,2.6%
October-02,13.0%,1.4%,3.0%
November-02,11.9%,1.4%,2.9%
December-02,12.9%,1.7%,3.3%
January-03,14.2%,1.9%,3.3%
February-03,14.5%,2.0%,3.4%
March-03,14.2%,1.6%,3.3%
April-03,13.6%,1.4%,3.5%
May-03,14.0%,1.2%,4.0%
June-03,14.0%,1.2%,3.5%
July-03,13.5%,1.1%,3.3%
August-03,13.1%,1.0%,2.5%
September-03,12.9%,1.1%,2.0%
October-03,12.9%,1.4%,1.6%
November-03,12.9%,1.5%,1.6%
December-03,12.3%,1.7%,2.1%
January-04,11.3%,1.4%,2.1%
February-04,11.5%,1.6%,2.0%
March-04,12.1%,1.5%,2.0%
April-04,13.9%,1.6%,2.2%
May-04,13.9%,1.4%,2.4%
June-04,13.4%,1.2%,3.0%
July-04,12.4%,1.1%,3.3%
August-04,12.3%,1.1%,3.4%
September-04,12.5%,1.1%,2.7%
October-04,13.0%,1.2%,2.6%
November-04,12.4%,1.3%,2.4%
December-04,13.0%,1.7%,3.1%
January-05,12.2%,1.8%,2.6%
February-05,14.2%,1.7%,2.6%
March-05,14.8%,1.6%,2.5%
April-05,16.3%,1.5%,3.6%
May-05,15.6%,1.6%,4.5%
June-05,15.9%,1.6%,5.1%
July-05,15.0%,1.7%,5.2%
August-05,14.5%,1.6%,4.9%
September-05,12.2%,1.4%,3.8%
October-05,11.3%,1.2%,3.1%
November-05,10.6%,1.0%,2.5%
December-05,12.0%,1.3%,2.1%
January-06,12.9%,1.4%,2.2%
February-06,14.5%,1.5%,2.7%
March-06,14.8%,1.5%,3.1%
April-06,16.1%,1.5%,3.7%
May-06,15.7%,1.7%,4.4%
June-06,15.8%,1.6%,5.1%
July-06,15.5%,1.7%,5.4%
August-06,15.0%,1.4%,5.0%
September-06,15.1%,1.4%,7.2%
October-06,15.7%,1.4%,7.4%
November-06,16.5%,1.6%,7.9%
December-06,16.2%,1.7%,5.4%
January-07,16.6%,1.6%,5.1%
February-07,16.5%,1.7%,4.6%
March-07,16.9%,1.8%,4.6%
April-07,17.0%,1.8%,4.0%
May-07,17.5%,1.4%,4.4%
June-07,17.4%,1.1%,5.2%
July-07,17.3%,1.0%,5.9%
August-07,16.9%,1.0%,6.6%
September-07,17.3%,1.0%,6.8%
October-07,16.2%,1.1%,6.9%
November-07,17.3%,1.2%,8.0%
December-07,16.9%,1.7%,8.9%
January-08,18.0%,1.8%,9.5%
February-08,19.1%,2.0%,9.1%
March-08,21.6%,1.9%,8.8%
April-08,21.3%,2.2%,9.9%
May-08,20.1%,2.1%,10.9%
June-08,19.6%,2.2%,14.5%
July-08,19.7%,2.3%,17.2%
August-08,19.6%,2.1%,20.8%
September-08,18.8%,1.8%,17.0%
October-08,19.2%,1.4%,13.7%
November-08,19.8%,1.5%,10.8%
December-08,20.0%,1.8%,13.8%
January-09,20.5%,1.9%,15.8%
February-09,20.8%,2.1%,15.8%
March-09,21.8%,1.8%,14.9%
April-09,21.4%,1.7%,16.1%
May-09,22.0%,1.8%,17.7%
June-09,21.6%,2.0%,18.4%
July-09,25.1%,2.4%,17.9%
August-09,25.6%,2.2%,17.6%
September-09,27.4%,2.2%,17.8%
October-09,26.9%,2.1%,16.7%
November-09,27.5%,2.2%,16.2%
December-09,27.3%,2.7%,14.0%
January-10,26.4%,2.7%,12.4%
February-10,27.0%,3.0%,10.4%
March-10,26.8%,3.2%,10.8%
April-10,26.4%,3.5%,13.3%
May-10,26.1%,3.2%,16.9%
June-10,25.9%,2.8%,18.7%
July-10,25.6%,2.7%,19.8%
August-10,25.3%,2.8%,19.0%
September-10,25.2%,2.6%,19.9%
October-10,25.5%,2.6%,20.4%
November-10,25.4%,3.4%,21.1%
December-10,26.7%,4.5%,19.5%
January-11,28.0%,5.1%,18.0%
February-11,29.7%,5.1%,17.0%
March-11,29.7%,4.9%,17.4%
April-11,28.7%,5.0%,19.0%
May-11,27.3%,5.2%,19.9%
