"June 24, 2010, time of day",Actual Demand (GW),Day-Ahead Forecast Demand (GW)
9:25 PM,19.904,
9:30 PM,19.801,20.46
9:35 PM,19.714,
9:40 PM,19.591,
9:45 PM,19.496,
9:50 PM,19.376,
9:55 PM,19.217,
10:00 PM,19.036,
10:05 PM,18.81,
10:10 PM,18.612,
10:15 PM,18.463,
10:20 PM,18.325,
10:25 PM,18.206,
10:30 PM,18.025,18.38
10:35 PM,17.871,
10:40 PM,17.724,
10:45 PM,17.555,
10:50 PM,17.415,
10:55 PM,17.235,
11:00 PM,17.056,
11:05 PM,16.815,
11:10 PM,16.703,
11:15 PM,16.558,
11:20 PM,16.359,
11:25 PM,16.164,
11:30 PM,16.034,16.24
11:35 PM,15.861,
11:40 PM,15.74,
11:45 PM,15.59,
11:50 PM,15.48,
11:55 PM,15.306,
12:00 PM,,
