"State","MSN","2015"
"NH","POTCV",8.60
"NJ","POICB",67697.00
"NJ","POICD",17.55
"NJ","POICP",11222.00
"NJ","POICV",153.20
"NJ","POTCB",67697.00
"NJ","POTCD",17.55
"NJ","POTCP",11222.00
"NJ","POTCV",153.20
"NM","POICB",13469.00
"NM","POICD",20.32
"NM","POICP",2228.00
"NM","POICV",5.50
"NM","POTCB",13469.00
"NM","POTCD",20.32
"NM","POTCP",2228.00
"NM","POTCV",5.50
"NV","POICB",679.00
"NV","POICD",21.52
"NV","POICP",126.00
"NV","POICV",11.10
"NV","POTCB",679.00
"NV","POTCD",21.52
"NV","POTCP",126.00
"NV","POTCV",11.10
"NY","POICB",13209.00
"NY","POICD",8.67
"NY","POICP",2348.00
"NY","POICV",114.50
"NY","POTCB",13209.00
"NY","POTCD",8.67
"NY","POTCP",2348.00
"NY","POTCV",114.50
"OH","POICB",86011.00
"OH","POICD",15.47
"OH","POICP",14596.00
"OH","POICV",365.30
"OH","POTCB",99508.00
"OH","POTCD",10.31
"OH","POTCP",16956.00
"OH","POTCV",382.60
"OK","POICB",54022.00
"OK","POICD",20.23
"OK","POICP",8950.00
"OK","POICV",34.70
"OK","POTCB",54022.00
"OK","POTCD",20.23
"OK","POTCP",8950.00
"OK","POTCV",34.70
"OR","POICB",1686.00
"OR","POICD",21.41
"OR","POICP",315.00
"OR","POICV",36.10
"OR","POTCB",1686.00
"OR","POTCD",21.41
"OR","POTCP",315.00
"OR","POTCV",36.10
"PA","POICB",84460.00
"PA","POICD",16.29
"PA","POICP",14118.00
"PA","POICV",214.90
"PA","POTCB",84460.00
"PA","POTCD",16.29
"PA","POTCP",14118.00
"PA","POTCV",214.90
"RI","POICB",177.00
"RI","POICD",21.52
"RI","POICP",34.00
"RI","POICV",3.80
"RI","POTCB",177.00
"RI","POTCD",21.52
"RI","POTCP",34.00
"RI","POTCV",3.80
"SC","POICB",23386.00
"SC","POICD",8.50
"SC","POICP",4091.00
"SC","POICV",198.80
"SC","POTCB",23386.00
"SC","POTCD",8.50
"SC","POTCP",4091.00
"SC","POTCV",198.80
"SD","POICB",26.00
"SD","POICD",32.88
"SD","POICP",5.00
"SD","POICV",0.80
"SD","POTCB",26.00
"SD","POTCD",32.88
"SD","POTCP",5.00
"SD","POTCV",0.80
"TN","POICB",46348.00
"TN","POICD",16.31
"TN","POICP",7873.00
"TN","POICV",418.20
"TN","POTCB",46348.00
"TN","POTCD",16.31
"TN","POTCP",7873.00
"TN","POTCV",418.20
"TX","POICB",1205990.00
"TX","POICD",12.21
"TX","POICP",216006.00
"TX","POICV",5641.40
"TX","POTCB",1205990.00
"TX","POTCD",12.21
"TX","POTCP",216006.00
"TX","POTCV",5641.40
"US","POICB",3258575.00
"US","POICD",12.47
"US","POICP",563233.00
"US","POICV",13735.00
"US","POTCB",3370812.00
"US","POTCD",11.47
"US","POTCP",582858.00
"US","POTCV",13923.80
"UT","POICB",20633.00
"UT","POICD",21.91
"UT","POICP",3413.00
"UT","POICV",16.10
"UT","POTCB",20633.00
"UT","POTCD",21.91
"UT","POTCP",3413.00
"UT","POTCV",16.10
"VA","POICB",2860.00
"VA","POICD",19.75
"VA","POICP",524.00
"VA","POICV",56.50
"VA","POTCB",2860.00
"VA","POTCD",19.75
"VA","POTCP",524.00
"VA","POTCV",56.50
"VT","POICB",177.00
"VT","POICD",21.52
"VT","POICP",34.00
"VT","POICV",3.80
"VT","POTCB",177.00
"VT","POTCD",21.52
"VT","POTCP",34.00
"VT","POTCV",3.80
"WA","POICB",92680.00
"WA","POICD",3.87
"WA","POICP",15560.00
"WA","POICV",101.70
"WA","POTCB",92680.00
"WA","POTCD",3.87
"WA","POTCP",15560.00
"WA","POTCV",101.70
"WI","POICB",12237.00
"WI","POICD",14.23
"WI","POICP",2150.00
"WI","POICV",118.40
"WI","POTCB",13280.00
"WI","POTCD",12.84
"WI","POTCP",2333.00
"WI","POTCV",120.20
"WV","POICB",4400.00
"WV","POICD",15.53
"WV","POICP",748.00
"WV","POICV",40.10
"WV","POTCB",4400.00
"WV","POTCD",15.53
"WV","POTCP",748.00
"WV","POTCV",40.10
"WY","POICB",20568.00
"WY","POICD",15.53
"WY","POICP",3385.00
"WY","POICV",4.70
"WY","POTCB",20568.00
"WY","POTCD",15.53
"WY","POTCP",3385.00
"WY","POTCV",4.70
