AZ,PATCD,26.7
AZ,PATCP,97437
AZ,PATCV,13753.1
CA,PAACB,2899941
CA,PAACD,27.45
CA,PAACP,545839
CA,PAACV,79608.3
CA,PACCB,29877
CA,PACCD,24.17
CA,PACCP,6010
CA,PACCV,722.1
CA,PAEIB,624
CA,PAEID,12.71
CA,PAEIP,108
CA,PAEIV,7.9
CA,PAICB,422521
CA,PAICD,25.26
CA,PAICP,72741
CA,PAICV,5035.1
CA,PARCB,18616
CA,PARCD,33.76
CA,PARCP,4777
CA,PARCV,628.5
CA,PATCB,3371579
CA,PATCD,27.32
CA,PATCP,629476
CA,PATCV,86002
CO,PAACB,401006
CO,PAACD,26.85
CO,PAACP,76032
CO,PAACV,10768.9
CO,PACCB,7217
CO,PACCD,22.33
CO,PACCP,1453
CO,PACCV,161.2
CO,PAEIB,172
CO,PAEID,19.7
CO,PAEIP,30
CO,PAEIV,3.4
CO,PAICB,63120
CO,PAICD,22.46
CO,PAICP,10763
CO,PAICV,1156.2
CO,PARCB,11515
CO,PARCD,25.95
CO,PARCP,2987
CO,PARCV,298.8
CO,PATCB,483029
CO,PATCD,26.28
CO,PATCP,91265
CO,PATCV,12388.4
CT,PAACB,220225
CT,PAACD,28.82
CT,PAACP,42330
CT,PAACV,6347.8
CT,PACCB,14068
CT,PACCD,25.36
CT,PACCP,2695
CT,PACCV,356.8
CT,PAEIB,4860
CT,PAEID,17.76
CT,PAEIP,785
CT,PAEIV,86.3
CT,PAICB,18273
CT,PAICD,22.82
CT,PAICP,3008
CT,PAICV,416.9
CT,PARCB,64814
CT,PARCD,28.29
CT,PARCP,11800
CT,PARCV,1833.4
CT,PATCB,322240
CT,PATCD,28.06
CT,PATCP,60619
CT,PATCV,9041.1
DC,PAACB,14710
DC,PAACD,29.67
DC,PAACP,2844
DC,PAACV,436.4
DC,PACCB,613
DC,PACCD,23.53
DC,PACCP,107
DC,PACCV,14.4
DC,PAEIB,0
DC,PAEID,0
DC,PAEIP,0
DC,PAEIV,0
DC,PAICB,4604
DC,PAICD,17.19
DC,PAICP,708
DC,PAICV,79.1
DC,PARCB,815
DC,PARCD,28.11
DC,PARCP,142
DC,PARCV,22.9
DC,PATCB,20742
DC,PATCD,26.65
DC,PATCP,3801
DC,PATCV,552.8
DE,PAACB,61533
DE,PAACD,27.44
DE,PAACP,11904
DE,PAACV,1688.7
DE,PACCB,2532
DE,PACCD,22.43
DE,PACCP,539
DE,PACCV,56.8
DE,PAEIB,843
DE,PAEID,19.43
DE,PAEIP,140
DE,PAEIV,16.4
DE,PAICB,29454
DE,PAICD,23.47
DE,PAICP,4898
DE,PAICV,147.6
DE,PARCB,5915
DE,PARCD,30.93
DE,PARCP,1298
DE,PARCV,183
DE,PATCB,100277
DE,PATCD,27.14
DE,PATCP,18780
DE,PATCV,2092.4
FL,PAACB,1475691
FL,PAACD,25.17
FL,PAACP,279895
FL,PAACV,37140.1
FL,PACCB,26121
FL,PACCD,21.78
FL,PACCP,5264
FL,PACCV,568.8
FL,PAEIB,19659
FL,PAEID,6.38
FL,PAEIP,3390
FL,PAEIV,125.4
FL,PAICB,84099
FL,PAICD,23.57
FL,PAICP,14472
FL,PAICV,1982.2
FL,PARCB,5259
FL,PARCD,45.97
FL,PARCP,1359
FL,PARCV,241.8
FL,PATCB,1610828
FL,PATCD,24.87
FL,PATCP,304380
FL,PATCV,40058.3
GA,PAACB,779818
GA,PAACD,25.24
GA,PAACP,148711
GA,PAACV,19682.9
GA,PACCB,12836
GA,PACCD,21.17
GA,PACCP,2513
GA,PACCV,271.7
GA,PAEIB,2047
GA,PAEID,21.98
GA,PAEIP,354
GA,PAEIV,45
GA,PAICB,68591
GA,PAICD,24.36
GA,PAICP,12392
GA,PAICV,1671.2
GA,PARCB,9192
GA,PARCD,30.9
GA,PARCP,2385
GA,PARCV,284
GA,PATCB,872483
GA,PATCD,25.16
GA,PATCP,166354
GA,PATCV,21954.8
HI,PAACB,141345
HI,PAACD,26.51
HI,PAACP,25936
HI,PAACV,3746.4
HI,PACCB,4289
HI,PACCD,23.25
HI,PACCP,951
HI,PACCV,99.7
HI,PAEIB,66983
HI,PAEID,19.89
HI,PAEIP,10822
HI,PAEIV,1332.4
HI,PAICB,23204
HI,PAICD,24.24
HI,PAICP,3806
HI,PAICV,186.8
HI,PARCB,800
HI,PARCD,64
HI,PARCP,209
HI,PARCV,51.2
HI,PATCB,236620
HI,PATCD,24.5
HI,PATCP,41724
HI,PATCV,5416.5
IA,PAACB,295862
IA,PAACD,27.24
IA,PAACP,55852
IA,PAACV,8059.8
IA,PACCB,18709
IA,PACCD,24.6
IA,PACCP,3709
IA,PACCV,460.2
IA,PAEIB,734
IA,PAEID,21.66
IA,PAEIP,127
IA,PAEIV,15.9
IA,PAICB,106829
IA,PAICD,22.92
IA,PAICP,24021
IA,PAICV,2449
IA,PARCB,17593
IA,PARCD,28.31
IA,PARCP,4516
IA,PARCV,498
IA,PATCB,439727
IA,PATCD,26.11
IA,PATCP,88225
IA,PATCV,11482.9
ID,PAACB,131080
ID,PAACD,28.48
ID,PAACP,24753
ID,PAACV,3733.1
ID,PACCB,3588
ID,PACCD,24.62
ID,PACCP,732
ID,PACCV,88.3
ID,PAEIB,1
ID,PAEID,22.73
ID,PAEIP,0
ID,PAEIV,0
ID,PAICB,25095
ID,PAICD,23.36
ID,PAICP,4303
ID,PAICV,586.2
ID,PARCB,4069
ID,PARCD,26.37
ID,PARCP,997
ID,PARCV,107.3
ID,PATCB,163832
ID,PATCD,27.56
ID,PATCP,30784
ID,PATCV,4514.9
IL,PAACB,929206
IL,PAACD,26.5
IL,PAACP,174976
IL,PAACV,24623.3
IL,PACCB,11192
IL,PACCD,23.98
IL,PACCP,2197
IL,PACCV,268.4
IL,PAEIB,968
IL,PAEID,22.36
IL,PAEIP,168
IL,PAEIV,21.6
IL,PAICB,258669
IL,PAICD,25.68
IL,PAICP,48426
IL,PAICV,3799.2
IL,PARCB,20307
IL,PARCD,28.41
IL,PARCP,5243
IL,PARCV,577
IL,PATCB,1220342
IL,PATCD,26.4
IL,PATCP,231009
IL,PATCV,29289.5
IN,PAACB,624385
IN,PAACD,26.28
IN,PAACP,117125
IN,PAACV,16406.9
IN,PACCB,10137
IN,PACCD,24.18
IN,PACCP,2030
IN,PACCV,245.1
IN,PAEIB,12375
IN,PAEID,3.95
IN,PAEIP,2161
IN,PAEIV,48.8
IN,PAICB,127415
IN,PAICD,21.71
IN,PAICP,21970
IN,PAICV,1696.6
IN,PARCB,14888
IN,PARCD,30.4
IN,PARCP,3757
IN,PARCV,452.6
IN,PATCB,789201
IN,PATCD,25.47
IN,PATCP,147043
IN,PATCV,18850.1
KS,PAACB,276564
KS,PAACD,27.27
KS,PAACP,51720
KS,PAACV,7541.4
KS,PACCB,3880
KS,PACCD,23.41
KS,PACCP,821
KS,PACCV,90.8
KS,PAEIB,671
KS,PAEID,20.71
KS,PAEIP,116
KS,PAEIV,13.9
KS,PAICB,78763
KS,PAICD,24.05
KS,PAICP,13300
KS,PAICV,1066
KS,PARCB,8188
KS,PARCD,28.39
KS,PARCP,2133
KS,PARCV,232.5
KS,PATCB,368066
KS,PATCD,26.81
KS,PATCP,68091
KS,PATCV,8944.6
KY,PAACB,441392
KY,PAACD,26.85
KY,PAACP,82791
KY,PAACV,11850.2
KY,PACCB,4633
KY,PACCD,23.24
KY,PACCP,928
KY,PACCV,107.6
KY,PAEIB,12884
KY,PAEID,3.92
KY,PAEIP,2250
KY,PAEIV,50.5
KY,PAICB,129627
KY,PAICD,19.59
KY,PAICP,24856
KY,PAICV,1997.7
KY,PARCB,8739
KY,PARCD,34.65
KY,PARCP,2206
KY,PARCV,302.8
KY,PATCB,597274
KY,PATCD,25.12
KY,PATCP,113031
KY,PATCV,14308.9
LA,PAACB,590932
LA,PAACD,23.85
LA,PAACP,108721
LA,PAACV,14095.8
LA,PACCB,4101
LA,PACCD,22.08
LA,PACCP,794
LA,PACCV,90.5
LA,PAEIB,51459
LA,PAEID,2.13
LA,PAEIP,8997
LA,PAEIV,109.6
LA,PAICB,1403957
LA,PAICD,18.87
LA,PAICP,312247
LA,PAICV,19448.5
LA,PARCB,1991
LA,PARCD,31.04
LA,PARCP,518
LA,PARCV,61.8
LA,PATCB,2052439
LA,PATCD,20.14
LA,PATCP,431277
LA,PATCV,33806.3
MA,PAACB,421428
MA,PAACD,27.55
MA,PAACP,80995
MA,PAACV,11611.1
MA,PACCB,19303
MA,PACCD,24.95
MA,PACCP,3592
MA,PACCV,481.6
MA,PAEIB,9568
MA,PAEID,15.44
MA,PAEIP,1559
MA,PAEIV,147.7
MA,PAICB,28764
MA,PAICD,24.51
MA,PAICP,4795
MA,PAICV,704.9
MA,PARCB,92177
MA,PARCD,28.46
MA,PARCP,16636
MA,PARCV,2623.7
MA,PATCB,571239
MA,PATCD,27.25
MA,PATCP,107576
MA,PATCV,15568.9
MD,PAACB,406987
MD,PAACD,27.89
MD,PAACP,78462
MD,PAACV,11352.2
MD,PACCB,12144
MD,PACCD,25.72
MD,PACCP,2338
MD,PACCV,312.3
MD,PAEIB,5280
MD,PAEID,21.03
MD,PAEIP,893
MD,PAEIV,111
MD,PAICB,33270
MD,PAICD,24.06
MD,PAICP,5705
MD,PAICV,800.6
MD,PARCB,26806
MD,PARCD,31.54
MD,PARCP,5329
MD,PARCV,845.4
MD,PATCB,484489
MD,PATCD,27.7
MD,PATCP,92728
MD,PATCV,13421.6
ME,PAACB,128256
ME,PAACD,28.06
ME,PAACP,24462
ME,PAACV,3598.4
ME,PACCB,17131
ME,PACCD,25.41
ME,PACCP,3523
ME,PACCV,435.3
ME,PAEIB,3116
ME,PAEID,17.32
ME,PAEIP,496
ME,PAEIV,54
ME,PAICB,12229
ME,PAICD,22.18
ME,PAICP,2023
ME,PAICV,271.3
ME,PARCB,33633
ME,PARCD,29.37
ME,PARCP,6372
ME,PARCV,987.8
ME,PATCB,194366
ME,PATCD,27.51
ME,PATCP,36875
ME,PATCV,5346.6
MI,PAACB,702091
MI,PAACD,26.98
MI,PAACP,134739
MI,PAACV,18943.2
MI,PACCB,26639
MI,PACCD,25.39
MI,PACCP,5312
MI,PACCV,676.3
MI,PAEIB,12257
MI,PAEID,3.98
MI,PAEIP,2139
MI,PAEIV,48.8
MI,PAICB,88233
MI,PAICD,24.85
MI,PAICP,15284
MI,PAICV,1857.7
MI,PARCB,41540
MI,PARCD,28.27
MI,PARCP,10458
MI,PARCV,1174.3
MI,PATCB,870759
MI,PATCD,26.48
MI,PATCP,167932
MI,PATCV,22700.3
MN,PAACB,435747
MN,PAACD,27.37
MN,PAACP,82792
MN,PAACV,11927
MN,PACCB,14402
MN,PACCD,23.95
MN,PACCP,2915
MN,PACCV,345
MN,PAEIB,673
MN,PAEID,22.14
MN,PAEIP,117
MN,PAEIV,14.9
MN,PAICB,129550
MN,PAICD,22.95
MN,PAICP,23127
MN,PAICV,2103.8
MN,PARCB,27390
MN,PARCD,28.39
MN,PARCP,6681
MN,PARCV,777.7
MN,PATCB,607762
MN,PATCD,26.62
MN,PATCP,115633
MN,PATCV,15168.4
MO,PAACB,545846
MO,PAACD,26.46
MO,PAACP,103731
MO,PAACV,14441.4
MO,PACCB,9242
MO,PACCD,22.78
MO,PACCP,1986
MO,PACCV,210.5
MO,PAEIB,1116
MO,PAEID,20.51
MO,PAEIP,193
MO,PAEIV,22.9
MO,PAICB,63150
MO,PAICD,20.88
MO,PAICP,11281
MO,PAICV,1318.3
MO,PARCB,16365
MO,PARCD,27.87
MO,PARCP,4241
MO,PARCV,456.1
MO,PATCB,635718
MO,PATCD,25.87
MO,PATCP,121433
MO,PATCV,16449.2
MS,PAACB,357227
MS,PAACD,24.92
MS,PAACP,66933
MS,PAACV,8901.1
MS,PACCB,6297
MS,PACCD,22.74
MS,PACCP,1277
MS,PACCV,143.2
MS,PAEIB,175
MS,PAEID,20.4
MS,PAEIP,30
MS,PAEIV,3.6
MS,PAICB,69980
MS,PAICD,23.64
MS,PAICP,11933
MS,PAICV,816.8
MS,PARCB,6414
MS,PARCD,32.17
MS,PARCP,1669
MS,PARCV,206.3
MS,PATCB,440093
MS,PATCD,24.89
MS,PATCP,81842
MS,PATCV,10071
MT,PAACB,108848
MT,PAACD,28.32
MT,PAACP,20350
MT,PAACV,3082.1
MT,PACCB,2013
MT,PACCD,21.38
MT,PACCP,475
MT,PACCV,43
MT,PAEIB,7169
MT,PAEID,2.73
MT,PAEIP,1253
MT,PAEIV,19.5
MT,PAICB,47872
MT,PAICD,20.4
MT,PAICP,7927
MT,PAICV,530.9
MT,PARCB,6928
MT,PARCD,25.14
MT,PARCP,1774
MT,PARCV,174.2
MT,PATCB,172831
MT,PATCD,25.5
MT,PATCP,31779
MT,PATCV,3849.7
NC,PAACB,710964
NC,PAACD,27.09
NC,PAACP,135796
NC,PAACV,19263.1
NC,PACCB,22424
NC,PACCD,22.59
NC,PACCP,4764
NC,PACCV,506.6
NC,PAEIB,5074
NC,PAEID,22.1
NC,PAEIP,879
NC,PAEIV,112.1
NC,PAICB,70315
NC,PAICD,24.29
NC,PAICP,12849
NC,PAICV,1707.8
NC,PARCB,23578
NC,PARCD,31.62
NC,PARCP,5638
NC,PARCV,745.5
NC,PATCB,832355
NC,PATCD,26.83
NC,PATCP,159926
NC,PATCV,22335
ND,PAACB,130094
ND,PAACD,27.76
ND,PAACP,23941
ND,PAACV,3610.8
ND,PACCB,8988
ND,PACCD,22.76
ND,PACCP,1725
ND,PACCV,204.6
ND,PAEIB,300
ND,PAEID,21.2
ND,PAEIP,52
ND,PAEIV,6.4
ND,PAICB,96043
ND,PAICD,22.34
ND,PAICP,16619
ND,PAICV,1927.8
ND,PARCB,6978
ND,PARCD,27.95
ND,PARCP,1740
ND,PARCV,195.1
ND,PATCB,242403
ND,PATCD,25.55
ND,PATCP,44077
ND,PATCV,5944.6
NE,PAACB,194343
NE,PAACD,27.71
NE,PAACP,36248
NE,PAACV,5385.1
NE,PACCB,2932
NE,PACCD,23.37
NE,PACCP,576
NE,PACCV,68.5
NE,PAEIB,569
NE,PAEID,21.92
NE,PAEIP,99
NE,PAEIV,12.5
NE,PAICB,38014
NE,PAICD,22.68
NE,PAICP,6803
NE,PAICV,862.2
NE,PARCB,6697
NE,PARCD,28.2
NE,PARCP,1736
NE,PARCV,188.9
NE,PATCB,242555
NE,PATCD,26.87
NE,PATCP,45462
NE,PATCV,6517.2
NH,PAACB,100191
NH,PAACD,27.77
NH,PAACP,19418
NH,PAACV,2781.9
NH,PACCB,12948
NH,PACCD,24.99
NH,PACCP,2819
NH,PACCV,323.6
NH,PAEIB,2564
NH,PAEID,18.59
NH,PAEIP,427
NH,PAEIV,47.7
NH,PAICB,9562
NH,PAICD,21.75
NH,PAICP,1627
NH,PAICV,208
NH,PARCB,32461
NH,PARCD,29.78
NH,PARCP,6668
NH,PARCV,966.8
NH,PATCB,157727
NH,PATCD,27.44
NH,PATCP,30959
NH,PATCV,4327.8
NJ,PAACB,852454
NJ,PAACD,24.89
NJ,PAACP,160133
NJ,PAACV,21219.6
NJ,PACCB,14813
NJ,PACCD,24.18
NJ,PACCP,2705
NJ,PACCV,358.2
NJ,PAEIB,1717
NJ,PAEID,23.37
NJ,PAEIP,296
NJ,PAEIV,40.1
NJ,PAICB,102921
NJ,PAICD,31.02
NJ,PAICP,17195
NJ,PAICV,1412.1
NJ,PARCB,33652
NJ,PARCD,29.93
NJ,PARCP,6257
NJ,PARCV,1007.3
NJ,PATCB,1005558
NJ,PATCD,25.35
NJ,PATCP,186585
NJ,PATCV,24037.3
NM,PAACB,198937
NM,PAACD,26.93
NM,PAACP,37296
NM,PAACV,5357.5
NM,PACCB,3177
NM,PACCD,22.57
NM,PACCP,673
NM,PACCV,71.7
NM,PAEIB,712
NM,PAEID,23.84
NM,PAEIP,123
NM,PAEIV,17
NM,PAICB,39055
NM,PAICD,22.43
NM,PAICP,6573
NM,PAICV,585.6
NM,PARCB,4627
NM,PARCD,30.15
NM,PARCP,1206
NM,PARCV,139.5
NM,PATCB,246508
NM,PATCD,26.42
NM,PATCP,45870
NM,PATCV,6171.3
NV,PAACB,201273
NV,PAACD,27.2
NV,PAACP,38192
NV,PAACV,5474.2
NV,PACCB,2725
NV,PACCD,23.88
NV,PACCP,559
NV,PACCV,65.1
NV,PAEIB,167
NV,PAEID,23.43
NV,PAEIP,29
NV,PAEIV,3.9
NV,PAICB,31333
NV,PAICD,22.23
NV,PAICP,5374
NV,PAICV,693.1
NV,PARCB,2013
NV,PARCD,34.95
NV,PARCP,512
NV,PARCV,70.3
NV,PATCB,237511
NV,PATCD,26.57
NV,PATCP,44665
NV,PATCV,6306.6
NY,PAACB,1036636
NY,PAACD,26.4
NY,PAACP,195448
NY,PAACV,27363
NY,PACCB,61766
NY,PACCD,21.65
NY,PACCP,11212
NY,PACCV,1337.5
NY,PAEIB,18816
NY,PAEID,17.2
NY,PAEIP,3061
NY,PAEIV,323.7
NY,PAICB,83946
