"State","MSN","2014"
"IL","WDRCP",806.00
"IL","WDRCV",62.30
"IL","WWCCB",1908.00
"IL","WWCCD",12.24
"IL","WWCCV",7.40
"IL","WWEIB",8148.00
"IL","WWEID",2.70
"IL","WWEIV",22.00
"IL","WWICB",4135.00
"IL","WWICD",2.23
"IL","WWICV",1.60
"IL","WWTCB",30304.00
"IL","WWTCD",6.41
"IL","WWTCV",93.40
"IN","WDRCB",13945.00
"IN","WDRCD",12.24
"IN","WDRCP",697.00
"IN","WDRCV",54.00
"IN","WWCCB",4647.00
"IN","WWCCD",3.10
"IN","WWCCV",10.90
"IN","WWEIB",3746.00
"IN","WWEID",0.65
"IN","WWEIV",2.40
"IN","WWICB",10340.00
"IN","WWICD",2.02
"IN","WWICV",4.30
"IN","WWTCB",32678.00
"IN","WWTCD",5.19
"IN","WWTCV",71.60
"KS","WDRCB",5197.00
"KS","WDRCD",12.24
"KS","WDRCP",260.00
"KS","WDRCV",20.10
"KS","WWCCB",615.00
"KS","WWCCD",12.24
"KS","WWCCV",2.40
"KS","WWEIB",774.00
"KS","WWEID",2.70
"KS","WWEIV",2.10
"KS","WWICB",1847.00
"KS","WWICD",1.54
"KS","WWICV",2.70
"KS","WWTCB",8433.00
"KS","WWTCD",6.23
"KS","WWTCV",27.30
"KY","WDRCB",16132.00
"KY","WDRCD",12.12
"KY","WDRCP",807.00
"KY","WDRCV",76.40
"KY","WWCCB",1910.00
"KY","WWCCD",12.12
"KY","WWCCV",9.10
"KY","WWEIB",1148.00
"KY","WWEID",0.48
"KY","WWEIV",0.60
"KY","WWICB",18266.00
"KY","WWICD",3.22
"KY","WWICV",48.50
"KY","WWTCB",37456.00
"KY","WWTCD",5.78
"KY","WWTCV",134.50
"LA","WDRCB",2713.00
"LA","WDRCD",12.12
"LA","WDRCP",136.00
"LA","WDRCV",12.90
"LA","WWCCB",321.00
"LA","WWCCD",12.12
"LA","WWCCV",1.50
"LA","WWEIB",1397.00
"LA","WWEID",2.70
"LA","WWEIV",3.80
"LA","WWICB",124556.00
"LA","WWICD",3.16
"LA","WWICV",357.70
"LA","WWTCB",128987.00
"LA","WWTCD",3.25
"LA","WWTCV",375.80
"MA","WDRCB",11744.00
"MA","WDRCD",9.71
"MA","WDRCP",587.00
"MA","WDRCV",69.10
"MA","WWCCB",1399.00
"MA","WWCCD",9.63
"MA","WWCCV",8.20
"MA","WWEIB",20832.00
"MA","WWEID",2.70
"MA","WWEIV",56.30
"MA","WWICB",4419.00
"MA","WWICD",2.15
"MA","WWICV",2.80
"MA","WWTCB",38394.00
"MA","WWTCD",4.53
"MA","WWTCV",136.40
"MD","WDRCB",11488.00
"MD","WDRCD",12.12
"MD","WDRCP",574.00
"MD","WDRCV",54.40
"MD","WWCCB",2953.00
"MD","WWCCD",4.97
"MD","WWCCV",10.60
"MD","WWEIB",7862.00
"MD","WWEID",2.70
"MD","WWEIV",21.20
"MD","WWICB",8205.00
"MD","WWICD",3.23
"MD","WWICV",23.80
"MD","WWTCB",30508.00
"MD","WWTCD",5.04
"MD","WWTCV",110.00
"ME","WDRCB",16446.00
"ME","WDRCD",9.71
"ME","WDRCP",822.00
"ME","WDRCV",96.80
"ME","WWCCB",3620.00
"ME","WWCCD",4.93
"ME","WWCCV",14.10
"ME","WWEIB",28062.00
"ME","WWEID",2.70
"ME","WWEIV",75.80
"ME","WWICB",57817.00
"ME","WWICD",3.22
"ME","WWICV",166.60
"ME","WWTCB",105945.00
"ME","WWTCD",3.82
"ME","WWTCV",353.30
"MI","WDRCB",21473.00
"MI","WDRCD",12.24
"MI","WDRCP",1074.00
"MI","WDRCV",83.10
"MI","WWCCB",7427.00
"MI","WWCCD",3.04
"MI","WWCCV",17.30
"MI","WWEIB",24726.00
"MI","WWEID",2.70
"MI","WWEIV",66.80
"MI","WWICB",43044.00
"MI","WWICD",3.04
"MI","WWICV",93.90
"MI","WWTCB",96670.00
"MI","WWTCD",3.83
"MI","WWTCV",261.10
"MN","WDRCB",16129.00
"MN","WDRCD",12.24
"MN","WDRCP",806.00
"MN","WDRCV",62.40
"MN","WWCCB",5104.00
"MN","WWCCD",4.36
"MN","WWCCV",16.60
"MN","WWEIB",22132.00
"MN","WWEID",1.99
"MN","WWEIV",43.90
"MN","WWICB",31992.00
"MN","WWICD",3.18
"MN","WWICV",80.80
"MN","WWTCB",75357.00
"MN","WWTCD",3.61
"MN","WWTCV",203.70
"MO","WDRCB",30063.00
"MO","WDRCD",12.24
"MO","WDRCP",1503.00
"MO","WDRCV",116.30
"MO","WWCCB",4381.00
"MO","WWCCD",8.46
"MO","WWCCV",16.50
"MO","WWEIB",898.00
"MO","WWEID",1.13
"MO","WWEIV",1.00
"MO","WWICB",1819.00
"MO","WWICD",2.02
"MO","WWICV",0.80
"MO","WWTCB",37161.00
"MO","WWTCD",10.57
"MO","WWTCV",134.60
"MS","WDRCB",6343.00
"MS","WDRCD",12.12
"MS","WDRCP",317.00
"MS","WDRCV",30.10
"MS","WWCCB",751.00
"MS","WWCCD",12.12
"MS","WWCCV",3.60
"MS","WWEIB",135.00
"MS","WWEID",2.70
"MS","WWEIV",0.40
"MS","WWICB",50348.00
"MS","WWICD",3.24
"MS","WWICV",151.90
"MS","WWTCB",57577.00
"MS","WWTCD",3.73
"MS","WWTCV",185.80
"MT","WDRCB",3660.00
"MT","WDRCD",16.31
"MT","WDRCP",183.00
"MT","WDRCV",25.10
"MT","WWCCB",433.00
"MT","WWCCD",16.31
"MT","WWCCV",3.00
"MT","WWEIB",0.00
"MT","WWEID",0.00
"MT","WWEIV",0.00
"MT","WWICB",1243.00
"MT","WWICD",2.45
"MT","WWICV",2.50
"MT","WWTCB",5337.00
"MT","WWTCD",11.10
"MT","WWTCV",30.70
"NC","WDRCB",19357.00
"NC","WDRCD",12.12
"NC","WDRCP",968.00
"NC","WDRCV",91.70
"NC","WWCCB",2975.00
"NC","WWCCD",7.53
"NC","WWCCV",11.90
"NC","WWEIB",20045.00
"NC","WWEID",2.70
"NC","WWEIV",54.20
"NC","WWICB",69642.00
"NC","WWICD",3.22
"NC","WWICV",198.50
"NC","WWTCB",112019.00
"NC","WWTCD",3.92
"NC","WWTCV",356.30
"ND","WDRCB",530.00
"ND","WDRCD",12.24
"ND","WDRCP",27.00
"ND","WDRCV",2.10
"ND","WWCCB",63.00
"ND","WWCCD",12.24
"ND","WWCCV",0.20
"ND","WWEIB",0.00
"ND","WWEID",0.00
"ND","WWEIV",0.00
"ND","WWICB",2115.00
"ND","WWICD",1.63
"ND","WWICV",2.00
"ND","WWTCB",2707.00
"ND","WWTCD",3.01
"ND","WWTCV",4.30
"NE","WDRCB",2981.00
"NE","WDRCD",12.24
"NE","WDRCP",149.00
"NE","WDRCV",11.50
"NE","WWCCB",541.00
"NE","WWCCD",5.51
"NE","WWCCV",1.60
"NE","WWEIB",642.00
"NE","WWEID",2.70
"NE","WWEIV",1.70
"NE","WWICB",367.00
"NE","WWICD",1.84
"NE","WWICV",0.30
"NE","WWTCB",4531.00
"NE","WWTCD",7.43
"NE","WWTCV",15.20
"NH","WDRCB",9502.00
"NH","WDRCD",9.71
"NH","WDRCP",475.00
"NH","WDRCV",55.90
"NH","WWCCB",1612.00
"NH","WWCCD",6.30
"NH","WWCCV",7.40
"NH","WWEIB",22854.00
"NH","WWEID",3.90
"NH","WWEIV",89.20
"NH","WWICB",3304.00
"NH","WWICD",1.62
"NH","WWICV",3.70
"NH","WWTCB",37273.00
"NH","WWTCD",4.87
"NH","WWTCV",156.30
"NJ","WDRCB",12618.00
"NJ","WDRCD",9.71
"NJ","WDRCP",631.00
"NJ","WDRCV",74.30
"NJ","WWCCB",4382.00
"NJ","WWCCD",3.47
"NJ","WWCCV",13.20
"NJ","WWEIB",13448.00
"NJ","WWEID",2.70
"NJ","WWEIV",36.30
"NJ","WWICB",1835.00
"NJ","WWICD",2.36
"NJ","WWICV",1.00
"NJ","WWTCB",32283.00
"NJ","WWTCD",4.93
"NJ","WWTCV",124.80
"NM","WDRCB",7948.00
"NM","WDRCD",16.31
"NM","WDRCP",397.00
"NM","WDRCV",54.60
"NM","WWCCB",941.00
"NM","WWCCD",16.31
"NM","WWCCV",6.50
"NM","WWEIB",322.00
"NM","WWEID",2.70
"NM","WWEIV",0.90
"NM","WWICB",102.00
"NM","WWICD",2.11
"NM","WWICV",0.10
"NM","WWTCB",9313.00
"NM","WWTCD",15.14
"NM","WWTCV",62.00
"NV","WDRCB",2075.00
"NV","WDRCD",16.31
"NV","WDRCP",104.00
"NV","WDRCV",14.20
"NV","WWCCB",246.00
"NV","WWCCD",16.31
"NV","WWCCV",1.70
"NV","WWEIB",270.00
"NV","WWEID",2.70
"NV","WWEIV",0.70
"NV","WWICB",85.00
"NV","WWICD",2.41
"NV","WWICV",0.10
"NV","WWTCB",2675.00
"NV","WWTCD",13.00
"NV","WWTCV",16.80
"NY","WDRCB",22261.00
"NY","WDRCD",9.71
"NY","WDRCP",1113.00
"NY","WDRCV",131.00
"NY","WWCCB",7477.00
"NY","WWCCD",3.55
"NY","WWCCV",22.80
"NY","WWEIB",32302.00
"NY","WWEID",2.70
"NY","WWEIV",87.30
"NY","WWICB",17969.00
"NY","WWICD",2.66
"NY","WWICV",29.30
"NY","WWTCB",80009.00
"NY","WWTCD",4.28
"NY","WWTCV",270.50
"OH","WDRCB",24433.00
"OH","WDRCD",12.24
"OH","WDRCP",1222.00
"OH","WDRCV",94.50
"OH","WWCCB",2998.00
"OH","WWCCD",11.14
"OH","WWCCV",11.40
"OH","WWEIB",6560.00
"OH","WWEID",2.70
"OH","WWEIV",17.70
"OH","WWICB",25202.00
"OH","WWICD",2.66
"OH","WWICV",47.40
"OH","WWTCB",59193.00
"OH","WWTCD",5.16
"OH","WWTCV",171.00
"OK","WDRCB",6333.00
"OK","WDRCD",12.12
"OK","WDRCP",317.00
"OK","WDRCV",30.00
"OK","WWCCB",750.00
"OK","WWCCD",12.12
"OK","WWCCV",3.60
"OK","WWEIB",194.00
"OK","WWEID",2.70
"OK","WWEIV",0.50
"OK","WWICB",21471.00
"OK","WWICD",2.68
"OK","WWICV",47.40
"OK","WWTCB",28748.00
"OK","WWTCD",3.94
"OK","WWTCV",81.50
"OR","WDRCB",18313.00
"OR","WDRCD",16.31
"OR","WDRCP",916.00
"OR","WDRCV",125.70
"OR","WWCCB",2422.00
"OR","WWCCD",13.09
"OR","WWCCV",15.30
"OR","WWEIB",7719.00
"OR","WWEID",2.70
"OR","WWEIV",20.90
"OR","WWICB",30907.00
"OR","WWICD",3.16
"OR","WWICV",81.20
"OR","WWTCB",59361.00
"OR","WWTCD",5.75
"OR","WWTCV",243.10
"PA","WDRCB",27740.00
"PA","WDRCD",9.71
"PA","WDRCP",1387.00
"PA","WDRCV",163.30
"PA","WWCCB",5782.00
"PA","WWCCD",5.15
"PA","WWCCV",23.10
"PA","WWEIB",26929.00
"PA","WWEID",2.70
"PA","WWEIV",72.80
"PA","WWICB",42790.00
"PA","WWICD",2.65
"PA","WWICV",74.70
"PA","WWTCB",103241.00
"PA","WWTCD",4.37
"PA","WWTCV",333.90
"RI","WDRCB",1611.00
"RI","WDRCD",9.71
"RI","WDRCP",81.00
"RI","WDRCV",9.50
"RI","WWCCB",191.00
"RI","WWCCD",9.71
