"State","MSN","2015"
"IL","KSICP",6.00
"IL","KSICV",0.60
"IL","KSRCB",63.00
"IL","KSRCD",17.01
"IL","KSRCP",11.00
"IL","KSRCV",1.10
"IL","KSTCB",119.00
"IL","KSTCD",17.06
"IL","KSTCP",21.00
"IL","KSTCV",2.00
"IN","KSCCB",70.00
"IN","KSCCD",17.13
"IN","KSCCP",12.00
"IN","KSCCV",1.20
"IN","KSICB",56.00
"IN","KSICD",17.31
"IN","KSICP",10.00
"IN","KSICV",1.00
"IN","KSRCB",162.00
"IN","KSRCD",17.13
"IN","KSRCP",29.00
"IN","KSRCV",2.80
"IN","KSTCB",288.00
"IN","KSTCD",17.17
"IN","KSTCP",51.00
"IN","KSTCV",4.90
"KS","KSCCB",2.00
"KS","KSCCD",17.00
"KS","KSCCP",0.00
"KS","KSCCV",0.00
"KS","KSICB",9.00
"KS","KSICD",15.10
"KS","KSICP",2.00
"KS","KSICV",0.10
"KS","KSRCB",2.00
"KS","KSRCD",17.00
"KS","KSRCP",0.00
"KS","KSRCV",0.00
"KS","KSTCB",13.00
"KS","KSTCD",15.67
"KS","KSTCP",2.00
"KS","KSTCV",0.20
"KY","KSCCB",32.00
"KY","KSCCD",16.97
"KY","KSCCP",6.00
"KY","KSCCV",0.50
"KY","KSICB",39.00
"KY","KSICD",17.15
"KY","KSICP",7.00
"KY","KSICV",0.70
"KY","KSRCB",150.00
"KY","KSRCD",16.97
"KY","KSRCP",26.00
"KY","KSRCV",2.50
"KY","KSTCB",221.00
"KY","KSTCD",17.00
"KY","KSTCP",39.00
"KY","KSTCV",3.80
"LA","KSCCB",6.00
"LA","KSCCD",16.65
"LA","KSCCP",1.00
"LA","KSCCV",0.10
"LA","KSICB",30.00
"LA","KSICD",12.24
"LA","KSICP",5.00
"LA","KSICV",0.40
"LA","KSRCB",2.00
"LA","KSRCD",16.65
"LA","KSRCP",0.00
"LA","KSRCV",0.00
"LA","KSTCB",38.00
"LA","KSTCD",13.13
"LA","KSTCP",7.00
"LA","KSTCV",0.50
"MA","KSCCB",73.00
"MA","KSCCD",17.01
"MA","KSCCP",13.00
"MA","KSCCV",1.20
"MA","KSICB",9.00
"MA","KSICD",15.70
"MA","KSICP",2.00
"MA","KSICV",0.10
"MA","KSRCB",251.00
"MA","KSRCD",17.01
"MA","KSRCP",44.00
"MA","KSRCV",4.30
"MA","KSTCB",332.00
"MA","KSTCD",16.98
"MA","KSTCP",59.00
"MA","KSTCV",5.60
"MD","KSCCB",50.00
"MD","KSCCD",16.97
"MD","KSCCP",9.00
"MD","KSCCV",0.80
"MD","KSICB",7.00
"MD","KSICD",14.69
"MD","KSICP",1.00
"MD","KSICV",0.10
"MD","KSRCB",253.00
"MD","KSRCD",16.97
"MD","KSRCP",45.00
"MD","KSRCV",4.30
"MD","KSTCB",310.00
