"State","MSN","2015"
"AK","AVACB",317.00
"AK","AVACD",24.86
"AK","AVACP",63.00
"AK","AVACV",7.90
"AK","AVTCB",317.00
"AK","AVTCD",24.86
"AK","AVTCP",63.00
"AK","AVTCV",7.90
"AL","AVACB",292.00
"AL","AVACD",24.86
"AL","AVACP",58.00
"AL","AVACV",7.30
"AL","AVTCB",292.00
"AL","AVTCD",24.86
"AL","AVTCP",58.00
"AL","AVTCV",7.30
"AR","AVACB",236.00
"AR","AVACD",24.86
"AR","AVACP",47.00
"AR","AVACV",5.90
"AR","AVTCB",236.00
"AR","AVTCD",24.86
"AR","AVTCP",47.00
"AR","AVTCV",5.90
"AZ","AVACB",972.00
"AZ","AVACD",24.86
"AZ","AVACP",193.00
"AZ","AVACV",24.20
"AZ","AVTCB",972.00
"AZ","AVTCD",24.86
"AZ","AVTCP",193.00
"AZ","AVTCV",24.20
"CA","AVACB",3585.00
"CA","AVACD",24.86
"CA","AVACP",710.00
"CA","AVACV",89.10
"CA","AVTCB",3585.00
"CA","AVTCD",24.86
"CA","AVTCP",710.00
"CA","AVTCV",89.10
"CO","AVACB",449.00
"CO","AVACD",24.86
"CO","AVACP",89.00
"CO","AVACV",11.20
"CO","AVTCB",449.00
"CO","AVTCD",24.86
"CO","AVTCP",89.00
"CO","AVTCV",11.20
"CT","AVACB",117.00
"CT","AVACD",24.86
"CT","AVACP",23.00
"CT","AVACV",2.90
"CT","AVTCB",117.00
"CT","AVTCD",24.86
"CT","AVTCP",23.00
"CT","AVTCV",2.90
"DC","AVACB",263.00
"DC","AVACD",24.86
"DC","AVACP",52.00
"DC","AVACV",6.50
"DC","AVTCB",263.00
"DC","AVTCD",24.86
"DC","AVTCP",52.00
"DC","AVTCV",6.50
"DE","AVACB",44.00
"DE","AVACD",24.86
"DE","AVACP",9.00
"DE","AVACV",1.10
"DE","AVTCB",44.00
"DE","AVTCD",24.86
"DE","AVTCP",9.00
"DE","AVTCV",1.10
"FL","AVACB",2006.00
"FL","AVACD",24.86
"FL","AVACP",397.00
"FL","AVACV",49.90
"FL","AVTCB",2006.00
"FL","AVTCD",24.86
"FL","AVTCP",397.00
"FL","AVTCV",49.90
"GA","AVACB",513.00
"GA","AVACD",24.86
"GA","AVACP",102.00
"GA","AVACV",12.80
"GA","AVTCB",513.00
"GA","AVTCD",24.86
"GA","AVTCP",102.00
"GA","AVTCV",12.80
"HI","AVACB",45.00
"HI","AVACD",24.86
"HI","AVACP",9.00
"HI","AVACV",1.10
"HI","AVTCB",45.00
"HI","AVTCD",24.86
"HI","AVTCP",9.00
"HI","AVTCV",1.10
"IA","AVACB",252.00
"IA","AVACD",24.86
"IA","AVACP",50.00
"IA","AVACV",6.30
"IA","AVTCB",252.00
"IA","AVTCD",24.86
"IA","AVTCP",50.00
"IA","AVTCV",6.30
"ID","AVACB",240.00
"ID","AVACD",24.86
"ID","AVACP",48.00
"ID","AVACV",6.00
"ID","AVTCB",240.00
"ID","AVTCD",24.86
"ID","AVTCP",48.00
"ID","AVTCV",6.00
"IL","AVACB",488.00
"IL","AVACD",24.86
"IL","AVACP",97.00
"IL","AVACV",12.10
"IL","AVTCB",488.00
"IL","AVTCD",24.86
"IL","AVTCP",97.00
"IL","AVTCV",12.10
"IN","AVACB",345.00
"IN","AVACD",24.86
"IN","AVACP",68.00
"IN","AVACV",8.60
"IN","AVTCB",345.00
"IN","AVTCD",24.86
"IN","AVTCP",68.00
"IN","AVTCV",8.60
"KS","AVACB",303.00
"KS","AVACD",24.86
"KS","AVACP",60.00
"KS","AVACV",7.50
"KS","AVTCB",303.00
"KS","AVTCD",24.86
"KS","AVTCP",60.00
"KS","AVTCV",7.50
"KY","AVACB",156.00
"KY","AVACD",24.86
"KY","AVACP",31.00
"KY","AVACV",3.90
"KY","AVTCB",156.00
"KY","AVTCD",24.86
"KY","AVTCP",31.00
"KY","AVTCV",3.90
"LA","AVACB",305.00
"LA","AVACD",24.86
"LA","AVACP",60.00
"LA","AVACV",7.60
"LA","AVTCB",305.00
"LA","AVTCD",24.86
"LA","AVTCP",60.00
