"State","MSN","2015"
"MA","LUICP",325.00
"MA","LUICV",132.70
"MA","LUTCB",4395.00
"MA","LUTCD",67.28
"MA","LUTCP",725.00
"MA","LUTCV",295.70
"MD","LUACB",1621.00
"MD","LUACD",67.28
"MD","LUACP",267.00
"MD","LUACV",109.10
"MD","LUICB",2164.00
"MD","LUICD",67.28
"MD","LUICP",357.00
"MD","LUICV",145.60
"MD","LUTCB",3785.00
"MD","LUTCD",67.28
"MD","LUTCP",624.00
"MD","LUTCV",254.70
"ME","LUACB",689.00
"ME","LUACD",67.28
"ME","LUACP",114.00
"ME","LUACV",46.30
"ME","LUICB",337.00
"ME","LUICD",67.28
"ME","LUICP",56.00
"ME","LUICV",22.70
"ME","LUTCB",1026.00
"ME","LUTCD",67.28
"ME","LUTCP",169.00
"ME","LUTCV",69.00
"MI","LUACB",7721.00
"MI","LUACD",67.28
"MI","LUACP",1273.00
"MI","LUACV",519.50
"MI","LUICB",9389.00
"MI","LUICD",67.28
"MI","LUICP",1548.00
"MI","LUICV",631.70
"MI","LUTCB",17110.00
"MI","LUTCD",67.28
"MI","LUTCP",2821.00
"MI","LUTCV",1151.20
"MN","LUACB",4160.00
"MN","LUACD",67.28
"MN","LUACP",686.00
"MN","LUACV",279.90
"MN","LUICB",1691.00
"MN","LUICD",67.28
"MN","LUICP",279.00
"MN","LUICV",113.80
"MN","LUTCB",5852.00
"MN","LUTCD",67.28
"MN","LUTCP",965.00
"MN","LUTCV",393.70
"MO","LUACB",4872.00
"MO","LUACD",67.28
"MO","LUACP",803.00
"MO","LUACV",327.80
"MO","LUICB",3504.00
"MO","LUICD",67.28
"MO","LUICP",578.00
"MO","LUICV",235.80
"MO","LUTCB",8377.00
"MO","LUTCD",67.28
"MO","LUTCP",1381.00
"MO","LUTCV",563.60
"MS","LUACB",1644.00
"MS","LUACD",67.28
"MS","LUACP",271.00
"MS","LUACV",110.60
"MS","LUICB",1780.00
"MS","LUICD",67.28
"MS","LUICP",294.00
"MS","LUICV",119.80
"MS","LUTCB",3425.00
"MS","LUTCD",67.28
"MS","LUTCP",565.00
"MS","LUTCV",230.40
"MT","LUACB",1026.00
"MT","LUACD",67.28
"MT","LUACP",169.00
"MT","LUACV",69.00
"MT","LUICB",267.00
"MT","LUICD",67.28
"MT","LUICP",44.00
"MT","LUICV",18.00
"MT","LUTCB",1293.00
"MT","LUTCD",67.28
"MT","LUTCP",213.00
"MT","LUTCV",87.00
"NC","LUACB",3317.00
"NC","LUACD",67.28
"NC","LUACP",547.00
"NC","LUACV",223.20
"NC","LUICB",2984.00
"NC","LUICD",67.28
"NC","LUICP",492.00
"NC","LUICV",200.80
"NC","LUTCB",6301.00
"NC","LUTCD",67.28
"NC","LUTCP",1039.00
"NC","LUTCV",424.00
"ND","LUACB",792.00
"ND","LUACD",67.28
"ND","LUACP",131.00
"ND","LUACV",53.30
"ND","LUICB",136.00
"ND","LUICD",67.28
"ND","LUICP",22.00
"ND","LUICV",9.10
"ND","LUTCB",928.00
"ND","LUTCD",67.28
"ND","LUTCP",153.00
"ND","LUTCV",62.40
"NE","LUACB",1818.00
"NE","LUACD",67.28
"NE","LUACP",300.00
"NE","LUACV",122.30
"NE","LUICB",216.00
"NE","LUICD",67.28
"NE","LUICP",36.00
"NE","LUICV",14.50
"NE","LUTCB",2033.00
"NE","LUTCD",67.28
"NE","LUTCP",335.00
"NE","LUTCV",136.80
"NH","LUACB",314.00
"NH","LUACD",67.28
"NH","LUACP",52.00
"NH","LUACV",21.10
"NH","LUICB",122.00
"NH","LUICD",67.28
"NH","LUICP",20.00
"NH","LUICV",8.20
"NH","LUTCB",436.00
"NH","LUTCD",67.28
"NH","LUTCP",72.00
"NH","LUTCV",29.30
"NJ","LUACB",3725.00
"NJ","LUACD",67.28
"NJ","LUACP",614.00
"NJ","LUACV",250.60
"NJ","LUICB",8667.00
"NJ","LUICD",67.28
"NJ","LUICP",1429.00
"NJ","LUICV",583.20
"NJ","LUTCB",12392.00
"NJ","LUTCD",67.28
"NJ","LUTCP",2043.00
"NJ","LUTCV",833.80
"NM","LUACB",1115.00
"NM","LUACD",67.28
"NM","LUACP",184.00
"NM","LUACV",75.00
"NM","LUICB",618.00
"NM","LUICD",67.28
"NM","LUICP",102.00
"NM","LUICV",41.60
"NM","LUTCB",1733.00
"NM","LUTCD",67.28
"NM","LUTCP",286.00
"NM","LUTCV",116.60
"NV","LUACB",436.00
"NV","LUACD",67.28
"NV","LUACP",72.00
"NV","LUACV",29.30
"NV","LUICB",131.00
"NV","LUICD",67.28
"NV","LUICP",22.00
"NV","LUICV",8.80
"NV","LUTCB",567.00
"NV","LUTCD",67.28
"NV","LUTCP",93.00
"NV","LUTCV",38.10
"NY","LUACB",5561.00
"NY","LUACD",67.28
"NY","LUACP",917.00
"NY","LUACV",374.20
"NY","LUICB",5369.00
"NY","LUICD",67.28
"NY","LUICP",885.00
"NY","LUICV",361.20
"NY","LUTCB",10930.00
"NY","LUTCD",67.28
"NY","LUTCP",1802.00
"NY","LUTCV",735.40
"OH","LUACB",7449.00
"OH","LUACD",67.28
"OH","LUACP",1228.00
"OH","LUACV",501.20
"OH","LUICB",12518.00
"OH","LUICD",67.28
"OH","LUICP",2064.00
"OH","LUICV",842.30
"OH","LUTCB",19968.00
"OH","LUTCD",67.28
"OH","LUTCP",3292.00
"OH","LUTCV",1343.50
"OK","LUACB",4062.00
"OK","LUACD",67.28
"OK","LUACP",670.00
"OK","LUACV",273.30
"OK","LUICB",3027.00
"OK","LUICD",67.28
"OK","LUICP",499.00
"OK","LUICV",203.60
"OK","LUTCB",7088.00
"OK","LUTCD",67.28
"OK","LUTCP",1169.00
"OK","LUTCV",476.90
"OR","LUACB",2769.00
"OR","LUACD",67.28
"OR","LUACP",457.00
"OR","LUACV",186.30
"OR","LUICB",1157.00
"OR","LUICD",67.28
"OR","LUICP",191.00
"OR","LUICV",77.90
"OR","LUTCB",3926.00
"OR","LUTCD",67.28
"OR","LUTCP",647.00
"OR","LUTCV",264.20
"PA","LUACB",6859.00
"PA","LUACD",67.28
"PA","LUACP",1131.00
"PA","LUACV",461.50
"PA","LUICB",14406.00
"PA","LUICD",67.28
"PA","LUICP",2375.00
"PA","LUICV",969.30
"PA","LUTCB",21265.00
"PA","LUTCD",67.28
"PA","LUTCP",3506.00
"PA","LUTCV",1430.80
"RI","LUACB",365.00
"RI","LUACD",67.28
"RI","LUACP",60.00
"RI","LUACV",24.60
"RI","LUICB",323.00
"RI","LUICD",67.28
"RI","LUICP",53.00
"RI","LUICV",21.80
"RI","LUTCB",689.00
"RI","LUTCD",67.28
"RI","LUTCP",114.00
"RI","LUTCV",46.30
"SC","LUACB",1363.00
"SC","LUACD",67.28
"SC","LUACP",225.00
"SC","LUACV",91.70
"SC","LUICB",1476.00
"SC","LUICD",67.28
"SC","LUICP",243.00
"SC","LUICV",99.30
"SC","LUTCB",2839.00
"SC","LUTCD",67.28
"SC","LUTCP",468.00
"SC","LUTCV",191.00
"SD","LUACB",815.00
"SD","LUACD",67.28
"SD","LUACP",134.00
"SD","LUACV",54.80
"SD","LUICB",19.00
"SD","LUICD",67.28
"SD","LUICP",3.00
"SD","LUICV",1.30
"SD","LUTCB",834.00
"SD","LUTCD",67.28
"SD","LUTCP",137.00
"SD","LUTCV",56.10
"TN","LUACB",3533.00
"TN","LUACD",67.28
"TN","LUACP",582.00
"TN","LUACV",237.70
"TN","LUICB",2952.00
"TN","LUICD",67.28
"TN","LUICP",487.00
