"State","MSN","2014"
"ND","WYEGP",6202.00
"ND","WYICB",0.00
"ND","WYICP",0.00
"ND","WYTCB",58985.00
"ND","WYTCP",6202.00
"NE","WYCCB",0.00
"NE","WYCCP",0.00
"NE","WYEGB",26028.00
"NE","WYEGP",2737.00
"NE","WYICB",0.00
"NE","WYICP",0.00
"NE","WYTCB",26028.00
"NE","WYTCP",2737.00
"NH","WYCCB",0.00
"NH","WYCCP",0.00
"NH","WYEGB",3914.00
"NH","WYEGP",412.00
"NH","WYICB",0.00
"NH","WYICP",0.00
"NH","WYTCB",3914.00
"NH","WYTCP",412.00
"NJ","WYCCB",0.00
"NJ","WYCCP",0.00
"NJ","WYEGB",217.00
"NJ","WYEGP",23.00
"NJ","WYICB",0.00
"NJ","WYICP",0.00
"NJ","WYTCB",217.00
"NJ","WYTCP",23.00
"NM","WYCCB",30.00
"NM","WYCCP",3.00
"NM","WYEGB",21603.00
"NM","WYEGP",2272.00
"NM","WYICB",0.00
"NM","WYICP",0.00
"NM","WYTCB",21633.00
"NM","WYTCP",2275.00
"NV","WYCCB",0.00
"NV","WYCCP",0.00
"NV","WYEGB",2854.00
"NV","WYEGP",300.00
"NV","WYICB",0.00
"NV","WYICP",0.00
"NV","WYTCB",2854.00
"NV","WYTCP",300.00
"NY","WYCCB",0.00
"NY","WYCCP",0.00
"NY","WYEGB",37716.00
"NY","WYEGP",3966.00
"NY","WYICB",23.00
"NY","WYICP",2.00
"NY","WYTCB",37740.00
"NY","WYTCP",3968.00
"OH","WYCCB",0.00
"OH","WYCCP",0.00
"OH","WYEGB",10634.00
"OH","WYEGP",1118.00
"OH","WYICB",335.00
"OH","WYICP",35.00
"OH","WYTCB",10969.00
"OH","WYTCP",1153.00
"OK","WYCCB",0.00
"OK","WYCCP",0.00
"OK","WYEGB",113519.00
"OK","WYEGP",11937.00
"OK","WYICB",0.00
"OK","WYICP",0.00
"OK","WYTCB",113519.00
"OK","WYTCP",11937.00
"OR","WYCCB",0.00
"OR","WYCCP",0.00
"OR","WYEGB",71852.00
"OR","WYEGP",7555.00
"OR","WYICB",0.00
"OR","WYICP",0.00
"OR","WYTCB",71852.00
"OR","WYTCP",7555.00
"PA","WYCCB",0.00
"PA","WYCCP",0.00
"PA","WYEGB",33901.00
"PA","WYEGP",3565.00
"PA","WYICB",0.00
"PA","WYICP",0.00
"PA","WYTCB",33901.00
"PA","WYTCP",3565.00
"RI","WYCCB",72.00
"RI","WYCCP",8.00
"RI","WYEGB",23.00
"RI","WYEGP",2.00
"RI","WYICB",0.00
"RI","WYICP",0.00
"RI","WYTCB",94.00
"RI","WYTCP",10.00
"SC","WYCCB",0.00
"SC","WYCCP",0.00
"SC","WYEGB",0.00
"SC","WYEGP",0.00
"SC","WYICB",0.00
"SC","WYICP",0.00
"SC","WYTCB",0.00
"SC","WYTCP",0.00
"SD","WYCCB",0.00
"SD","WYCCP",0.00
"SD","WYEGB",22218.00
"SD","WYEGP",2336.00
"SD","WYICB",0.00
"SD","WYICP",0.00
"SD","WYTCB",22218.00
"SD","WYTCP",2336.00
"TN","WYCCB",0.00
"TN","WYCCP",0.00
"TN","WYEGB",486.00
"TN","WYEGP",51.00
"TN","WYICB",0.00
"TN","WYICP",0.00
"TN","WYTCB",486.00
"TN","WYTCP",51.00
"TX","WYCCB",224.00
"TX","WYCCP",24.00
"TX","WYEGB",380225.00
"TX","WYEGP",39982.00
"TX","WYICB",0.00
"TX","WYICP",0.00
"TX","WYTCB",380449.00
"TX","WYTCP",40005.00
"US","WYCCB",1013.00
"US","WYCCP",107.00
"US","WYEGB",1726026.00
"US","WYEGP",181496.00
"US","WYICB",503.00
"US","WYICP",53.00
"US","WYTCB",1727542.00
"US","WYTCP",181655.00
"UT","WYCCB",0.00
"UT","WYCCP",0.00
"UT","WYEGB",6276.00
"UT","WYEGP",660.00
"UT","WYICB",0.00
"UT","WYICP",0.00
"UT","WYTCB",6276.00
"UT","WYTCP",660.00
"VA","WYCCB",0.00
"VA","WYCCP",0.00
"VA","WYEGB",0.00
"VA","WYEGP",0.00
"VA","WYICB",0.00
"VA","WYICP",0.00
"VA","WYTCB",0.00
"VA","WYTCP",0.00
"VT","WYCCB",0.00
"VT","WYCCP",0.00
"VT","WYEGB",2961.00
"VT","WYEGP",311.00
"VT","WYICB",0.00
"VT","WYICP",0.00
"VT","WYTCB",2961.00
"VT","WYTCP",311.00
"WA","WYCCB",0.00
"WA","WYCCP",0.00
"WA","WYEGB",69117.00
"WA","WYEGP",7268.00
"WA","WYICB",0.00
"WA","WYICP",0.00
"WA","WYTCB",69117.00
"WA","WYTCP",7268.00
"WI","WYCCB",0.00
"WI","WYCCP",0.00
"WI","WYEGB",15319.00
"WI","WYEGP",1611.00
"WI","WYICB",68.00
"WI","WYICP",7.00
"WI","WYTCB",15387.00
"WI","WYTCP",1618.00
"WV","WYCCB",0.00
"WV","WYCCP",0.00
"WV","WYEGB",13803.00
"WV","WYEGP",1451.00
"WV","WYICB",0.00
"WV","WYICP",0.00
"WV","WYTCB",13803.00
"WV","WYTCP",1451.00
"WY","WYCCB",0.00
"WY","WYCCP",0.00
"WY","WYEGB",41899.00
"WY","WYEGP",4406.00
"WY","WYICB",0.00
"WY","WYICP",0.00
"WY","WYTCB",41899.00
"WY","WYTCP",4406.00
