"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","975,663","789","–","44,168","–","1,051","1,051","280","15,561","15,841","191","–","–","–","–","–","1,867","–","108","–","1,975","–","–","–","6,719","463","1,690","1,154","770","3,614","520","4","23","1,507","1,490","2,453","–","80,808","1,056,471","2,673","221","2,894"
"Algeria","1,060","640","–","35,947","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","266","–","1,544","–","–","1,544","21","–","–","–","–","–","–","38,418","39,478","3","105","108"
"Angola","45,103","–","–","4,098","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","566","–","566","–","–","–","–","–","–","–","4,664","49,767","124","13","136"
"Ecuador","82,302","–","–","1,384","–","–","–","–","180","180","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","79","–","–","231","231","–","–","–","–","–","–","–","1,874","84,176","225","5","231"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","83,726","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","83,726","229","–","229"
"Kuwait","74,460","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","–","108","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","74,568","204","0","204"
"Libya","1,078","–","–","1,093","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","217","177","394","–","–","–","–","–","–","–","1,487","2,565","3","4","7"
"Nigeria","19,856","–","–","–","–","810","810","36","8,204","8,240","–","–","–","–","–","–","310","–","–","–","310","–","–","–","–","–","–","240","–","240","–","–","–","–","–","–","–","9,600","29,456","54","26","81"
"Qatar","–","–","–","–","–","–","–","–","64","64","65","–","–","–","–","–","331","–","–","–","331","–","–","–","–","–","–","–","–","–","–","–","23","–","–","2,453","–","2,936","2,936","–","8","8"
"Saudi Arabia","384,071","–","–","–","–","–","–","–","–","–","46","–","–","–","–","–","1,226","–","–","–","1,226","–","–","–","547","384","–","–","–","–","231","–","–","–","–","–","–","2,434","386,505","1,052","7","1,059"
"United Arab Emirates","602","–","–","593","–","–","–","–","–","–","67","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","43","–","–","–","–","–","–","703","1,305","2","2","4"
"Venezuela","283,405","149","–","1,053","–","241","241","244","7,113","7,357","13","–","–","–","–","–","–","–","–","–","–","–","–","–","5,906","–","146","131","362","639","225","4","–","1,507","1,490","–","–","18,584","301,989","776","51","827"
"Non-OPEC","1,711,746","3,220","52,780","155,447","–","24,990","24,990","63,964","138,802","202,766","1,123","–","2,179","8,399","4,874","–","48,294","4,386","18,385","138","71,203","1,593","30","–","41,399","5,069","4,025","11,833","50,442","66,300","11,501","2,403","2,033","2,385","10,073","10,008","16","680,517","2,392,263","4,690","1,864","6,554"
"Argentina","6,644","–","54","–","–","66","66","–","517","517","123","–","–","4,657","–","–","198","–","–","–","198","–","–","–","–","–","–","–","–","–","137","1,016","–","246","–","23","–","7,037","13,681","18","19","37"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","123","–","–","–","–","–","–","–","–","–","–","–","–","123","123","–","0","0"
"Australia","3,635","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,635","10","–","10"
"Bahamas","–","–","–","268","–","1,406","1,406","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","178","178","–","–","–","–","–","–","–","1,852","1,852","–","5","5"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","866","–","866","866","–","2","2"
"Belgium","–","–","–","19,645","–","873","873","1,471","5,997","7,468","58","–","–","–","–","–","130","–","291","–","421","–","–","–","–","14","–","–","350","350","49","–","–","–","–","61","–","28,940","28,940","–","79","79"
"Brazil","69,388","–","123","787","–","848","848","–","1,695","1,695","341","–","2,097","–","–","–","–","–","2","–","2","–","–","–","–","267","34","1,228","514","1,776","759","–","16","192","–","93","–","8,996","78,384","190","25","215"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Cameroon","–","–","–","456","–","–","–","–","–","–","–","–","–","–","–","–","–","–","36","–","36","–","–","–","–","–","–","88","–","88","–","–","–","–","–","–","–","580","580","–","2","2"
"Canada","1,156,617","49","50,087","3,679","–","12,004","12,004","28,658","25,339","53,997","–","–","82","1,457","–","–","40,449","524","12,849","138","53,960","10","30","–","4,232","1,525","1,196","5,478","13,371","20,045","1,115","886","715","611","8,512","3,911","16","217,572","1,374,189","3,169","596","3,765"
"Chad","26,197","–","–","37","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","37","26,234","72","0","72"
"China","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","791","–","–","926","–","–","–","–","–","–","–","570","–","–","–","–","2,287","2,287","–","6","6"
"Colombia","135,985","–","–","637","–","–","–","–","252","252","–","–","–","–","–","–","–","–","460","–","460","–","–","–","–","–","380","3","6,210","6,593","–","–","–","–","266","–","–","8,208","144,193","373","22","395"
"Congo (Brazzaville)","3,111","–","–","4","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","50","496","–","546","–","–","–","–","–","–","–","550","3,661","9","2","10"
"Denmark","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","358","–","358","–","–","–","–","–","–","–","358","358","–","1","1"
"Egypt","542","–","–","–","–","–","–","–","96","96","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","56","–","–","–","–","152","694","1","0","2"
"Equatorial Guinea","1,882","–","–","198","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","198","2,080","5","1","6"
"Estonia","–","–","–","792","–","–","–","238","–","238","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,030","1,030","–","3","3"
"Finland","–","–","–","20","–","121","121","632","2,659","3,291","–","–","–","–","–","–","–","–","147","–","147","–","–","–","–","–","–","–","–","–","–","–","–","–","–","12","–","3,591","3,591","–","10","10"
"France","–","–","–","4,208","–","1","1","5,077","2,800","7,877","–","–","–","–","–","–","–","–","12","–","12","–","–","–","–","–","–","–","4","4","22","305","31","–","–","129","–","12,589","12,589","–","34","34"
"Gabon","3,578","–","–","687","–","–","–","–","–","–","–","–","–","–","–","–","21","–","–","–","21","–","–","–","–","–","193","–","–","193","–","–","–","–","–","–","–","901","4,479","10","2","12"
"Germany","–","5","–","454","–","33","33","258","382","640","44","–","–","76","–","–","63","–","991","–","1,054","–","–","–","–","50","–","–","–","–","39","–","8","130","–","205","–","2,741","2,741","–","8","8"
"Guatemala","2,916","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2,916","8","–","8"
"India","–","–","–","5,320","–","635","635","410","18,423","18,833","–","–","–","–","–","–","1,397","–","–","–","1,397","–","–","–","4,101","112","–","802","–","802","33","–","8","–","–","–","–","31,241","31,241","–","86","86"
"Indonesia","13,097","–","–","–","–","–","–","–","–","–","–","–","–","1,710","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","57","–","1,769","14,866","36","5","41"
