"STUB_1","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"OPEC","62,151","–","–","3,602","–","1,051","1,051","280","15,140","15,420","–","–","–","–","–","–","1,867","–","–","–","1,867","–","–","–","6,719","–","1,175","240","15","1,430","100","–","–","1,425","1,391","–","–","33,005","95,156","170","90","261"
"Algeria","–","–","–","2,793","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","266","–","1,175","–","–","1,175","–","–","–","–","–","–","–","4,234","4,234","–","12","12"
"Angola","17,454","–","–","426","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","426","17,880","48","1","49"
"Ecuador","736","–","–","–","–","–","–","–","180","180","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","15","15","–","–","–","–","–","–","–","195","931","2","1","3"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","8,123","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","8,123","22","–","22"
"Kuwait","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Libya","730","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","730","2","–","2"
"Nigeria","14,302","–","–","–","–","810","810","36","8,204","8,240","–","–","–","–","–","–","310","–","–","–","310","–","–","–","–","–","–","240","–","240","–","–","–","–","–","–","–","9,600","23,902","39","26","65"
"Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","331","–","–","–","331","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","331","331","–","1","1"
"Saudi Arabia","18,049","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,226","–","–","–","1,226","–","–","–","547","–","–","–","–","–","–","–","–","–","–","–","–","1,773","19,822","49","5","54"
"United Arab Emirates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Venezuela","2,757","–","–","383","–","241","241","244","6,756","7,000","–","–","–","–","–","–","–","–","–","–","–","–","–","–","5,906","–","–","–","–","–","100","–","–","1,425","1,391","–","–","16,446","19,203","8","45","53"
"Non-OPEC","177,569","–","18,494","15,173","–","21,629","21,629","61,890","113,697","175,587","–","–","981","4,149","542","–","42,769","4,343","13,188","–","60,300","1,593","12","–","18,850","–","1,810","6,839","24,445","33,094","88","–","1,131","13","5,905","1,942","–","359,493","537,062","486","985","1,471"
"Argentina","–","–","–","–","–","–","–","–","186","186","–","–","–","2,849","–","–","198","–","–","–","198","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,233","3,233","–","9","9"
"Aruba","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","123","–","–","–","–","–","–","–","–","–","–","–","–","123","123","–","0","0"
"Australia","661","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","661","2","–","2"
"Bahamas","–","–","–","–","–","1,406","1,406","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","178","178","–","–","–","–","–","–","–","1,584","1,584","–","4","4"
"Bahrain","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Belgium","–","–","–","897","–","873","873","1,471","5,733","7,204","–","–","–","–","–","–","130","–","–","–","130","–","–","–","–","–","–","–","–","–","–","–","–","–","–","7","–","9,111","9,111","–","25","25"
"Brazil","1,586","–","–","8","–","–","–","–","933","933","–","–","899","–","–","–","–","–","–","–","–","–","–","–","–","–","34","872","205","1,111","–","–","1","–","–","93","–","3,045","4,631","4","8","13"
"Brunei","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
