"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","5,981","30","6,011","1,012","559","3,079","4,650","350","3,688","782","228","–","5,048","589","24","16,322"
"Pentanes Plus","583","–","583","–","75","360","435","115","1,206","–","–","–","1,321","222","–","2,561"
"Liquefied Petroleum Gases","5,398","30","5,428","1,012","484","2,719","4,215","235","2,482","782","228","–","3,727","367","24","13,761"
"Normal Butane","5,398","30","5,428","1,012","484","2,680","4,176","235","2,482","782","228","–","3,727","367","24","13,722"
"Isobutane","–","–","–","–","–","39","39","–","–","–","–","–","–","–","–","39"
"Other Liquids","1,031,594","77,630","1,109,224","533,952","111,654","159,886","805,492","202,821","130,446","36,612","91,411","13,250","474,540","52,070","531,585","2,972,911"
"Oxygenates/Renewables","111,985","8,248","120,233","57,539","13,047","17,832","88,418","20,897","10,049","5,060","11,651","1,573","49,230","7,239","58,795","323,915"
"Oxygenates (excluding Fuel Ethanol)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"All Other Oxygenates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","111,985","8,248","120,233","57,539","13,047","17,832","88,418","20,897","10,049","5,060","11,651","1,573","49,230","7,239","58,795","323,915"
"Fuel Ethanol","109,443","7,803","117,246","55,541","12,285","16,866","84,692","20,365","9,255","3,556","11,061","1,339","45,576","7,078","54,898","309,490"
"Renewable Diesel Fuel","2,542","445","2,987","1,998","762","966","3,726","532","790","1,504","590","234","3,650","161","3,897","14,421"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","4","–","–","–","4","–","–","4"
"Unfinished Oils (net)","14","-13","1","75","–","–","75","–","–","502","–","–","502","–","–","578"
"Naphthas and Lighter","3","–","3","–","–","–","–","–","–","–","–","–","–","–","–","3"
"Kerosene and Light Gas Oils","11","-13","-2","-791","–","–","-791","–","–","611","–","–","611","–","–","-182"
"Heavy Gas Oils","–","–","–","1","–","–","1","–","–","-109","–","–","-109","–","–","-108"
"Residuum","–","–","–","865","–","–","865","–","–","–","–","–","–","–","–","865"
"Motor Gasoline Blend.Comp. (MGBC)(net)","919,595","69,395","988,990","476,338","98,607","142,054","716,999","181,924","120,397","31,050","79,760","11,677","424,808","44,831","472,790","2,648,418"
"Reformulated - RBOB","317,119","3,786","320,905","91,523","15,805","11,189","118,517","71,474","58,107","–","76","–","129,657","–","350,282","919,361"
"Conventional","602,476","65,609","668,085","384,815","82,802","130,865","598,482","110,450","62,290","31,050","79,684","11,677","295,151","44,831","122,508","1,729,057"
"CBOB","515,585","65,576","581,161","371,779","81,572","130,865","584,216","110,450","-12,265","25,646","79,238","11,677","214,746","44,802","119,318","1,544,243"
"GTAB","23,632","–","23,632","–","–","–","–","–","–","–","–","–","–","–","226","23,858"
"Other","63,259","33","63,292","13,036","1,230","–","14,266","–","74,555","5,404","446","–","80,405","29","2,964","160,956"
"Aviation Gasoline Blend. Comp. (net)","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total Input","1,037,575","77,660","1,115,235","534,964","112,213","162,965","810,142","203,171","134,134","37,394","91,639","13,250","479,588","52,659","531,609","2,989,233"
